time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-07-05_07:00:00 0.01 24.95 93.13 0.86 23.29 0.0 0.0 0.0 0.0
2023-07-05_07:15:00 0.01 25.99 87.73 1.18 20.4 329.75 692.67 649.51 43.16
2023-07-05_07:30:00 0.01 26.23 86.2 1.44 20.97 329.75 667.68 624.52 43.16
2023-07-05_07:45:00 0.0 26.75 83.91 1.46 25.66 444.71 687.85 636.48 51.37
2023-07-05_08:00:00 0.0 27.04 82.53 1.69 23.59 444.71 656.66 605.29 51.37
2023-07-05_08:15:00 0.0 27.58 80.25 1.77 16.64 554.49 655.35 598.98 56.37
2023-07-05_08:30:00 0.0 27.89 78.9 1.72 23.47 554.49 618.48 562.1 56.37
2023-07-05_08:45:00 0.0 28.31 77.31 1.61 30.24 656.89 601.09 544.86 56.24
2023-07-05_09:00:00 0.02 28.66 75.63 1.7 34.94 656.89 558.98 502.74 56.24
2023-07-05_09:15:00 0.04 29.08 73.89 2.0 32.05 748.36 528.69 469.72 58.96
2023-07-05_09:30:00 0.12 29.44 72.24 2.25 21.86 748.36 482.53 423.57 58.96
2023-07-05_09:45:00 0.2 29.76 70.59 2.24 13.33 827.48 443.69 382.52 61.18
2023-07-05_10:00:00 0.25 30.02 69.07 2.12 6.46 827.48 394.48 333.3 61.18
2023-07-05_10:15:00 0.35 30.38 67.34 2.34 7.26 893.3 349.84 286.98 62.86
2023-07-05_10:30:00 0.31 30.64 65.88 2.48 5.46 893.3 298.63 235.77 62.86
2023-07-05_10:45:00 0.27 30.92 64.43 2.48 5.34 942.89 252.67 185.12 67.55
2023-07-05_11:00:00 0.24 31.12 63.31 2.38 4.0 942.89 201.38 133.83 67.55
2023-07-05_11:15:00 0.23 31.39 62.03 2.51 359.35 975.22 173.96 82.75 91.21
2023-07-05_11:30:00 0.25 31.62 60.9 2.48 358.94 975.22 117.17 25.95 91.21
2023-07-05_11:45:00 0.21 31.86 59.79 2.39 1.01 988.66 113.25 0.0 113.25
2023-07-05_12:00:00 0.14 32.05 58.84 2.25 0.5 988.66 113.25 0.0 113.25
2023-07-05_12:15:00 0.08 32.25 57.91 2.27 3.38 987.47 108.96 0.0 108.96
2023-07-05_12:30:00 0.03 32.45 57.09 2.36 3.84 987.47 108.96 0.0 108.96
2023-07-05_12:45:00 0.0 32.59 56.43 2.39 357.12 954.06 199.83 0.0 199.83
2023-07-05_13:00:00 0.01 32.79 55.64 2.7 353.95 954.06 199.83 0.0 199.83
2023-07-05_13:15:00 0.01 32.91 55.06 2.78 352.39 894.49 373.26 0.0 373.26
2023-07-05_13:30:00 0.0 33.05 54.41 2.69 350.47 894.49 373.26 0.0 373.26
2023-07-05_13:45:00 0.0 33.18 53.81 2.65 351.61 886.01 65.07 0.0 65.07
2023-07-05_14:00:00 0.0 33.28 53.32 2.39 344.37 886.01 65.07 0.0 65.07
2023-07-05_14:15:00 0.0 33.33 52.93 2.37 338.35 809.68 82.09 0.0 82.09
2023-07-05_14:30:00 0.0 33.44 52.42 2.39 336.04 809.68 82.09 0.0 82.09
2023-07-05_14:45:00 0.0 33.5 52.16 2.6 338.66 718.83 196.68 0.0 196.68
2023-07-05_15:00:00 0.0 33.57 51.93 2.49 334.07 718.83 196.68 0.0 196.68
2023-07-05_15:15:00 0.0 33.55 51.99 2.41 340.73 621.07 202.45 0.0 202.45
2023-07-05_15:30:00 0.0 33.61 51.82 1.75 349.27 621.07 202.45 0.0 202.45
2023-07-05_15:45:00 0.0 33.57 51.88 1.66 17.69 519.63 165.09 0.0 165.09
2023-07-05_16:00:00 0.0 33.61 51.7 1.37 3.18 519.63 165.09 0.0 165.09
2023-07-05_16:15:00 0.01 33.49 52.03 1.97 344.84 415.48 83.55 0.0 83.55
2023-07-05_16:30:00 0.01 33.5 52.12 1.98 344.78 415.48 83.55 0.0 83.55
2023-07-05_16:45:00 0.05 33.34 52.66 1.45 345.05 306.23 47.97 0.0 47.97
2023-07-05_17:00:00 0.03 33.34 52.62 1.28 350.02 306.23 47.97 0.0 47.97
2023-07-05_17:15:00 0.06 33.06 53.74 1.52 352.36 167.75 47.83 0.0 47.83
2023-07-05_17:30:00 0.11 33.03 54.02 1.37 345.47 167.75 47.83 0.0 47.83
2023-07-05_17:45:00 0.07 32.36 56.83 1.03 342.89 70.5 56.94 0.0 56.94
2023-07-05_18:00:00 0.07 32.11 58.15 1.08 356.81 70.5 56.94 0.0 56.94
2023-07-05_18:15:00 0.11 30.67 63.78 1.0 12.68 4.1 4.06 0.0 4.06
2023-07-05_18:30:00 0.17 30.39 65.19 0.73 53.73 4.1 4.06 0.0 4.06
2023-07-05_18:45:00 0.28 29.85 67.68 1.02 104.05 0.0 0.0 0.0 0.0
2023-07-05_19:00:00 0.39 29.13 70.96 2.49 123.29 0.0 0.0 0.0 0.0
2023-07-05_19:15:00 0.4 28.21 75.38 4.05 119.99 0.0 0.0 0.0 0.0
2023-07-05_19:30:00 0.43 27.57 78.54 4.41 121.78 0.0 0.0 0.0 0.0
2023-07-05_19:45:00 0.46 27.19 80.4 3.64 121.28 0.0 0.0 0.0 0.0
2023-07-05_20:00:00 0.58 27.04 81.24 2.93 133.53 0.0 0.0 0.0 0.0
2023-07-05_20:15:00 0.66 26.82 82.54 2.47 140.0 0.0 0.0 0.0 0.0
2023-07-05_20:30:00 0.72 26.74 83.25 2.09 148.18 0.0 0.0 0.0 0.0
2023-07-05_20:45:00 0.83 26.65 83.72 2.34 160.95 0.0 0.0 0.0 0.0
2023-07-05_21:00:00 0.76 26.61 83.72 2.53 165.74 0.0 0.0 0.0 0.0
