time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-08-02_07:00:00 0.41 26.04 91.39 4.02 235.76 0.0 0.0 0.0 0.0
2023-08-02_07:15:00 0.43 26.91 87.02 4.43 242.45 300.23 674.23 632.93 41.29
2023-08-02_07:30:00 0.42 27.25 85.44 4.56 242.3 300.23 649.28 607.99 41.29
2023-08-02_07:45:00 0.46 27.74 83.37 4.54 244.29 408.58 599.68 468.41 131.27
2023-08-02_08:00:00 0.47 27.98 82.12 4.56 250.89 408.58 576.01 444.74 131.27
2023-08-02_08:15:00 0.48 28.43 80.07 4.73 248.0 520.79 601.93 435.48 166.45
2023-08-02_08:30:00 0.48 28.71 78.64 4.73 248.85 520.79 574.09 407.64 166.45
2023-08-02_08:45:00 0.51 29.2 76.35 4.83 254.63 643.67 592.51 536.83 55.67
2023-08-02_09:00:00 0.46 29.47 74.75 4.82 261.24 643.67 549.06 493.38 55.67
2023-08-02_09:15:00 0.45 29.85 72.93 4.73 263.45 740.08 518.38 458.4 59.98
2023-08-02_09:30:00 0.4 30.06 71.61 4.8 264.33 740.08 470.68 410.71 59.98
2023-08-02_09:45:00 0.39 30.36 70.22 5.0 260.87 824.47 429.99 369.26 60.73
2023-08-02_10:00:00 0.4 30.62 69.06 5.13 259.65 824.47 378.83 318.1 60.73
2023-08-02_10:15:00 0.39 30.96 67.73 5.4 259.72 893.04 336.53 266.83 69.7
2023-08-02_10:30:00 0.35 31.14 67.07 5.5 260.37 893.04 283.75 214.05 69.7
2023-08-02_10:45:00 0.35 31.36 66.52 5.64 261.07 947.12 228.29 163.85 64.43
2023-08-02_11:00:00 0.36 31.52 66.17 5.71 262.66 947.12 174.8 110.37 64.43
2023-08-02_11:15:00 0.39 31.69 65.74 5.79 265.7 963.48 130.03 58.41 71.62
2023-08-02_11:30:00 0.42 31.85 65.27 5.8 263.23 963.48 71.62 0.0 71.62
2023-08-02_11:45:00 0.43 31.58 65.94 5.54 258.89 584.2 120.64 0.0 120.64
2023-08-02_12:00:00 0.45 31.66 65.48 5.48 257.59 584.2 120.64 0.0 120.64
2023-08-02_12:15:00 0.45 31.87 64.6 5.55 257.07 823.48 169.79 0.0 169.79
2023-08-02_12:30:00 0.4 31.96 64.06 5.74 258.69 823.48 169.79 0.0 169.79
2023-08-02_12:45:00 0.36 32.1 63.38 5.81 260.29 694.11 92.51 0.0 92.51
2023-08-02_13:00:00 0.36 32.19 62.98 5.98 260.6 694.11 92.51 0.0 92.51
2023-08-02_13:15:00 0.35 32.25 62.44 5.88 259.65 733.42 83.05 0.0 83.05
2023-08-02_13:30:00 0.36 32.33 61.89 5.85 259.7 733.42 83.05 0.0 83.05
2023-08-02_13:45:00 0.38 32.44 61.08 5.92 259.16 691.23 73.89 0.0 73.89
2023-08-02_14:00:00 0.36 32.51 60.47 5.95 257.69 691.23 73.89 0.0 73.89
2023-08-02_14:15:00 0.39 32.29 61.44 6.09 257.67 613.11 98.19 0.0 98.19
2023-08-02_14:30:00 0.43 31.49 65.4 6.78 265.26 613.11 98.19 0.0 98.19
2023-08-02_14:45:00 0.49 29.57 72.28 5.78 275.41 138.58 33.85 0.0 33.85
2023-08-02_15:00:00 0.5 29.65 71.96 3.98 267.98 138.58 33.85 0.0 33.85
2023-08-02_15:15:00 0.53 31.15 67.52 4.79 251.69 543.47 79.5 0.0 79.5
2023-08-02_15:30:00 0.53 31.65 66.04 5.4 246.45 543.47 79.5 0.0 79.5
2023-08-02_15:45:00 0.5 31.59 66.94 5.78 248.91 494.38 76.79 0.0 76.79
2023-08-02_16:00:00 0.49 31.2 69.6 5.84 252.58 494.38 76.79 0.0 76.79
2023-08-02_16:15:00 0.73 29.81 76.47 5.27 260.76 265.18 58.0 0.0 58.0
2023-08-02_16:30:00 0.68 29.13 80.99 4.56 261.39 265.18 58.0 0.0 58.0
2023-08-02_16:45:00 0.67 29.06 81.24 3.65 251.31 81.86 22.24 0.0 22.24
2023-08-02_17:00:00 0.56 29.31 79.9 4.12 245.71 81.86 22.24 0.0 22.24
2023-08-02_17:15:00 0.5 29.33 79.53 3.92 241.47 75.15 61.81 0.0 61.81
2023-08-02_17:30:00 0.5 29.39 79.08 4.16 237.65 75.15 61.81 0.0 61.81
2023-08-02_17:45:00 0.51 29.17 79.98 3.98 236.72 51.17 41.7 0.0 41.7
2023-08-02_18:00:00 0.52 29.04 80.24 4.24 235.58 51.17 41.7 0.0 41.7
2023-08-02_18:15:00 0.5 28.49 81.04 4.36 234.12 0.33 0.32 0.0 0.32
2023-08-02_18:30:00 0.46 28.28 81.32 4.51 232.91 0.33 0.32 0.0 0.32
2023-08-02_18:45:00 0.46 28.02 81.83 4.66 234.43 0.0 0.0 0.0 0.0
2023-08-02_19:00:00 0.43 27.82 82.2 4.74 235.08 0.0 0.0 0.0 0.0
2023-08-02_19:15:00 0.4 27.57 82.89 4.65 234.53 0.0 0.0 0.0 0.0
2023-08-02_19:30:00 0.42 27.38 83.37 4.49 237.19 0.0 0.0 0.0 0.0
2023-08-02_19:45:00 0.43 27.16 84.0 4.42 238.02 0.0 0.0 0.0 0.0
2023-08-02_20:00:00 0.39 27.03 84.23 4.52 238.81 0.0 0.0 0.0 0.0
2023-08-02_20:15:00 0.34 26.9 84.56 4.67 240.91 0.0 0.0 0.0 0.0
2023-08-02_20:30:00 0.27 26.84 84.65 5.03 241.43 0.0 0.0 0.0 0.0
2023-08-02_20:45:00 0.28 26.77 85.06 4.87 243.05 0.0 0.0 0.0 0.0
2023-08-02_21:00:00 0.29 26.67 85.78 4.61 240.57 0.0 0.0 0.0 0.0
2023-08-02_21:15:00 0.34 26.58 86.6 4.42 239.55 0.0 0.0 0.0 0.0
2023-08-02_21:30:00 0.34 26.48 87.56 4.17 239.52 0.0 0.0 0.0 0.0
2023-08-02_21:45:00 0.29 26.35 88.74 3.93 237.62 0.0 0.0 0.0 0.0
2023-08-02_22:00:00 0.28 26.29 89.64 3.96 235.81 0.0 0.0 0.0 0.0
2023-08-02_22:15:00 0.23 26.27 90.34 4.19 235.34 0.0 0.0 0.0 0.0
2023-08-02_22:30:00 0.21 26.21 91.31 3.94 233.6 0.0 0.0 0.0 0.0
2023-08-02_22:45:00 0.24 26.15 92.18 3.87 232.72 0.0 0.0 0.0 0.0
2023-08-02_23:00:00 0.23 26.11 93.0 3.83 231.67 0.0 0.0 0.0 0.0
2023-08-02_23:15:00 0.18 26.12 93.48 4.05 226.87 0.0 0.0 0.0 0.0
2023-08-02_23:30:00 0.22 26.11 94.0 4.02 227.03 0.0 0.0 0.0 0.0
2023-08-02_23:45:00 0.24 26.07 94.48 3.81 227.96 0.0 0.0 0.0 0.0
2023-08-03_00:00:00 0.24 26.01 94.93 3.62 225.14 0.0 0.0 0.0 0.0
2023-08-03_00:15:00 0.26 25.98 95.15 3.5 225.86 0.0 0.0 0.0 0.0
2023-08-03_00:30:00 0.28 25.9 95.55 3.27 230.89 0.0 0.0 0.0 0.0
2023-08-03_00:45:00 0.28 25.9 95.52 3.43 225.44 0.0 0.0 0.0 0.0
2023-08-03_01:00:00 0.29 25.89 95.51 3.56 224.03 0.0 0.0 0.0 0.0
2023-08-03_01:15:00 0.26 25.88 95.54 3.61 226.04 0.0 0.0 0.0 0.0
2023-08-03_01:30:00 0.25 25.85 95.69 3.55 223.92 0.0 0.0 0.0 0.0
2023-08-03_01:45:00 0.25 25.77 96.06 3.54 220.85 0.0 0.0 0.0 0.0
2023-08-03_02:00:00 0.26 25.73 96.38 3.32 219.9 0.0 0.0 0.0 0.0
2023-08-03_02:15:00 0.26 25.69 96.62 3.35 219.83 0.0 0.0 0.0 0.0
2023-08-03_02:30:00 0.24 25.68 96.74 3.47 215.56 0.0 0.0 0.0 0.0
2023-08-03_02:45:00 0.24 25.61 97.07 3.33 214.86 0.0 0.0 0.0 0.0
2023-08-03_03:00:00 0.24 25.59 97.18 3.38 217.26 0.0 0.0 0.0 0.0
2023-08-03_03:15:00 0.26 25.58 97.21 3.46 216.87 0.0 0.0 0.0 0.0
2023-08-03_03:30:00 0.26 25.55 97.32 3.41 216.95 0.0 0.0 0.0 0.0
2023-08-03_03:45:00 0.26 25.48 97.58 3.18 218.48 0.0 0.0 0.0 0.0
2023-08-03_04:00:00 0.25 25.39 97.94 2.82 218.06 0.0 0.0 0.0 0.0
2023-08-03_04:15:00 0.24 25.25 98.38 2.49 213.89 0.0 0.0 0.0 0.0
2023-08-03_04:30:00 0.23 25.1 98.79 2.26 212.2 0.0 0.0 0.0 0.0
2023-08-03_04:45:00 0.23 25.06 99.01 2.26 214.45 0.0 0.0 0.0 0.0
2023-08-03_05:00:00 0.23 25.11 98.99 2.58 215.73 0.0 0.0 0.0 0.0
2023-08-03_05:15:00 0.22 25.09 99.01 2.71 215.8 0.0 0.0 0.0 0.0
2023-08-03_05:30:00 0.22 25.1 99.01 2.77 216.36 0.0 0.0 0.0 0.0
2023-08-03_05:45:00 0.22 25.06 99.1 2.64 213.72 0.0 0.0 0.0 0.0
2023-08-03_06:00:00 0.19 25.05 99.15 2.64 209.12 0.0 0.0 0.0 0.0
2023-08-03_06:15:00 0.13 25.79 96.91 3.85 213.11 55.71 243.9 212.33 31.57
2023-08-03_06:30:00 0.11 25.96 96.17 4.06 217.6 55.71 239.41 207.83 31.57
2023-08-03_06:45:00 0.15 26.47 94.41 4.2 220.27 146.46 303.39 210.65 92.74
2023-08-03_07:00:00 0.18 26.66 93.54 4.09 222.47 146.46 297.1 204.36 92.74
2023-08-03_07:15:00 0.2 27.08 92.12 4.28 224.21 263.24 555.03 494.17 60.86
2023-08-03_07:30:00 0.16 27.29 91.29 4.29 224.14 263.24 535.5 474.64 60.86
2023-08-03_07:45:00 0.15 27.7 89.46 4.35 224.42 326.78 507.72 443.42 64.3
2023-08-03_08:00:00 0.16 27.91 88.07 4.35 226.85 326.78 485.26 420.96 64.3
2023-08-03_08:15:00 0.16 28.34 85.61 4.48 229.43 485.2 568.42 447.61 120.8
2023-08-03_08:30:00 0.14 28.56 83.82 4.57 230.79 485.2 539.72 418.91 120.8
2023-08-03_08:45:00 0.13 28.99 81.51 4.77 233.78 598.19 550.58 487.18 63.4
2023-08-03_09:00:00 0.12 29.23 79.81 4.79 235.16 598.19 511.02 447.62 63.4
