time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-08-02_07:00:00 0.82 24.29 99.34 1.06 235.98 0.0 0.0 0.0 0.0
2023-08-02_07:15:00 0.84 25.5 92.31 1.98 241.3 309.98 675.33 632.96 42.37
2023-08-02_07:30:00 0.82 25.76 90.24 2.16 242.79 309.98 650.34 607.97 42.37
2023-08-02_07:45:00 0.79 26.2 87.91 2.39 232.73 371.31 475.9 267.78 208.12
2023-08-02_08:00:00 0.79 26.42 86.61 2.51 230.11 371.31 462.36 254.25 208.12
2023-08-02_08:15:00 0.74 26.82 85.0 2.53 232.75 490.77 541.16 298.51 242.65
2023-08-02_08:30:00 0.75 27.14 83.52 2.58 235.23 490.77 522.1 279.45 242.65
2023-08-02_08:45:00 0.73 27.63 81.77 2.67 234.85 624.95 584.88 348.45 236.43
2023-08-02_09:00:00 0.7 27.96 80.39 2.71 243.89 624.95 556.75 320.32 236.43
2023-08-02_09:15:00 0.7 28.36 78.99 2.73 248.08 725.57 557.46 333.37 224.09
2023-08-02_09:30:00 0.67 28.58 78.01 2.76 253.47 725.57 522.92 298.82 224.09
2023-08-02_09:45:00 0.63 28.86 76.81 2.64 258.22 760.71 560.15 182.77 377.38
2023-08-02_10:00:00 0.6 29.17 75.45 2.63 265.18 760.71 534.98 157.6 377.38
2023-08-02_10:15:00 0.57 29.41 74.43 2.47 261.43 783.16 685.35 44.83 640.52
2023-08-02_10:30:00 0.56 29.67 73.32 2.37 256.88 783.16 676.56 36.05 640.52
2023-08-02_10:45:00 0.56 29.93 72.27 2.23 257.68 831.01 685.37 32.44 652.93
2023-08-02_11:00:00 0.53 30.16 71.23 2.37 255.73 831.01 674.94 22.01 652.93
2023-08-02_11:15:00 0.48 30.31 70.42 2.3 257.73 784.23 499.66 20.34 479.32
2023-08-02_11:30:00 0.45 30.48 69.69 2.34 262.3 784.23 479.43 0.11 479.32
2023-08-02_11:45:00 0.43 30.63 69.06 2.38 259.93 819.04 381.9 0.0 381.9
2023-08-02_12:00:00 0.45 30.8 68.35 2.47 256.74 819.04 381.9 0.0 381.9
2023-08-02_12:15:00 0.43 30.93 67.79 2.67 255.32 744.74 286.71 0.0 286.71
2023-08-02_12:30:00 0.38 31.03 67.32 2.83 254.66 744.74 286.71 0.0 286.71
2023-08-02_12:45:00 0.34 31.04 67.2 2.89 252.65 718.51 253.95 0.0 253.95
2023-08-02_13:00:00 0.32 31.14 66.57 3.08 252.87 718.51 253.95 0.0 253.95
2023-08-02_13:15:00 0.32 31.31 65.72 3.35 254.41 706.33 222.81 0.0 222.81
2023-08-02_13:30:00 0.31 31.43 64.94 3.56 257.04 706.33 222.81 0.0 222.81
2023-08-02_13:45:00 0.3 31.54 63.96 3.73 259.14 663.95 206.26 0.0 206.26
2023-08-02_14:00:00 0.29 31.63 63.34 3.82 260.09 663.95 206.26 0.0 206.26
2023-08-02_14:15:00 0.25 31.81 62.27 4.03 261.7 734.31 174.35 0.0 174.35
2023-08-02_14:30:00 0.18 31.92 61.63 4.0 262.16 734.31 174.35 0.0 174.35
2023-08-02_14:45:00 0.1 32.06 60.77 3.83 262.55 732.01 99.28 0.0 99.28
2023-08-02_15:00:00 0.07 32.16 60.15 3.43 264.12 732.01 99.28 0.0 99.28
2023-08-02_15:15:00 0.08 32.19 59.9 3.46 262.75 654.93 70.05 0.0 70.05
2023-08-02_15:30:00 0.12 32.13 60.36 3.6 259.81 654.93 70.05 0.0 70.05
2023-08-02_15:45:00 0.18 31.73 62.35 3.79 259.22 526.37 91.02 0.0 91.02
2023-08-02_16:00:00 0.19 31.48 64.24 4.41 262.74 526.37 91.02 0.0 91.02
2023-08-02_16:15:00 0.23 30.66 67.94 4.07 265.54 255.13 75.07 0.0 75.07
2023-08-02_16:30:00 0.36 30.54 68.6 3.15 267.68 255.13 75.07 0.0 75.07
2023-08-02_16:45:00 0.44 30.65 68.05 2.47 271.03 219.68 65.02 0.0 65.02
2023-08-02_17:00:00 0.32 30.52 68.9 2.99 259.11 219.68 65.02 0.0 65.02
2023-08-02_17:15:00 0.47 29.67 73.34 3.79 251.49 128.62 43.55 0.0 43.55
2023-08-02_17:30:00 0.57 28.87 77.69 4.15 237.68 128.62 43.55 0.0 43.55
2023-08-02_17:45:00 0.61 28.16 80.92 2.87 212.34 40.69 27.14 0.0 27.14
2023-08-02_18:00:00 0.61 28.06 81.42 2.42 192.49 40.69 27.14 0.0 27.14
2023-08-02_18:15:00 0.44 27.38 83.99 2.1 188.14 0.8 0.8 0.0 0.8
2023-08-02_18:30:00 0.34 27.34 84.09 2.05 189.2 0.8 0.8 0.0 0.8
2023-08-02_18:45:00 0.26 27.18 84.74 2.44 201.65 0.0 0.0 0.0 0.0
