time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-09-04_07:00:00 0.09 26.46 85.37 1.92 260.34 0.0 0.0 0.0 0.0
2023-09-04_07:15:00 0.1 27.45 81.54 2.23 261.19 361.4 644.72 600.41 44.32
2023-09-04_07:30:00 0.14 27.71 79.82 2.39 259.7 361.4 614.81 570.5 44.32
2023-09-04_07:45:00 0.13 28.04 78.17 2.57 258.18 482.03 623.96 574.84 49.12
2023-09-04_08:00:00 0.16 28.37 76.53 2.75 257.24 482.03 587.34 538.22 49.12
2023-09-04_08:15:00 0.21 28.76 74.66 2.65 262.05 596.31 574.64 521.91 52.73
2023-09-04_08:30:00 0.23 29.08 73.14 2.17 263.21 596.31 532.13 479.39 52.73
2023-09-04_08:45:00 0.25 29.45 71.54 1.73 274.61 700.78 504.01 448.43 55.58
2023-09-04_09:00:00 0.3 29.74 70.3 1.32 291.44 700.78 456.58 401.0 55.58
2023-09-04_09:15:00 0.33 30.03 69.3 1.14 316.5 792.74 417.49 359.61 57.88
2023-09-04_09:30:00 0.33 30.17 68.9 1.21 346.88 792.74 366.21 308.33 57.88
2023-09-04_09:45:00 0.33 30.3 68.75 1.61 357.38 870.84 319.71 260.02 59.69
2023-09-04_10:00:00 0.34 30.39 68.9 2.05 12.15 870.84 265.74 206.05 59.69
2023-09-04_10:15:00 0.35 30.44 69.12 2.28 15.18 932.56 214.27 153.2 61.07
2023-09-04_10:30:00 0.36 30.45 69.46 2.64 25.16 932.56 159.33 98.27 61.07
2023-09-04_10:45:00 0.35 30.43 70.08 3.53 32.19 976.34 107.32 45.33 62.0
2023-09-04_11:00:00 0.34 30.33 71.03 4.3 34.98 976.34 62.0 0.0 62.0
2023-09-04_11:15:00 0.32 30.12 72.38 5.02 36.72 1001.43 62.51 0.0 62.51
2023-09-04_11:30:00 0.3 29.94 73.6 5.53 39.87 1001.43 62.51 0.0 62.51
2023-09-04_11:45:00 0.31 29.81 74.53 5.79 41.56 908.42 60.81 0.0 60.81
2023-09-04_12:00:00 0.25 29.78 75.17 5.8 37.4 908.42 60.81 0.0 60.81
2023-09-04_12:15:00 0.21 29.77 75.79 5.93 34.76 899.9 60.95 0.0 60.95
2023-09-04_12:30:00 0.25 29.74 76.54 6.11 33.67 899.9 60.95 0.0 60.95
2023-09-04_12:45:00 0.36 29.83 76.81 5.79 26.56 842.19 93.68 0.0 93.68
2023-09-04_13:00:00 0.49 29.68 78.32 5.14 17.45 842.19 93.68 0.0 93.68
2023-09-04_13:15:00 0.55 28.98 82.05 4.74 5.43 435.6 71.08 0.0 71.08
2023-09-04_13:30:00 0.68 28.68 84.14 4.24 7.9 435.6 71.08 0.0 71.08
2023-09-04_13:45:00 0.79 28.35 85.57 4.29 19.07 155.75 55.99 0.0 55.99
2023-09-04_14:00:00 0.67 28.12 86.59 4.73 30.75 155.75 55.99 0.0 55.99
2023-09-04_14:15:00 0.6 28.5 85.19 4.68 35.16 317.86 215.14 0.0 215.14
2023-09-04_14:30:00 0.57 28.69 84.22 4.16 38.42 317.86 215.14 0.0 215.14
2023-09-04_14:45:00 0.56 28.88 83.05 3.95 40.77 537.22 163.56 0.0 163.56
2023-09-04_15:00:00 0.5 29.04 82.21 3.78 49.65 537.22 163.56 0.0 163.56
2023-09-04_15:15:00 0.45 29.15 81.59 3.61 59.57 573.02 57.0 0.0 57.0
2023-09-04_15:30:00 0.52 29.23 81.24 3.7 63.34 573.02 57.0 0.0 57.0
2023-09-04_15:45:00 0.56 29.15 81.53 3.79 64.92 347.62 42.75 0.0 42.75
2023-09-04_16:00:00 0.53 29.19 81.31 3.63 62.29 347.62 42.75 0.0 42.75
2023-09-04_16:15:00 0.51 29.17 81.15 3.48 66.99 298.78 46.64 0.0 46.64
2023-09-04_16:30:00 0.54 29.21 80.95 3.57 70.6 298.78 46.64 0.0 46.64
2023-09-04_16:45:00 0.57 29.17 81.07 3.31 74.13 205.86 36.78 0.0 36.78
2023-09-04_17:00:00 0.65 29.2 80.96 3.1 83.46 205.86 36.78 0.0 36.78
2023-09-04_17:15:00 0.74 29.07 81.57 3.12 90.71 94.9 25.62 0.0 25.62
2023-09-04_17:30:00 0.8 29.07 81.93 3.29 101.71 94.9 25.62 0.0 25.62
2023-09-04_17:45:00 0.78 28.8 83.5 3.1 109.76 6.27 5.0 0.0 5.0
2023-09-04_18:00:00 0.78 28.75 84.0 2.99 109.81 6.27 5.0 0.0 5.0
2023-09-04_18:15:00 0.67 28.71 84.09 3.26 99.6 0.0 0.0 0.0 0.0
2023-09-04_18:30:00 0.66 28.66 84.52 3.08 100.36 0.0 0.0 0.0 0.0
2023-09-04_18:45:00 0.57 28.63 84.54 2.95 117.54 0.0 0.0 0.0 0.0
2023-09-04_19:00:00 0.48 28.6 84.52 3.08 124.84 0.0 0.0 0.0 0.0
2023-09-04_19:15:00 0.51 28.59 84.55 3.2 126.87 0.0 0.0 0.0 0.0
2023-09-04_19:30:00 0.58 28.53 85.09 3.35 130.88 0.0 0.0 0.0 0.0
2023-09-04_19:45:00 0.57 28.42 86.2 3.64 139.0 0.0 0.0 0.0 0.0
2023-09-04_20:00:00 0.52 28.35 87.22 4.0 144.72 0.0 0.0 0.0 0.0
2023-09-04_20:15:00 0.56 28.23 87.94 3.75 158.41 0.0 0.0 0.0 0.0
