time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-08-31_07:00:00 0.65 26.64 77.59 2.92 246.46 0.0 0.0 0.0 0.0
2023-08-31_07:15:00 0.64 27.94 72.04 3.04 253.06 354.96 660.67 617.22 43.45
2023-08-31_07:30:00 0.6 28.39 70.03 3.03 249.74 354.96 630.65 587.2 43.45
2023-08-31_07:45:00 0.61 28.87 68.05 3.12 247.31 445.06 541.69 352.24 189.45
2023-08-31_08:00:00 0.54 29.18 66.82 3.22 251.21 445.06 519.77 330.31 189.45
2023-08-31_08:15:00 0.54 29.66 65.14 3.21 252.12 568.72 567.61 385.58 182.03
2023-08-31_08:30:00 0.58 29.95 63.93 3.24 249.2 568.72 536.96 354.93 182.03
2023-08-31_08:45:00 0.65 30.36 62.71 3.31 241.57 698.09 523.21 460.27 62.94
2023-08-31_09:00:00 0.64 30.55 62.2 3.58 232.95 698.09 475.83 412.89 62.94
2023-08-31_09:15:00 0.57 30.74 61.79 3.93 227.81 778.82 460.73 334.23 126.51
2023-08-31_09:30:00 0.63 30.91 61.63 4.3 229.47 778.82 414.6 288.1 126.51
2023-08-31_09:45:00 0.67 31.13 61.28 4.71 232.69 785.92 351.73 222.89 128.83
2023-08-31_10:00:00 0.65 31.24 61.13 5.1 235.36 785.92 307.44 178.6 128.83
2023-08-31_10:15:00 0.64 31.11 61.62 5.42 237.37 674.38 267.64 96.09 171.55
2023-08-31_10:30:00 0.62 31.15 61.6 5.79 241.3 674.38 235.51 63.96 171.55
2023-08-31_10:45:00 0.61 31.02 61.98 5.73 242.51 524.51 119.6 26.8 92.8
2023-08-31_11:00:00 0.59 31.03 61.96 5.81 243.08 524.51 92.8 0.0 92.8
2023-08-31_11:15:00 0.6 31.35 61.03 5.99 240.66 737.57 107.74 0.0 107.74
2023-08-31_11:30:00 0.62 31.46 60.71 6.1 236.54 737.57 107.74 0.0 107.74
2023-08-31_11:45:00 0.57 31.44 60.81 6.38 233.28 570.09 184.96 0.0 184.96
2023-08-31_12:00:00 0.49 31.52 60.42 6.55 233.29 570.09 184.96 0.0 184.96
2023-08-31_12:15:00 0.46 31.95 58.72 6.87 233.56 802.95 84.4 0.0 84.4
2023-08-31_12:30:00 0.42 32.1 58.02 6.85 234.89 802.95 84.4 0.0 84.4
2023-08-31_12:45:00 0.37 32.39 57.25 7.06 234.46 920.62 82.26 0.0 82.26
2023-08-31_13:00:00 0.33 32.36 57.71 7.45 233.24 920.62 82.26 0.0 82.26
2023-08-31_13:15:00 0.33 32.22 58.43 7.74 231.16 867.24 68.8 0.0 68.8
2023-08-31_13:30:00 0.32 32.22 58.58 7.76 230.55 867.24 68.8 0.0 68.8
2023-08-31_13:45:00 0.25 32.26 58.64 8.0 229.65 871.31 58.22 0.0 58.22
2023-08-31_14:00:00 0.2 32.17 59.38 8.21 227.37 871.31 58.22 0.0 58.22
