time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-10-10_07:00:00 0.18 25.71 85.42 2.74 345.45 0.0 0.0 0.0 0.0
2023-10-10_07:15:00 0.16 26.59 83.06 3.36 345.89 351.84 547.7 503.9 43.8
2023-10-10_07:30:00 0.2 26.78 82.3 3.71 351.27 351.84 515.72 471.92 43.8
2023-10-10_07:45:00 0.21 27.07 81.39 3.9 353.89 392.64 401.21 101.73 299.48
2023-10-10_08:00:00 0.23 27.14 81.39 4.36 353.43 392.64 392.8 93.33 299.48
2023-10-10_08:15:00 0.27 27.29 81.15 4.58 355.25 446.03 436.93 22.36 414.57
2023-10-10_08:30:00 0.31 27.33 81.22 4.74 358.02 446.03 434.48 19.91 414.57
2023-10-10_08:45:00 0.31 27.47 80.92 4.92 358.5 533.45 512.53 19.57 492.96
2023-10-10_09:00:00 0.32 27.58 80.58 4.99 0.72 533.45 509.58 16.62 492.96
2023-10-10_09:15:00 0.28 27.7 80.17 5.07 0.71 600.45 571.1 12.55 558.55
2023-10-10_09:30:00 0.28 27.8 79.78 5.16 0.58 600.45 568.23 9.69 558.55
2023-10-10_09:45:00 0.26 28.0 79.09 5.49 359.91 722.74 540.54 34.63 505.91
2023-10-10_10:00:00 0.25 28.09 78.62 5.42 0.59 722.74 525.6 19.7 505.91
2023-10-10_10:15:00 0.24 28.16 78.19 5.13 1.47 721.39 605.48 2.53 602.95
2023-10-10_10:30:00 0.23 28.23 77.75 4.79 358.98 721.39 602.95 0.0 602.95
2023-10-10_10:45:00 0.22 28.3 77.19 4.52 353.63 734.13 665.39 0.0 665.39
2023-10-10_11:00:00 0.2 28.43 76.2 4.18 350.49 734.13 665.39 0.0 665.39
2023-10-10_11:15:00 0.16 28.68 74.86 4.13 352.27 745.3 687.67 0.0 687.67
2023-10-10_11:30:00 0.14 28.81 74.38 4.4 1.69 745.3 687.67 0.0 687.67
2023-10-10_11:45:00 0.11 28.88 74.47 4.8 6.36 707.21 625.71 0.0 625.71
2023-10-10_12:00:00 0.12 28.88 74.61 4.79 7.35 707.21 625.71 0.0 625.71
2023-10-10_12:15:00 0.17 28.76 75.21 4.97 7.6 480.83 440.26 0.0 440.26
2023-10-10_12:30:00 0.22 28.75 75.2 4.9 8.25 480.83 440.26 0.0 440.26
2023-10-10_12:45:00 0.28 28.53 76.2 4.99 11.16 382.43 327.63 0.0 327.63
2023-10-10_13:00:00 0.33 28.43 76.61 4.98 11.77 382.43 327.63 0.0 327.63
2023-10-10_13:15:00 0.34 28.16 77.62 4.88 10.32 296.94 221.33 0.0 221.33
2023-10-10_13:30:00 0.33 28.07 77.99 4.87 6.9 296.94 221.33 0.0 221.33
2023-10-10_13:45:00 0.36 28.08 78.11 4.97 5.73 419.47 309.53 0.0 309.53
2023-10-10_14:00:00 0.34 28.09 78.26 5.08 4.66 419.47 309.53 0.0 309.53
2023-10-10_14:15:00 0.16 28.31 77.6 5.15 1.41 422.08 215.18 0.0 215.18
2023-10-10_14:30:00 0.01 28.42 77.19 5.05 2.55 422.08 215.18 0.0 215.18
2023-10-10_14:45:00 0.0 28.56 76.92 5.02 2.02 501.17 89.09 0.0 89.09
2023-10-10_15:00:00 0.0 28.64 76.9 5.05 1.09 501.17 89.09 0.0 89.09
2023-10-10_15:15:00 0.0 28.38 78.14 4.92 2.72 354.73 56.25 0.0 56.25
2023-10-10_15:30:00 0.0 28.27 79.12 4.89 5.58 354.73 56.25 0.0 56.25
2023-10-10_15:45:00 0.0 28.27 79.65 4.77 8.58 334.24 44.57 0.0 44.57
2023-10-10_16:00:00 0.0 28.24 80.3 4.98 6.31 334.24 44.57 0.0 44.57
2023-10-10_16:15:00 0.0 28.07 81.44 4.87 7.15 222.56 37.32 0.0 37.32
2023-10-10_16:30:00 0.0 28.03 82.16 4.81 8.05 222.56 37.32 0.0 37.32
2023-10-10_16:45:00 0.0 27.8 83.76 4.56 5.02 107.29 26.08 0.0 26.08
2023-10-10_17:00:00 0.0 27.74 84.5 4.76 6.23 107.29 26.08 0.0 26.08
2023-10-10_17:15:00 0.0 27.2 87.26 4.24 5.23 13.71 8.22 0.0 8.22
2023-10-10_17:30:00 0.0 27.16 87.85 4.33 4.39 13.71 8.22 0.0 8.22
2023-10-10_17:45:00 0.0 26.96 88.8 4.48 1.71 0.0 0.0 0.0 0.0
2023-10-10_18:00:00 0.0 26.95 89.07 4.94 0.99 0.0 0.0 0.0 0.0
2023-10-10_18:15:00 0.0 26.89 89.54 4.84 359.2 0.0 0.0 0.0 0.0
2023-10-10_18:30:00 0.0 26.8 90.06 4.54 359.3 0.0 0.0 0.0 0.0
2023-10-10_18:45:00 0.0 26.77 90.3 4.63 3.51 0.0 0.0 0.0 0.0
2023-10-10_19:00:00 0.0 26.74 90.48 4.56 1.61 0.0 0.0 0.0 0.0
2023-10-10_19:15:00 0.0 26.71 90.58 4.39 4.23 0.0 0.0 0.0 0.0
2023-10-10_19:30:00 0.0 26.73 90.32 4.55 0.42 0.0 0.0 0.0 0.0
2023-10-10_19:45:00 0.0 26.78 89.75 4.57 356.36 0.0 0.0 0.0 0.0
2023-10-10_20:00:00 0.0 26.73 89.8 4.69 357.18 0.0 0.0 0.0 0.0
2023-10-10_20:15:00 0.0 26.82 89.33 4.9 358.18 0.0 0.0 0.0 0.0
