time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-09-13_07:00:00 0.82 26.66 79.35 3.8 258.19 0.0 0.0 0.0 0.0
2023-09-13_07:15:00 0.76 27.6 76.37 4.26 255.11 362.19 624.36 579.95 44.41
2023-09-13_07:30:00 0.72 27.69 75.54 4.34 257.66 362.19 593.63 549.22 44.41
2023-09-13_07:45:00 0.86 27.52 76.2 3.97 254.31 262.52 315.77 251.72 64.05
2023-09-13_08:00:00 0.84 27.48 76.75 4.14 250.6 262.52 298.66 234.61 64.05
2023-09-13_08:15:00 0.83 27.22 78.29 4.0 250.94 176.26 164.17 119.45 44.72
2023-09-13_08:30:00 0.87 27.19 78.65 3.92 246.1 176.26 153.71 108.99 44.72
2023-09-13_08:45:00 0.91 27.18 78.54 3.72 244.09 179.06 159.82 34.33 125.49
2023-09-13_09:00:00 0.92 27.2 78.39 3.55 247.03 179.06 155.87 30.38 125.49
2023-09-13_09:15:00 0.93 27.19 78.38 3.36 250.55 87.63 78.68 6.9 71.78
2023-09-13_09:30:00 0.93 27.12 78.85 3.07 259.57 87.63 77.59 5.81 71.78
2023-09-13_09:45:00 0.92 27.0 79.51 2.84 271.08 44.97 44.66 0.02 44.65
2023-09-13_10:00:00 0.93 26.86 80.79 2.7 279.43 44.97 44.66 0.01 44.65
2023-09-13_10:15:00 0.91 26.79 81.43 2.99 282.96 48.8 48.46 0.01 48.45
2023-09-13_10:30:00 0.89 26.7 82.04 3.37 284.96 48.8 48.46 0.0 48.45
2023-09-13_10:45:00 0.9 26.74 81.83 3.71 284.51 76.02 75.56 0.0 75.56
2023-09-13_11:00:00 0.92 26.72 81.97 3.97 281.24 76.02 75.56 0.0 75.56
2023-09-13_11:15:00 0.92 26.75 81.71 4.2 279.78 79.51 79.05 0.0 79.05
2023-09-13_11:30:00 0.91 26.79 81.53 4.13 278.35 79.51 79.05 0.0 79.05
2023-09-13_11:45:00 0.92 26.93 80.81 4.24 275.92 88.35 87.84 0.0 87.84
2023-09-13_12:00:00 0.91 27.1 80.21 4.31 273.69 88.35 87.84 0.0 87.84
2023-09-13_12:15:00 0.88 27.51 78.62 4.65 269.43 134.86 131.2 0.0 131.2
