time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-08-24_07:00:00 0.29 26.69 75.19 3.21 246.65 0.0 0.0 0.0 0.0
2023-08-24_07:15:00 0.25 27.94 69.66 3.44 248.78 353.81 673.19 629.92 43.27
2023-08-24_07:30:00 0.24 28.31 67.79 3.61 248.65 353.81 643.68 600.4 43.27
2023-08-24_07:45:00 0.22 28.86 65.5 3.79 248.19 476.69 657.49 609.4 48.09
2023-08-24_08:00:00 0.15 29.14 63.91 4.01 247.33 476.69 621.0 572.91 48.09
2023-08-24_08:15:00 0.12 29.62 61.61 4.01 246.03 594.13 611.6 559.53 52.07
2023-08-24_08:30:00 0.16 29.94 59.74 4.09 240.21 594.13 568.96 516.89 52.07
2023-08-24_08:45:00 0.14 30.33 57.64 4.31 239.59 699.7 545.93 470.73 75.2
2023-08-24_09:00:00 0.11 30.61 55.88 4.69 238.38 699.7 499.77 424.57 75.2
2023-08-24_09:15:00 0.14 31.02 53.86 5.01 240.04 796.93 462.15 392.34 69.81
2023-08-24_09:30:00 0.16 31.31 52.29 5.3 242.28 796.93 411.12 341.31 69.81
2023-08-24_09:45:00 0.19 31.64 50.92 5.4 242.98 880.39 358.39 300.04 58.35
2023-08-24_10:00:00 0.25 31.85 50.41 5.29 241.18 880.39 303.34 244.99 58.35
2023-08-24_10:15:00 0.26 32.04 50.2 5.4 241.66 945.56 251.12 191.42 59.7
2023-08-24_10:30:00 0.24 32.13 50.39 5.41 238.44 945.56 194.66 134.96 59.7
2023-08-24_10:45:00 0.22 32.24 50.5 5.57 237.54 992.98 140.47 79.83 60.64
2023-08-24_11:00:00 0.22 32.33 50.61 5.72 237.71 992.98 78.54 17.9 60.64
2023-08-24_11:15:00 0.22 32.49 50.42 5.89 235.85 1022.07 61.16 0.0 61.16
2023-08-24_11:30:00 0.19 32.57 50.47 6.07 231.54 1022.07 61.16 0.0 61.16
2023-08-24_11:45:00 0.18 32.65 50.57 6.1 227.86 1032.16 61.35 0.0 61.35
2023-08-24_12:00:00 0.21 32.7 50.77 6.14 224.69 1032.16 61.35 0.0 61.35
2023-08-24_12:15:00 0.25 32.75 50.85 6.1 223.09 1023.39 61.2 0.0 61.2
2023-08-24_12:30:00 0.25 32.8 50.91 6.28 220.9 1023.39 61.2 0.0 61.2
2023-08-24_12:45:00 0.23 32.78 51.39 6.55 217.97 996.19 60.68 0.0 60.68
2023-08-24_13:00:00 0.21 32.71 52.1 6.92 215.89 996.19 60.68 0.0 60.68
2023-08-24_13:15:00 0.2 32.57 53.18 7.22 215.25 950.73 59.78 0.0 59.78
2023-08-24_13:30:00 0.2 32.47 54.2 7.44 214.69 950.73 59.78 0.0 59.78
2023-08-24_13:45:00 0.16 32.31 55.41 7.68 214.43 887.68 58.48 0.0 58.48
2023-08-24_14:00:00 0.09 32.22 56.37 8.13 213.68 887.68 58.48 0.0 58.48
2023-08-24_14:15:00 0.09 31.99 57.72 8.38 213.39 808.88 56.77 0.0 56.77
2023-08-24_14:30:00 0.13 31.88 58.57 8.47 213.77 808.88 56.77 0.0 56.77
2023-08-24_14:45:00 0.15 31.66 59.68 8.48 214.17 715.45 54.61 0.0 54.61
2023-08-24_15:00:00 0.12 31.54 60.49 8.58 213.51 715.45 54.61 0.0 54.61
2023-08-24_15:15:00 0.11 31.16 62.45 8.73 212.15 602.3 52.92 0.0 52.92
2023-08-24_15:30:00 0.1 30.89 64.25 8.88 211.1 602.3 52.92 0.0 52.92
2023-08-24_15:45:00 0.08 30.39 66.89 8.96 210.8 478.37 49.13 0.0 49.13
2023-08-24_16:00:00 0.08 30.19 68.39 8.88 211.72 478.37 49.13 0.0 49.13
2023-08-24_16:15:00 0.1 29.81 70.4 8.58 212.89 369.22 42.89 0.0 42.89
2023-08-24_16:30:00 0.08 29.71 71.34 8.49 214.26 369.22 42.89 0.0 42.89
2023-08-24_16:45:00 0.07 29.38 73.06 8.18 214.58 225.92 35.02 0.0 35.02
2023-08-24_17:00:00 0.07 29.26 74.1 7.96 214.99 225.92 35.02 0.0 35.02
2023-08-24_17:15:00 0.08 28.87 76.24 7.54 214.54 121.25 28.99 0.0 28.99
2023-08-24_17:30:00 0.06 28.7 77.28 7.52 214.76 121.25 28.99 0.0 28.99
2023-08-24_17:45:00 0.07 28.11 80.08 6.88 214.74 22.57 11.42 0.0 11.42
2023-08-24_18:00:00 0.07 27.94 81.17 6.68 216.1 22.57 11.42 0.0 11.42
2023-08-24_18:15:00 0.07 27.65 82.21 6.63 217.03 0.0 0.0 0.0 0.0
2023-08-24_18:30:00 0.06 27.54 82.75 6.52 217.71 0.0 0.0 0.0 0.0
2023-08-24_18:45:00 0.05 27.43 83.41 6.46 218.76 0.0 0.0 0.0 0.0
2023-08-24_19:00:00 0.06 27.37 83.89 6.53 219.67 0.0 0.0 0.0 0.0
2023-08-24_19:15:00 0.07 27.28 84.46 6.51 220.96 0.0 0.0 0.0 0.0
2023-08-24_19:30:00 0.06 27.25 84.78 6.52 223.29 0.0 0.0 0.0 0.0
2023-08-24_19:45:00 0.06 27.22 84.95 6.4 226.29 0.0 0.0 0.0 0.0
2023-08-24_20:00:00 0.05 27.16 85.36 6.25 228.4 0.0 0.0 0.0 0.0
2023-08-24_20:15:00 0.04 27.09 85.89 6.24 230.46 0.0 0.0 0.0 0.0
2023-08-24_20:30:00 0.03 27.04 86.34 6.38 230.93 0.0 0.0 0.0 0.0
2023-08-24_20:45:00 0.04 27.0 86.52 6.53 231.76 0.0 0.0 0.0 0.0
2023-08-24_21:00:00 0.11 26.99 86.53 6.51 233.68 0.0 0.0 0.0 0.0
2023-08-24_21:15:00 0.16 26.98 86.55 6.2 236.73 0.0 0.0 0.0 0.0
2023-08-24_21:30:00 0.13 26.96 86.5 6.17 237.97 0.0 0.0 0.0 0.0
2023-08-24_21:45:00 0.11 26.99 86.19 6.17 238.37 0.0 0.0 0.0 0.0
2023-08-24_22:00:00 0.12 27.01 85.75 5.99 240.45 0.0 0.0 0.0 0.0
2023-08-24_22:15:00 0.14 26.97 85.65 5.71 238.97 0.0 0.0 0.0 0.0
2023-08-24_22:30:00 0.08 26.91 85.79 5.62 236.24 0.0 0.0 0.0 0.0
2023-08-24_22:45:00 0.04 26.79 86.34 5.59 235.95 0.0 0.0 0.0 0.0
2023-08-24_23:00:00 0.04 26.76 86.53 5.52 237.22 0.0 0.0 0.0 0.0
2023-08-24_23:15:00 0.06 26.77 86.32 5.42 238.57 0.0 0.0 0.0 0.0
2023-08-24_23:30:00 0.11 26.77 86.05 5.32 239.55 0.0 0.0 0.0 0.0
2023-08-24_23:45:00 0.1 26.72 86.06 5.31 239.07 0.0 0.0 0.0 0.0
2023-08-25_00:00:00 0.07 26.72 85.92 5.46 239.69 0.0 0.0 0.0 0.0
2023-08-25_00:15:00 0.1 26.74 85.61 5.66 240.73 0.0 0.0 0.0 0.0
2023-08-25_00:30:00 0.14 26.74 85.49 5.64 238.97 0.0 0.0 0.0 0.0
2023-08-25_00:45:00 0.18 26.68 85.85 5.52 237.35 0.0 0.0 0.0 0.0
2023-08-25_01:00:00 0.21 26.64 86.13 5.68 237.45 0.0 0.0 0.0 0.0
2023-08-25_01:15:00 0.23 26.59 86.41 5.87 239.21 0.0 0.0 0.0 0.0
2023-08-25_01:30:00 0.25 26.55 86.75 6.2 238.88 0.0 0.0 0.0 0.0
2023-08-25_01:45:00 0.25 26.45 87.33 6.25 238.18 0.0 0.0 0.0 0.0
2023-08-25_02:00:00 0.25 26.4 87.74 6.38 238.19 0.0 0.0 0.0 0.0
2023-08-25_02:15:00 0.22 26.41 87.77 6.67 239.49 0.0 0.0 0.0 0.0
2023-08-25_02:30:00 0.22 26.42 87.1 6.74 241.94 0.0 0.0 0.0 0.0
2023-08-25_02:45:00 0.29 26.41 85.58 6.58 246.05 0.0 0.0 0.0 0.0
2023-08-25_03:00:00 0.26 26.37 84.51 6.28 248.2 0.0 0.0 0.0 0.0
2023-08-25_03:15:00 0.27 26.27 84.28 5.95 250.1 0.0 0.0 0.0 0.0
2023-08-25_03:30:00 0.32 26.22 83.93 5.76 249.76 0.0 0.0 0.0 0.0
2023-08-25_03:45:00 0.33 26.12 83.79 5.46 246.34 0.0 0.0 0.0 0.0
2023-08-25_04:00:00 0.29 26.08 83.48 5.32 243.37 0.0 0.0 0.0 0.0
2023-08-25_04:15:00 0.27 26.07 83.04 5.43 244.24 0.0 0.0 0.0 0.0
2023-08-25_04:30:00 0.3 26.0 82.84 5.06 245.32 0.0 0.0 0.0 0.0
2023-08-25_04:45:00 0.29 26.02 82.12 4.94 247.41 0.0 0.0 0.0 0.0
2023-08-25_05:00:00 0.27 26.04 81.46 5.04 246.8 0.0 0.0 0.0 0.0
2023-08-25_05:15:00 0.36 26.04 81.11 4.98 248.87 0.0 0.0 0.0 0.0
2023-08-25_05:30:00 0.36 26.01 80.91 4.96 245.35 0.0 0.0 0.0 0.0
2023-08-25_05:45:00 0.37 26.08 80.47 4.93 243.96 10.3 143.06 136.4 6.66
2023-08-25_06:00:00 0.33 26.09 80.14 4.93 242.53 10.3 140.64 133.98 6.66
