time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-08-09_07:00:00 0.0 26.4 85.29 2.16 240.82 0.0 0.0 0.0 0.0
2023-08-09_07:15:00 0.0 27.03 82.67 2.57 249.03 311.37 679.52 637.08 42.43
2023-08-09_07:30:00 0.0 27.29 81.39 2.66 247.97 311.37 653.55 611.12 42.43
2023-08-09_07:45:00 0.0 27.77 79.51 2.82 246.15 432.47 679.12 631.23 47.89
2023-08-09_08:00:00 0.0 28.06 78.18 3.05 250.74 432.47 646.15 598.26 47.89
2023-08-09_08:15:00 0.0 28.44 76.78 3.28 257.59 548.62 644.38 592.3 52.08
2023-08-09_08:30:00 0.0 28.8 75.11 3.35 260.88 548.62 605.2 553.13 52.08
2023-08-09_08:45:00 0.0 29.18 73.59 3.43 264.31 657.31 585.95 530.53 55.42
2023-08-09_09:00:00 0.0 29.49 72.1 3.59 266.08 657.31 541.39 485.97 55.42
2023-08-09_09:15:00 0.0 29.88 70.37 3.69 268.8 754.89 508.89 450.77 58.11
2023-08-09_09:30:00 0.0 30.15 69.03 3.6 268.66 754.89 459.95 401.83 58.11
2023-08-09_09:45:00 0.0 30.55 67.27 3.6 267.75 839.28 418.09 357.83 60.26
2023-08-09_10:00:00 0.0 30.81 65.9 3.54 266.41 839.28 365.85 305.59 60.26
2023-08-09_10:15:00 0.0 31.12 64.47 3.62 263.76 880.17 323.63 240.64 82.98
2023-08-09_10:30:00 0.0 31.38 63.17 3.73 262.4 880.17 272.51 189.52 82.98
2023-08-09_10:45:00 0.0 31.71 61.64 3.8 265.13 930.09 223.54 139.42 84.13
2023-08-09_11:00:00 0.0 32.01 60.22 3.95 265.16 930.09 172.58 88.45 84.13
2023-08-09_11:15:00 0.0 32.27 58.94 4.05 265.91 925.4 143.91 38.94 104.98
2023-08-09_11:30:00 0.0 32.54 57.7 3.9 267.73 925.4 104.98 0.0 104.98
2023-08-09_11:45:00 0.0 32.8 56.56 3.89 266.65 1003.14 69.45 0.0 69.45
2023-08-09_12:00:00 0.0 33.05 55.46 3.79 266.54 1003.14 69.45 0.0 69.45
2023-08-09_12:15:00 0.0 33.19 54.69 3.67 267.21 866.13 90.92 0.0 90.92
2023-08-09_12:30:00 0.0 33.4 53.78 3.58 268.3 866.13 90.92 0.0 90.92
2023-08-09_12:45:00 0.0 33.55 53.16 3.47 269.19 855.09 81.97 0.0 81.97
2023-08-09_13:00:00 0.0 33.72 52.55 3.41 267.5 855.09 81.97 0.0 81.97
2023-08-09_13:15:00 0.0 33.74 52.41 3.37 266.15 699.9 82.32 0.0 82.32
2023-08-09_13:30:00 0.0 33.87 51.91 3.35 265.49 699.9 82.32 0.0 82.32
2023-08-09_13:45:00 0.0 33.86 51.91 3.3 264.7 660.14 66.01 0.0 66.01
