time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-07-24_07:00:00 0.74 24.75 89.13 1.84 246.0 0.0 0.0 0.0 0.0
2023-07-24_07:15:00 0.74 26.54 78.2 2.74 240.61 365.75 695.56 651.13 44.43
2023-07-24_07:30:00 0.72 27.02 75.21 3.2 237.25 365.75 668.52 624.09 44.43
2023-07-24_07:45:00 0.76 27.67 71.97 3.49 232.6 481.03 682.08 633.0 49.07
2023-07-24_08:00:00 0.73 28.06 69.95 3.66 237.06 481.03 648.74 599.67 49.07
2023-07-24_08:15:00 0.67 28.65 67.27 3.93 240.33 590.42 640.99 588.31 52.68
2023-07-24_08:30:00 0.6 29.07 65.16 3.96 243.17 590.42 602.08 549.4 52.68
2023-07-24_08:45:00 0.6 29.64 62.69 3.96 245.92 691.58 579.79 524.21 55.58
2023-07-24_09:00:00 0.65 30.09 60.63 3.98 246.53 691.58 536.11 480.52 55.58
2023-07-24_09:15:00 0.65 30.64 58.5 3.98 245.34 781.2 502.52 444.58 57.95
2023-07-24_09:30:00 0.65 31.03 56.96 3.83 245.88 781.2 455.02 397.07 57.95
2023-07-24_09:45:00 0.65 31.49 55.43 3.93 246.19 857.76 413.62 353.76 59.86
2023-07-24_10:00:00 0.69 31.82 54.42 3.85 248.06 857.76 363.33 303.47 59.86
2023-07-24_10:15:00 0.69 32.18 53.45 4.05 246.33 919.58 316.53 255.22 61.3
2023-07-24_10:30:00 0.72 32.47 52.69 4.13 245.45 919.58 264.63 203.33 61.3
2023-07-24_10:45:00 0.72 32.73 52.07 4.14 244.44 965.3 214.84 152.52 62.32
2023-07-24_11:00:00 0.73 32.92 51.68 4.2 243.05 965.3 163.56 101.24 62.32
2023-07-24_11:15:00 0.62 33.1 51.31 4.48 239.93 993.78 107.43 44.49 62.95
2023-07-24_11:30:00 0.54 33.21 50.88 4.6 237.43 993.78 62.95 0.0 62.95
2023-07-24_11:45:00 0.56 33.26 50.51 4.39 236.51 971.36 65.37 0.0 65.37
2023-07-24_12:00:00 0.53 33.36 50.13 4.34 236.64 971.36 65.37 0.0 65.37
2023-07-24_12:15:00 0.41 33.4 49.99 4.19 234.06 927.25 62.05 0.0 62.05
2023-07-24_12:30:00 0.32 33.42 49.84 3.91 227.18 927.25 62.05 0.0 62.05
2023-07-24_12:45:00 0.36 33.51 49.51 3.38 227.91 910.53 65.6 0.0 65.6
2023-07-24_13:00:00 0.34 33.62 49.2 2.9 229.94 910.53 65.6 0.0 65.6
2023-07-24_13:15:00 0.29 33.49 49.71 2.07 233.18 738.43 58.99 0.0 58.99
2023-07-24_13:30:00 0.3 33.31 50.91 0.98 237.5 738.43 58.99 0.0 58.99
2023-07-24_13:45:00 0.31 32.81 53.32 0.23 334.73 631.17 55.8 0.0 55.8
2023-07-24_14:00:00 0.39 32.55 55.14 0.92 19.76 631.17 55.8 0.0 55.8
2023-07-24_14:15:00 0.38 31.95 58.23 1.66 33.59 388.8 49.07 0.0 49.07
2023-07-24_14:30:00 0.28 31.6 60.64 2.03 34.19 388.8 49.07 0.0 49.07
2023-07-24_14:45:00 0.25 31.34 62.86 2.24 47.66 442.9 62.44 0.0 62.44
2023-07-24_15:00:00 0.29 31.13 64.57 2.7 56.89 442.9 62.44 0.0 62.44
2023-07-24_15:15:00 0.31 31.21 64.42 3.23 52.94 512.35 50.63 0.0 50.63
2023-07-24_15:30:00 0.23 31.18 64.69 3.77 52.05 512.35 50.63 0.0 50.63
2023-07-24_15:45:00 0.21 30.92 65.98 4.21 57.34 365.64 46.25 0.0 46.25
2023-07-24_16:00:00 0.34 30.64 67.97 4.48 67.4 365.64 46.25 0.0 46.25
2023-07-24_16:15:00 0.38 30.12 71.03 4.88 75.52 290.4 43.64 0.0 43.64
2023-07-24_16:30:00 0.49 29.73 73.84 5.18 81.68 290.4 43.64 0.0 43.64
2023-07-24_16:45:00 0.54 28.85 78.13 5.08 82.3 89.07 19.61 0.0 19.61
2023-07-24_17:00:00 0.46 28.61 79.71 4.58 85.64 89.07 19.61 0.0 19.61
2023-07-24_17:15:00 0.7 28.33 81.66 3.48 84.56 50.73 29.18 0.0 29.18
2023-07-24_17:30:00 0.67 28.16 82.5 3.16 79.37 50.73 29.18 0.0 29.18
2023-07-24_17:45:00 0.79 27.84 83.89 2.54 75.6 14.48 7.06 0.0 7.06
2023-07-24_18:00:00 0.79 27.73 84.35 2.07 64.36 14.48 7.06 0.0 7.06
2023-07-24_18:15:00 0.83 27.44 85.68 2.02 36.93 0.0 0.0 0.0 0.0
2023-07-24_18:30:00 0.86 27.3 86.69 1.95 44.99 0.0 0.0 0.0 0.0
2023-07-24_18:45:00 0.85 27.1 88.14 1.56 22.41 0.0 0.0 0.0 0.0
2023-07-24_19:00:00 0.88 26.98 89.24 1.04 14.08 0.0 0.0 0.0 0.0
2023-07-24_19:15:00 0.83 26.86 89.66 1.39 20.28 0.0 0.0 0.0 0.0
2023-07-24_19:30:00 0.87 26.81 89.77 1.32 8.53 0.0 0.0 0.0 0.0
2023-07-24_19:45:00 0.9 26.64 90.53 1.14 303.69 0.0 0.0 0.0 0.0
2023-07-24_20:00:00 0.85 26.45 90.91 1.92 273.81 0.0 0.0 0.0 0.0
2023-07-24_20:15:00 0.87 26.38 90.71 1.65 272.9 0.0 0.0 0.0 0.0
2023-07-24_20:30:00 0.85 26.23 90.78 1.91 268.88 0.0 0.0 0.0 0.0
2023-07-24_20:45:00 0.85 26.08 91.04 2.17 253.17 0.0 0.0 0.0 0.0
2023-07-24_21:00:00 0.79 26.0 90.99 2.42 262.03 0.0 0.0 0.0 0.0
2023-07-24_21:15:00 0.75 25.93 91.11 2.22 253.52 0.0 0.0 0.0 0.0
2023-07-24_21:30:00 0.78 25.87 90.84 2.71 259.07 0.0 0.0 0.0 0.0
2023-07-24_21:45:00 0.79 25.78 90.74 2.44 273.9 0.0 0.0 0.0 0.0
2023-07-24_22:00:00 0.79 25.79 89.84 2.31 265.49 0.0 0.0 0.0 0.0
2023-07-24_22:15:00 0.76 25.73 89.36 2.19 257.03 0.0 0.0 0.0 0.0
2023-07-24_22:30:00 0.67 25.69 88.62 2.66 246.6 0.0 0.0 0.0 0.0
2023-07-24_22:45:00 0.66 25.52 89.02 2.38 237.31 0.0 0.0 0.0 0.0
2023-07-24_23:00:00 0.65 25.38 89.79 2.04 239.97 0.0 0.0 0.0 0.0
2023-07-24_23:15:00 0.62 25.25 90.53 2.01 244.19 0.0 0.0 0.0 0.0
2023-07-24_23:30:00 0.66 25.27 90.27 2.32 257.36 0.0 0.0 0.0 0.0
2023-07-24_23:45:00 0.56 25.25 90.11 2.52 254.45 0.0 0.0 0.0 0.0
2023-07-25_00:00:00 0.51 25.22 90.27 2.41 238.3 0.0 0.0 0.0 0.0
2023-07-25_00:15:00 0.47 25.05 91.31 1.95 238.45 0.0 0.0 0.0 0.0
2023-07-25_00:30:00 0.42 24.98 91.71 1.79 241.93 0.0 0.0 0.0 0.0
2023-07-25_00:45:00 0.36 25.03 90.83 2.4 241.43 0.0 0.0 0.0 0.0
2023-07-25_01:00:00 0.27 25.19 89.15 3.03 235.15 0.0 0.0 0.0 0.0
2023-07-25_01:15:00 0.17 25.2 88.23 3.14 239.99 0.0 0.0 0.0 0.0
2023-07-25_01:30:00 0.23 25.15 87.95 3.04 239.14 0.0 0.0 0.0 0.0
2023-07-25_01:45:00 0.36 25.14 87.48 3.11 239.77 0.0 0.0 0.0 0.0
2023-07-25_02:00:00 0.41 25.15 86.83 3.3 244.95 0.0 0.0 0.0 0.0
2023-07-25_02:15:00 0.36 25.04 87.35 2.74 249.75 0.0 0.0 0.0 0.0
2023-07-25_02:30:00 0.44 24.95 87.64 2.23 249.78 0.0 0.0 0.0 0.0
2023-07-25_02:45:00 0.56 25.01 87.12 2.19 245.29 0.0 0.0 0.0 0.0
2023-07-25_03:00:00 0.53 24.99 87.07 2.14 249.17 0.0 0.0 0.0 0.0
2023-07-25_03:15:00 0.49 25.02 86.81 2.41 253.89 0.0 0.0 0.0 0.0
2023-07-25_03:30:00 0.5 25.01 86.81 2.5 260.31 0.0 0.0 0.0 0.0
2023-07-25_03:45:00 0.57 25.08 86.35 2.68 260.88 0.0 0.0 0.0 0.0
2023-07-25_04:00:00 0.56 25.13 85.88 3.05 261.12 0.0 0.0 0.0 0.0
2023-07-25_04:15:00 0.55 25.13 85.72 3.24 260.59 0.0 0.0 0.0 0.0
2023-07-25_04:30:00 0.53 25.16 85.34 3.51 257.55 0.0 0.0 0.0 0.0
2023-07-25_04:45:00 0.52 25.2 84.95 3.83 256.22 0.0 0.0 0.0 0.0
2023-07-25_05:00:00 0.52 25.19 84.87 3.96 254.74 0.0 0.0 0.0 0.0
2023-07-25_05:15:00 0.5 25.14 84.95 4.03 253.1 0.0 0.0 0.0 0.0
2023-07-25_05:30:00 0.49 25.12 84.84 4.18 252.49 0.0 0.0 0.0 0.0
2023-07-25_05:45:00 0.53 25.41 83.63 4.52 251.07 20.64 21.15 0.67 20.48
2023-07-25_06:00:00 0.57 25.4 83.58 4.41 251.15 20.64 21.14 0.66 20.48
2023-07-25_06:15:00 0.55 25.96 80.85 5.06 252.19 78.62 78.25 0.11 78.15
2023-07-25_06:30:00 0.52 26.05 80.35 5.02 250.79 78.62 78.25 0.1 78.15
2023-07-25_06:45:00 0.47 26.54 78.53 5.21 251.05 161.87 162.07 1.67 160.4
2023-07-25_07:00:00 0.44 26.67 78.11 5.47 251.38 161.87 162.02 1.62 160.4
2023-07-25_07:15:00 0.38 27.0 77.1 6.16 251.78 234.99 237.4 7.35 230.06
2023-07-25_07:30:00 0.42 27.2 76.49 6.05 254.49 234.99 237.1 7.04 230.06
2023-07-25_07:45:00 0.4 27.58 75.08 6.17 255.04 299.24 298.63 3.39 295.23
2023-07-25_08:00:00 0.4 27.79 74.12 6.2 256.78 299.24 298.45 3.22 295.23
2023-07-25_08:15:00 0.41 28.24 72.1 6.36 255.26 392.2 391.23 14.11 377.12
2023-07-25_08:30:00 0.4 28.46 70.79 6.59 253.89 392.2 390.29 13.17 377.12
2023-07-25_08:45:00 0.42 28.89 68.68 6.8 252.93 508.9 497.13 42.39 454.74
2023-07-25_09:00:00 0.43 29.02 67.54 6.77 253.85 508.9 493.59 38.85 454.74
2023-07-25_09:15:00 0.43 29.44 65.51 6.68 253.09 702.26 585.97 180.96 405.01
2023-07-25_09:30:00 0.38 29.59 64.45 6.79 252.74 702.26 566.58 161.57 405.01
2023-07-25_09:45:00 0.31 29.88 63.21 7.0 252.57 801.38 444.76 282.03 162.72
2023-07-25_10:00:00 0.24 30.0 62.74 6.95 251.35 801.38 404.5 241.78 162.72
2023-07-25_10:15:00 0.21 30.3 61.82 6.68 252.62 887.51 324.82 236.51 88.32
2023-07-25_10:30:00 0.17 30.6 60.93 6.54 255.6 887.51 276.46 188.14 88.32
2023-07-25_10:45:00 0.2 31.0 59.76 6.47 256.67 947.8 215.17 147.37 67.8
2023-07-25_11:00:00 0.19 31.25 58.97 6.71 257.63 947.8 165.17 97.37 67.8
2023-07-25_11:15:00 0.15 31.43 58.08 6.95 257.26 973.27 108.11 41.96 66.15
2023-07-25_11:30:00 0.1 31.56 57.06 7.06 257.46 973.27 66.15 0.0 66.15
2023-07-25_11:45:00 0.09 31.72 56.05 7.04 257.98 1004.72 63.22 0.0 63.22
2023-07-25_12:00:00 0.11 31.82 55.44 6.99 259.58 1004.72 63.22 0.0 63.22
2023-07-25_12:15:00 0.06 31.84 55.21 6.96 261.48 987.45 64.51 0.0 64.51
2023-07-25_12:30:00 0.05 31.9 54.9 6.67 262.65 987.45 64.51 0.0 64.51
2023-07-25_12:45:00 0.05 31.98 54.62 6.49 260.92 932.27 62.48 0.0 62.48
2023-07-25_13:00:00 0.04 32.08 54.35 6.33 262.1 932.27 62.48 0.0 62.48
2023-07-25_13:15:00 0.04 32.14 54.3 6.28 267.22 896.97 61.34 0.0 61.34
2023-07-25_13:30:00 0.05 32.18 54.32 6.32 269.94 896.97 61.34 0.0 61.34
2023-07-25_13:45:00 0.05 32.13 54.41 6.13 267.93 813.43 60.02 0.0 60.02
2023-07-25_14:00:00 0.04 32.25 53.94 5.88 267.27 813.43 60.02 0.0 60.02
2023-07-25_14:15:00 0.03 32.38 53.39 5.94 265.25 809.73 58.6 0.0 58.6
2023-07-25_14:30:00 0.01 32.48 53.12 5.91 259.99 809.73 58.6 0.0 58.6
2023-07-25_14:45:00 0.0 32.4 53.51 5.67 254.61 702.05 56.22 0.0 56.22
2023-07-25_15:00:00 0.0 32.39 53.76 5.42 258.47 702.05 56.22 0.0 56.22
2023-07-25_15:15:00 0.0 32.28 54.31 5.13 263.12 599.1 55.09 0.0 55.09
2023-07-25_15:30:00 0.0 32.28 54.67 4.77 266.57 599.1 55.09 0.0 55.09
2023-07-25_15:45:00 0.0 32.0 55.9 4.57 269.55 467.68 52.88 0.0 52.88
2023-07-25_16:00:00 0.0 31.93 56.57 4.11 271.52 467.68 52.88 0.0 52.88
2023-07-25_16:15:00 0.0 31.67 57.78 3.43 271.08 366.52 43.64 0.0 43.64
2023-07-25_16:30:00 0.0 31.61 58.38 2.87 264.77 366.52 43.64 0.0 43.64
2023-07-25_16:45:00 0.0 31.33 59.53 2.96 255.88 197.5 30.0 0.0 30.0
2023-07-25_17:00:00 0.01 31.28 59.82 2.78 266.42 197.5 30.0 0.0 30.0
2023-07-25_17:15:00 0.01 30.93 61.14 2.39 272.49 123.13 28.47 0.0 28.47
2023-07-25_17:30:00 0.0 30.82 62.05 1.84 274.94 123.13 28.47 0.0 28.47
2023-07-25_17:45:00 0.01 30.22 65.11 1.13 257.95 50.54 17.75 0.0 17.75
2023-07-25_18:00:00 0.0 30.03 66.17 0.8 240.96 50.54 17.75 0.0 17.75
2023-07-25_18:15:00 0.0 28.9 71.07 0.13 185.88 0.0 0.0 0.0 0.0
2023-07-25_18:30:00 0.0 28.66 72.82 0.38 68.52 0.0 0.0 0.0 0.0
2023-07-25_18:45:00 0.0 28.48 74.23 0.82 30.27 0.0 0.0 0.0 0.0
2023-07-25_19:00:00 0.0 28.22 76.09 1.34 25.75 0.0 0.0 0.0 0.0
2023-07-25_19:15:00 0.0 28.07 77.38 1.48 28.04 0.0 0.0 0.0 0.0
2023-07-25_19:30:00 0.0 27.93 78.67 1.19 32.7 0.0 0.0 0.0 0.0
2023-07-25_19:45:00 0.0 27.71 80.2 0.89 40.07 0.0 0.0 0.0 0.0
2023-07-25_20:00:00 0.0 27.65 80.97 0.65 31.83 0.0 0.0 0.0 0.0
2023-07-25_20:15:00 0.0 27.47 83.29 0.28 5.12 0.0 0.0 0.0 0.0
2023-07-25_20:30:00 0.0 27.4 83.25 0.48 298.71 0.0 0.0 0.0 0.0
2023-07-25_20:45:00 0.0 27.66 80.67 0.87 293.21 0.0 0.0 0.0 0.0
2023-07-25_21:00:00 0.0 27.57 81.21 0.68 353.33 0.0 0.0 0.0 0.0
2023-07-25_21:15:00 0.0 27.09 83.44 0.52 17.94 0.0 0.0 0.0 0.0
2023-07-25_21:30:00 0.0 26.98 83.97 0.47 301.45 0.0 0.0 0.0 0.0
2023-07-25_21:45:00 0.0 26.64 84.94 0.89 299.17 0.0 0.0 0.0 0.0
2023-07-25_22:00:00 0.0 26.74 83.42 1.28 295.9 0.0 0.0 0.0 0.0
2023-07-25_22:15:00 0.0 26.89 81.76 1.44 277.85 0.0 0.0 0.0 0.0
2023-07-25_22:30:00 0.0 26.88 80.57 1.57 265.82 0.0 0.0 0.0 0.0
2023-07-25_22:45:00 0.0 26.75 80.31 1.52 256.34 0.0 0.0 0.0 0.0
2023-07-25_23:00:00 0.0 26.72 79.65 1.76 249.72 0.0 0.0 0.0 0.0
2023-07-25_23:15:00 0.0 26.37 81.05 1.81 253.2 0.0 0.0 0.0 0.0
2023-07-25_23:30:00 0.0 26.32 81.04 2.0 259.58 0.0 0.0 0.0 0.0
2023-07-25_23:45:00 0.0 26.33 80.51 2.79 251.72 0.0 0.0 0.0 0.0
2023-07-26_00:00:00 0.0 26.4 79.83 3.46 245.1 0.0 0.0 0.0 0.0
2023-07-26_00:15:00 0.0 26.28 80.1 3.85 249.39 0.0 0.0 0.0 0.0
