time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-09-01_07:00:00 0.7 25.58 89.26 1.56 242.19 0.0 0.0 0.0 0.0
2023-09-01_07:15:00 0.66 27.39 78.34 2.71 247.51 357.15 648.34 603.86 44.49
2023-09-01_07:30:00 0.69 27.92 74.8 3.4 241.04 357.15 618.94 574.45 44.49
2023-09-01_07:45:00 0.77 28.63 71.2 3.72 241.06 477.82 630.07 580.64 49.43
2023-09-01_08:00:00 0.82 29.06 68.95 3.74 242.11 477.82 593.93 544.5 49.43
2023-09-01_08:15:00 0.87 29.53 66.71 3.81 244.37 585.72 576.42 510.0 66.43
2023-09-01_08:30:00 0.88 29.91 64.87 3.74 250.28 585.72 535.92 469.49 66.43
2023-09-01_08:45:00 0.92 30.34 63.15 3.64 256.89 684.13 506.77 442.19 64.58
2023-09-01_09:00:00 0.9 30.65 61.93 3.59 257.25 684.13 461.33 396.76 64.58
2023-09-01_09:15:00 0.91 30.91 60.96 3.4 256.34 692.41 500.01 195.48 304.53
2023-09-01_09:30:00 0.89 31.14 60.1 3.27 257.24 692.41 473.1 168.58 304.53
2023-09-01_09:45:00 0.86 30.99 60.38 3.31 257.57 566.1 363.48 101.77 261.71
2023-09-01_10:00:00 0.84 31.13 59.87 3.29 262.24 566.1 343.35 81.64 261.71
2023-09-01_10:15:00 0.86 30.86 61.39 3.09 272.94 189.72 170.74 4.23 166.51
2023-09-01_10:30:00 0.92 30.47 64.11 2.83 287.32 189.72 169.34 2.83 166.51
2023-09-01_10:45:00 0.9 29.65 68.35 2.32 303.66 213.66 165.68 3.15 162.53
2023-09-01_11:00:00 0.87 29.05 71.6 1.62 318.35 213.66 162.53 0.0 162.53
2023-09-01_11:15:00 0.83 29.25 71.22 1.36 329.06 281.66 191.01 0.0 191.01
2023-09-01_11:30:00 0.78 29.24 71.34 1.4 341.99 281.66 191.01 0.0 191.01
2023-09-01_11:45:00 0.71 29.1 72.28 1.74 3.27 325.44 287.19 0.0 287.19
2023-09-01_12:00:00 0.65 28.98 73.15 2.07 13.24 325.44 287.19 0.0 287.19
2023-09-01_12:15:00 0.63 28.69 75.07 2.16 23.13 179.95 137.28 0.0 137.28
2023-09-01_12:30:00 0.65 28.5 76.36 2.44 32.99 179.95 137.28 0.0 137.28
2023-09-01_12:45:00 0.72 28.47 77.28 2.45 43.25 249.87 86.37 0.0 86.37
2023-09-01_13:00:00 0.86 28.23 79.11 2.27 45.16 249.87 86.37 0.0 86.37
2023-09-01_13:15:00 0.85 27.81 81.71 2.23 42.52 201.28 56.49 0.0 56.49
2023-09-01_13:30:00 0.82 27.57 83.4 2.58 48.76 201.28 56.49 0.0 56.49
2023-09-01_13:45:00 0.73 27.61 84.03 3.1 54.05 279.12 109.41 0.0 109.41
2023-09-01_14:00:00 0.76 27.73 83.62 3.29 55.81 279.12 109.41 0.0 109.41
2023-09-01_14:15:00 0.76 28.44 80.22 3.46 58.68 589.16 87.74 0.0 87.74
2023-09-01_14:30:00 0.72 28.68 78.92 3.26 60.93 589.16 87.74 0.0 87.74
2023-09-01_14:45:00 0.66 28.9 77.84 3.0 60.84 559.99 72.55 0.0 72.55
2023-09-01_15:00:00 0.63 29.1 76.85 2.77 65.56 559.99 72.55 0.0 72.55
2023-09-01_15:15:00 0.61 29.08 76.84 2.35 63.89 283.46 41.58 0.0 41.58
2023-09-01_15:30:00 0.6 29.16 76.58 2.04 56.19 283.46 41.58 0.0 41.58
2023-09-01_15:45:00 0.48 29.26 75.91 1.6 48.72 410.5 44.57 0.0 44.57
2023-09-01_16:00:00 0.42 29.31 75.51 1.0 56.34 410.5 44.57 0.0 44.57
2023-09-01_16:15:00 0.52 29.25 75.55 0.08 169.82 303.31 104.57 0.0 104.57
2023-09-01_16:30:00 0.65 29.13 76.21 0.88 231.9 303.31 104.57 0.0 104.57
2023-09-01_16:45:00 0.7 28.53 78.67 1.22 244.51 132.7 69.69 0.0 69.69
2023-09-01_17:00:00 0.79 28.19 79.83 1.16 256.99 132.7 69.69 0.0 69.69
2023-09-01_17:15:00 0.87 27.54 83.26 0.99 292.68 33.97 20.85 0.0 20.85
2023-09-01_17:30:00 0.86 27.13 85.35 1.37 335.41 33.97 20.85 0.0 20.85
2023-09-01_17:45:00 0.84 26.58 88.78 1.59 351.21 3.36 3.05 0.0 3.05
2023-09-01_18:00:00 0.76 26.45 89.6 1.72 352.52 3.36 3.05 0.0 3.05
2023-09-01_18:15:00 0.69 26.33 90.06 1.86 358.81 0.0 0.0 0.0 0.0
2023-09-01_18:30:00 0.71 26.33 89.99 1.77 2.87 0.0 0.0 0.0 0.0
2023-09-01_18:45:00 0.72 26.22 90.43 1.7 10.59 0.0 0.0 0.0 0.0
2023-09-01_19:00:00 0.69 26.24 90.11 1.78 2.53 0.0 0.0 0.0 0.0
2023-09-01_19:15:00 0.74 26.09 90.56 1.41 344.11 0.0 0.0 0.0 0.0
2023-09-01_19:30:00 0.78 26.08 90.96 1.15 318.61 0.0 0.0 0.0 0.0
2023-09-01_19:45:00 0.83 26.11 91.0 1.04 313.24 0.0 0.0 0.0 0.0
2023-09-01_20:00:00 0.84 25.99 91.23 1.28 309.89 0.0 0.0 0.0 0.0
2023-09-01_20:15:00 0.81 25.79 91.63 1.23 314.46 0.0 0.0 0.0 0.0
2023-09-01_20:30:00 0.73 25.75 91.84 1.0 312.32 0.0 0.0 0.0 0.0
2023-09-01_20:45:00 0.69 25.61 92.34 0.87 300.94 0.0 0.0 0.0 0.0
2023-09-01_21:00:00 0.7 25.6 92.1 0.92 275.83 0.0 0.0 0.0 0.0
2023-09-01_21:15:00 0.71 25.71 91.72 1.15 239.15 0.0 0.0 0.0 0.0
2023-09-01_21:30:00 0.67 25.67 91.69 1.48 226.1 0.0 0.0 0.0 0.0
2023-09-01_21:45:00 0.58 25.69 91.39 1.66 232.68 0.0 0.0 0.0 0.0
2023-09-01_22:00:00 0.55 25.69 90.93 1.99 235.41 0.0 0.0 0.0 0.0
2023-09-01_22:15:00 0.5 25.55 91.2 2.01 235.82 0.0 0.0 0.0 0.0
2023-09-01_22:30:00 0.47 25.51 91.29 1.72 234.72 0.0 0.0 0.0 0.0
2023-09-01_22:45:00 0.48 25.47 91.41 1.42 239.69 0.0 0.0 0.0 0.0
2023-09-01_23:00:00 0.39 25.44 91.49 1.28 250.99 0.0 0.0 0.0 0.0
2023-09-01_23:15:00 0.39 25.29 91.53 1.22 247.06 0.0 0.0 0.0 0.0
2023-09-01_23:30:00 0.44 25.26 91.21 1.59 237.97 0.0 0.0 0.0 0.0
2023-09-01_23:45:00 0.49 25.23 90.97 1.3 224.36 0.0 0.0 0.0 0.0
2023-09-02_00:00:00 0.55 25.14 91.07 0.87 211.32 0.0 0.0 0.0 0.0
2023-09-02_00:15:00 0.6 25.11 90.71 0.75 226.58 0.0 0.0 0.0 0.0
2023-09-02_00:30:00 0.55 25.16 89.9 1.21 259.4 0.0 0.0 0.0 0.0
2023-09-02_00:45:00 0.46 25.2 89.06 1.68 275.1 0.0 0.0 0.0 0.0
2023-09-02_01:00:00 0.54 25.17 88.79 1.34 272.32 0.0 0.0 0.0 0.0
2023-09-02_01:15:00 0.55 25.18 88.53 1.34 267.89 0.0 0.0 0.0 0.0
2023-09-02_01:30:00 0.56 25.18 88.14 1.42 269.77 0.0 0.0 0.0 0.0
2023-09-02_01:45:00 0.58 25.18 87.89 1.65 264.05 0.0 0.0 0.0 0.0
2023-09-02_02:00:00 0.62 25.17 87.81 2.04 254.43 0.0 0.0 0.0 0.0
2023-09-02_02:15:00 0.64 25.16 87.7 2.05 249.9 0.0 0.0 0.0 0.0
2023-09-02_02:30:00 0.62 25.14 87.78 2.03 247.07 0.0 0.0 0.0 0.0
2023-09-02_02:45:00 0.58 25.22 87.65 2.26 251.08 0.0 0.0 0.0 0.0
2023-09-02_03:00:00 0.62 25.25 87.51 2.46 249.88 0.0 0.0 0.0 0.0
2023-09-02_03:15:00 0.68 25.22 87.51 2.76 252.74 0.0 0.0 0.0 0.0
2023-09-02_03:30:00 0.67 25.28 87.22 3.11 256.66 0.0 0.0 0.0 0.0
2023-09-02_03:45:00 0.62 25.35 87.0 3.2 258.78 0.0 0.0 0.0 0.0
2023-09-02_04:00:00 0.61 25.34 87.0 3.27 255.62 0.0 0.0 0.0 0.0
2023-09-02_04:15:00 0.51 25.49 86.37 3.52 254.38 0.0 0.0 0.0 0.0
2023-09-02_04:30:00 0.52 25.53 86.18 3.65 256.57 0.0 0.0 0.0 0.0
2023-09-02_04:45:00 0.48 25.33 86.76 3.5 259.68 0.0 0.0 0.0 0.0
2023-09-02_05:00:00 0.43 25.3 86.63 3.36 258.95 0.0 0.0 0.0 0.0
2023-09-02_05:15:00 0.5 25.22 86.76 3.0 255.12 0.0 0.0 0.0 0.0
2023-09-02_05:30:00 0.52 25.14 87.06 2.55 253.13 0.0 0.0 0.0 0.0
2023-09-02_05:45:00 0.48 25.47 86.01 2.38 253.45 6.32 28.03 22.56 5.47
2023-09-02_06:00:00 0.43 25.48 85.83 2.31 245.73 6.32 27.61 22.13 5.47
2023-09-02_06:15:00 0.46 25.96 83.75 2.55 238.95 32.11 136.11 126.59 9.52
2023-09-02_06:30:00 0.58 25.99 83.71 2.55 234.87 32.11 132.6 123.08 9.52
2023-09-02_06:45:00 0.57 25.86 84.4 2.48 233.96 20.32 33.3 19.76 13.55
2023-09-02_07:00:00 0.51 25.84 84.64 2.48 237.74 20.32 32.56 19.01 13.55
2023-09-02_07:15:00 0.49 25.92 84.43 2.71 240.16 28.34 32.25 8.45 23.8
2023-09-02_07:30:00 0.53 25.87 84.86 3.11 242.22 28.34 31.84 8.04 23.8
2023-09-02_07:45:00 0.56 26.08 84.06 3.74 245.08 74.76 87.16 49.1 38.07
2023-09-02_08:00:00 0.53 26.09 84.0 4.45 246.55 74.76 84.09 46.02 38.07
2023-09-02_08:15:00 0.56 26.53 82.27 5.16 252.03 93.39 91.97 53.1 38.87
2023-09-02_08:30:00 0.55 26.76 81.24 5.21 256.11 93.39 87.73 48.85 38.87
2023-09-02_08:45:00 0.53 27.1 79.74 5.32 258.96 232.78 186.46 111.66 74.81
2023-09-02_09:00:00 0.57 27.23 78.81 5.49 258.47 232.78 174.9 100.09 74.81
2023-09-02_09:15:00 0.6 28.0 76.11 6.19 253.96 445.72 271.98 174.44 97.54
2023-09-02_09:30:00 0.64 28.23 75.23 5.8 251.02 445.72 247.73 150.19 97.54
2023-09-02_09:45:00 0.67 29.02 72.23 6.14 252.72 577.59 264.9 155.0 109.9
2023-09-02_10:00:00 0.65 29.45 69.96 5.71 257.38 577.59 233.83 123.92 109.9
2023-09-02_10:15:00 0.53 30.43 65.58 5.95 259.85 885.96 344.87 123.57 221.3
