time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-09-01_07:00:00 0.87 26.09 89.74 3.41 254.43 0.0 0.0 0.0 0.0
2023-09-01_07:15:00 0.98 27.41 81.44 3.62 256.86 313.31 645.7 603.29 42.41
2023-09-01_07:30:00 0.98 27.73 79.69 3.69 258.5 313.31 618.23 575.82 42.41
2023-09-01_07:45:00 0.98 27.08 82.87 2.52 256.77 21.71 21.59 0.01 21.58
2023-09-01_08:00:00 0.97 27.06 83.65 2.04 253.11 21.71 21.59 0.01 21.58
2023-09-01_08:15:00 0.95 27.1 83.41 2.26 246.08 50.94 50.65 0.05 50.61
2023-09-01_08:30:00 0.96 27.09 83.6 2.2 240.97 50.94 50.65 0.04 50.61
2023-09-01_08:45:00 0.96 27.37 82.26 2.44 234.82 105.88 105.27 0.0 105.27
2023-09-01_09:00:00 0.95 27.46 81.94 2.6 224.19 105.88 105.27 0.0 105.27
2023-09-01_09:15:00 0.91 27.59 81.25 2.82 220.05 110.55 109.92 0.0 109.92
2023-09-01_09:30:00 0.82 27.61 81.18 3.09 226.94 110.55 109.92 0.0 109.92
2023-09-01_09:45:00 0.72 28.25 78.54 3.97 229.92 348.19 345.83 0.23 345.59
2023-09-01_10:00:00 0.73 28.44 77.73 3.98 228.94 348.19 345.79 0.19 345.59
2023-09-01_10:15:00 0.75 28.58 77.16 4.3 228.87 294.26 292.36 0.07 292.29
2023-09-01_10:30:00 0.76 28.54 77.21 4.68 225.65 294.26 292.34 0.05 292.29
2023-09-01_10:45:00 0.79 28.35 77.76 5.02 221.93 220.83 215.47 0.42 215.05
2023-09-01_11:00:00 0.8 28.16 78.28 5.35 220.38 220.83 215.2 0.15 215.05
2023-09-01_11:15:00 0.82 28.15 78.29 5.41 221.02 276.92 274.59 0.0 274.59
2023-09-01_11:30:00 0.76 28.21 77.9 5.72 222.04 276.92 274.59 0.0 274.59
2023-09-01_11:45:00 0.69 28.49 76.46 6.36 221.47 383.96 381.74 0.0 381.74
2023-09-01_12:00:00 0.7 28.57 75.93 6.77 229.55 383.96 381.74 0.0 381.74
2023-09-01_12:15:00 0.77 28.56 75.88 6.64 233.87 379.0 376.83 0.0 376.83
2023-09-01_12:30:00 0.77 28.67 75.35 6.0 240.24 379.0 376.83 0.0 376.83
