time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-08-20_07:00:00 0.28 26.43 76.66 1.1 221.58 0.0 0.0 0.0 0.0
2023-08-20_07:15:00 0.26 27.49 74.19 1.41 209.44 361.76 675.81 632.68 43.13
2023-08-20_07:30:00 0.28 27.83 72.82 1.46 209.45 361.76 647.01 603.88 43.13
2023-08-20_07:45:00 0.29 28.18 71.41 1.66 205.82 461.84 588.42 439.62 148.8
2023-08-20_08:00:00 0.29 28.43 70.34 1.52 205.36 461.84 562.92 414.12 148.8
2023-08-20_08:15:00 0.31 28.77 68.94 1.36 202.72 582.16 595.71 460.87 134.83
2023-08-20_08:30:00 0.34 29.07 67.79 1.39 193.12 582.16 561.82 426.99 134.83
2023-08-20_08:45:00 0.38 29.37 66.61 1.26 183.62 693.0 550.65 451.82 98.83
2023-08-20_09:00:00 0.42 29.58 65.75 0.97 149.58 693.0 508.17 409.34 98.83
2023-08-20_09:15:00 0.41 29.92 64.8 1.23 126.23 782.57 488.43 360.91 127.52
2023-08-20_09:30:00 0.44 30.11 64.44 1.66 115.49 782.57 443.87 316.35 127.52
2023-08-20_09:45:00 0.44 30.25 64.24 1.85 108.42 856.03 433.89 258.49 175.4
2023-08-20_10:00:00 0.5 30.38 64.16 2.03 101.74 856.03 389.64 214.25 175.4
2023-08-20_10:15:00 0.52 30.54 64.0 2.17 96.63 926.5 307.36 189.13 118.23
2023-08-20_10:30:00 0.54 30.62 64.19 2.57 88.67 926.5 257.18 138.95 118.23
2023-08-20_10:45:00 0.57 30.71 64.49 3.02 81.43 970.69 232.2 87.21 144.99
2023-08-20_11:00:00 0.57 30.7 65.15 3.45 80.44 970.69 186.28 41.29 144.99
2023-08-20_11:15:00 0.53 30.68 65.95 3.87 80.77 998.26 153.91 0.0 153.91
2023-08-20_11:30:00 0.49 30.59 66.98 4.31 80.09 998.26 153.91 0.0 153.91
2023-08-20_11:45:00 0.43 30.48 68.15 4.74 81.13 1006.78 170.92 0.0 170.92
2023-08-20_12:00:00 0.37 30.37 69.18 5.0 83.71 1006.78 170.92 0.0 170.92
2023-08-20_12:15:00 0.31 30.24 70.14 5.03 85.63 1004.7 120.61 0.0 120.61
2023-08-20_12:30:00 0.31 30.18 70.89 4.85 86.32 1004.7 120.61 0.0 120.61
2023-08-20_12:45:00 0.29 30.15 71.36 4.61 87.63 982.7 74.89 0.0 74.89
2023-08-20_13:00:00 0.27 30.16 71.72 4.56 91.57 982.7 74.89 0.0 74.89
2023-08-20_13:15:00 0.27 30.1 72.3 4.44 97.19 938.12 83.19 0.0 83.19
2023-08-20_13:30:00 0.32 30.14 72.37 4.3 101.59 938.12 83.19 0.0 83.19
2023-08-20_13:45:00 0.31 30.09 72.81 4.66 105.01 876.41 82.61 0.0 82.61
2023-08-20_14:00:00 0.32 30.02 73.56 5.09 111.39 876.41 82.61 0.0 82.61
2023-08-20_14:15:00 0.23 29.85 74.59 5.32 116.39 798.53 90.95 0.0 90.95
2023-08-20_14:30:00 0.12 29.74 75.2 5.38 117.95 798.53 90.95 0.0 90.95
2023-08-20_14:45:00 0.15 29.62 75.46 5.29 121.35 702.77 114.27 0.0 114.27
2023-08-20_15:00:00 0.19 29.65 74.85 5.22 127.69 702.77 114.27 0.0 114.27
2023-08-20_15:15:00 0.26 29.68 73.89 5.01 135.57 606.65 70.21 0.0 70.21
2023-08-20_15:30:00 0.41 29.82 72.36 5.01 141.48 606.65 70.21 0.0 70.21
2023-08-20_15:45:00 0.53 29.8 71.57 5.29 141.45 498.65 48.03 0.0 48.03
2023-08-20_16:00:00 0.66 29.87 70.83 5.28 143.56 498.65 48.03 0.0 48.03
2023-08-20_16:15:00 0.75 29.77 71.24 5.1 146.37 376.97 44.14 0.0 44.14
2023-08-20_16:30:00 0.8 29.82 71.49 4.6 153.62 376.97 44.14 0.0 44.14
2023-08-20_16:45:00 0.83 29.71 72.41 4.19 157.34 246.37 43.05 0.0 43.05
2023-08-20_17:00:00 0.79 29.71 73.11 3.8 152.4 246.37 43.05 0.0 43.05
2023-08-20_17:15:00 0.71 29.48 74.79 3.65 141.5 138.94 30.59 0.0 30.59
2023-08-20_17:30:00 0.67 29.38 76.12 3.82 136.0 138.94 30.59 0.0 30.59
2023-08-20_17:45:00 0.67 28.76 80.23 3.54 135.25 33.44 14.55 0.0 14.55
2023-08-20_18:00:00 0.58 28.68 81.2 3.3 127.98 33.44 14.55 0.0 14.55
2023-08-20_18:15:00 0.56 27.91 84.67 3.12 129.86 0.0 0.0 0.0 0.0
2023-08-20_18:30:00 0.64 27.83 85.21 2.68 131.42 0.0 0.0 0.0 0.0
2023-08-20_18:45:00 0.73 27.73 85.71 2.16 132.64 0.0 0.0 0.0 0.0
2023-08-20_19:00:00 0.73 27.67 86.05 2.07 133.71 0.0 0.0 0.0 0.0
2023-08-20_19:15:00 0.64 27.55 86.46 2.03 134.35 0.0 0.0 0.0 0.0
2023-08-20_19:30:00 0.58 27.52 86.55 1.82 137.34 0.0 0.0 0.0 0.0
2023-08-20_19:45:00 0.56 27.49 86.61 1.46 128.49 0.0 0.0 0.0 0.0
