time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-08-20_07:00:00 0.85 25.89 92.14 2.17 193.13 0.0 0.0 0.0 0.0
2023-08-20_07:15:00 0.83 26.75 87.52 2.43 206.34 300.16 659.78 618.3 41.48
2023-08-20_07:30:00 0.87 27.07 85.8 2.66 208.75 300.16 633.78 592.31 41.48
2023-08-20_07:45:00 0.87 27.7 82.71 2.83 214.47 423.44 661.46 612.04 49.41
2023-08-20_08:00:00 0.83 28.12 80.35 3.45 215.33 423.44 628.4 578.99 49.41
2023-08-20_08:15:00 0.85 28.59 78.06 3.82 217.6 536.89 617.61 535.26 82.35
2023-08-20_08:30:00 0.83 28.89 76.36 3.98 219.36 536.89 580.86 498.51 82.35
2023-08-20_08:45:00 0.81 29.25 74.64 4.22 221.43 569.92 550.02 109.44 440.58
2023-08-20_09:00:00 0.74 29.52 73.32 4.48 224.33 569.92 540.42 99.84 440.58
2023-08-20_09:15:00 0.74 29.8 71.91 4.62 226.86 603.75 573.14 46.2 526.94
2023-08-20_09:30:00 0.74 30.05 70.68 4.7 232.22 603.75 567.86 40.92 526.94
2023-08-20_09:45:00 0.8 30.43 69.21 4.74 234.61 745.63 605.71 106.51 499.2
2023-08-20_10:00:00 0.85 30.63 68.47 4.72 236.36 745.63 589.09 89.88 499.2
2023-08-20_10:15:00 0.85 30.87 67.7 4.86 236.33 806.35 561.9 93.51 468.39
2023-08-20_10:30:00 0.85 31.06 67.22 4.81 236.36 806.35 540.05 71.66 468.39
2023-08-20_10:45:00 0.87 31.02 67.3 4.83 236.69 719.82 418.06 49.2 368.86
2023-08-20_11:00:00 0.85 31.11 66.99 4.93 235.92 719.82 396.89 28.03 368.86
2023-08-20_11:15:00 0.85 31.18 66.66 5.13 235.67 620.4 486.31 1.56 484.74
2023-08-20_11:30:00 0.84 31.29 66.01 5.55 235.53 620.4 484.74 0.0 484.74
2023-08-20_11:45:00 0.83 31.35 65.12 5.76 238.32 529.91 434.14 0.0 434.14
2023-08-20_12:00:00 0.82 31.47 63.54 5.9 238.51 529.91 434.14 0.0 434.14
2023-08-20_12:15:00 0.81 32.0 61.03 6.01 239.74 842.88 576.67 0.0 576.67
2023-08-20_12:30:00 0.82 32.15 59.71 6.05 241.48 842.88 576.67 0.0 576.67
2023-08-20_12:45:00 0.8 32.2 58.79 5.92 241.89 852.4 556.01 0.0 556.01
2023-08-20_13:00:00 0.75 32.3 58.15 6.06 240.77 852.4 556.01 0.0 556.01
2023-08-20_13:15:00 0.66 32.21 58.57 6.02 237.09 658.27 153.4 0.0 153.4
2023-08-20_13:30:00 0.58 32.14 59.31 6.11 233.19 658.27 153.4 0.0 153.4
2023-08-20_13:45:00 0.48 32.24 59.26 6.34 231.81 860.52 86.96 0.0 86.96
2023-08-20_14:00:00 0.51 32.29 58.96 6.28 232.26 860.52 86.96 0.0 86.96
2023-08-20_14:15:00 0.49 32.32 58.78 6.27 232.96 771.02 109.25 0.0 109.25
2023-08-20_14:30:00 0.59 32.35 58.53 6.57 233.21 771.02 109.25 0.0 109.25
2023-08-20_14:45:00 0.7 32.2 58.56 6.66 233.62 613.93 271.89 0.0 271.89
2023-08-20_15:00:00 0.71 32.19 58.1 6.9 233.38 613.93 271.89 0.0 271.89
2023-08-20_15:15:00 0.71 31.76 59.1 6.52 235.48 463.01 369.99 0.0 369.99
