time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-09-30_07:00:00 0.09 26.09 86.72 2.7 308.93 0.0 0.0 0.0 0.0
2023-09-30_07:15:00 0.07 26.93 83.39 3.02 310.54 360.45 579.77 534.84 44.93
2023-09-30_07:30:00 0.07 27.16 81.86 2.86 308.23 360.45 547.98 503.05 44.93
2023-09-30_07:45:00 0.05 27.51 80.2 2.62 308.12 481.02 551.63 501.71 49.92
2023-09-30_08:00:00 0.05 27.7 79.07 2.72 306.52 481.02 513.05 463.13 49.92
2023-09-30_08:15:00 0.04 28.04 77.42 2.56 307.64 594.2 495.29 441.68 53.61
2023-09-30_08:30:00 0.04 28.28 76.19 2.35 318.44 594.2 450.86 397.25 53.61
2023-09-30_08:45:00 0.03 28.56 75.02 2.63 332.45 696.97 418.59 362.04 56.55
2023-09-30_09:00:00 0.0 28.72 74.35 2.67 344.72 696.97 369.35 312.8 56.55
2023-09-30_09:15:00 0.0 28.89 73.92 2.91 353.82 786.94 326.9 268.06 58.84
2023-09-30_09:30:00 0.0 28.99 73.84 3.27 357.88 786.94 273.99 215.15 58.84
2023-09-30_09:45:00 0.0 29.06 74.01 3.69 2.46 861.63 224.49 163.87 60.63
2023-09-30_10:00:00 0.0 29.12 74.24 4.08 6.36 861.63 169.33 108.71 60.63
2023-09-30_10:15:00 0.0 29.2 74.44 4.53 9.74 920.19 116.27 54.34 61.92
2023-09-30_10:30:00 0.0 29.24 74.64 4.77 12.67 920.19 63.42 1.5 61.92
2023-09-30_10:45:00 0.0 29.3 74.78 5.05 15.68 960.2 62.78 0.0 62.78
2023-09-30_11:00:00 0.0 29.34 74.91 5.27 17.16 960.2 62.78 0.0 62.78
2023-09-30_11:15:00 0.0 29.39 74.94 5.6 17.2 981.18 66.91 0.0 66.91
2023-09-30_11:30:00 0.0 29.42 74.98 5.83 18.05 981.18 66.91 0.0 66.91
2023-09-30_11:45:00 0.0 29.48 75.02 6.39 19.43 983.27 72.03 0.0 72.03
2023-09-30_12:00:00 0.0 29.48 75.27 6.73 21.44 983.27 72.03 0.0 72.03
2023-09-30_12:15:00 0.0 29.5 75.49 6.99 22.71 967.47 63.46 0.0 63.46
2023-09-30_12:30:00 0.0 29.53 75.54 7.18 24.26 967.47 63.46 0.0 63.46
2023-09-30_12:45:00 0.0 29.51 75.66 7.45 26.86 927.74 78.68 0.0 78.68
2023-09-30_13:00:00 0.0 29.53 75.58 7.28 26.41 927.74 78.68 0.0 78.68
2023-09-30_13:15:00 0.0 29.47 75.93 7.26 27.27 863.79 183.54 0.0 183.54
2023-09-30_13:30:00 0.0 29.48 76.26 7.11 26.72 863.79 183.54 0.0 183.54
2023-09-30_13:45:00 0.0 29.42 76.94 7.2 26.5 797.22 131.63 0.0 131.63
2023-09-30_14:00:00 0.0 29.42 77.47 7.29 24.57 797.22 131.63 0.0 131.63
2023-09-30_14:15:00 0.0 29.32 78.38 7.51 23.54 713.43 102.62 0.0 102.62
2023-09-30_14:30:00 0.0 29.31 79.02 7.43 22.52 713.43 102.62 0.0 102.62
2023-09-30_14:45:00 0.0 29.2 79.83 7.59 21.96 620.45 54.27 0.0 54.27
2023-09-30_15:00:00 0.0 29.2 79.98 7.62 20.44 620.45 54.27 0.0 54.27
2023-09-30_15:15:00 0.0 29.13 80.26 7.59 18.73 507.65 60.92 0.0 60.92
2023-09-30_15:30:00 0.0 29.16 80.11 7.41 17.46 507.65 60.92 0.0 60.92
2023-09-30_15:45:00 0.0 29.08 80.32 7.09 14.35 390.8 46.29 0.0 46.29
2023-09-30_16:00:00 0.0 29.08 80.14 6.9 11.89 390.8 46.29 0.0 46.29
2023-09-30_16:15:00 0.0 28.92 80.69 7.12 14.11 266.65 40.22 0.0 40.22
2023-09-30_16:30:00 0.0 28.89 80.96 6.82 15.4 266.65 40.22 0.0 40.22
2023-09-30_16:45:00 0.0 28.74 81.74 6.21 13.87 142.36 34.91 0.0 34.91
2023-09-30_17:00:00 0.0 28.69 82.09 6.37 14.79 142.36 34.91 0.0 34.91
2023-09-30_17:15:00 0.03 28.49 82.89 5.85 11.39 33.65 14.83 0.0 14.83
2023-09-30_17:30:00 0.04 28.47 82.9 5.73 8.23 33.65 14.83 0.0 14.83
2023-09-30_17:45:00 0.0 28.32 83.17 5.44 15.47 0.0 0.0 0.0 0.0
2023-09-30_18:00:00 0.0 28.26 83.42 5.19 13.84 0.0 0.0 0.0 0.0
2023-09-30_18:15:00 0.0 28.21 83.75 5.32 13.94 0.0 0.0 0.0 0.0
2023-09-30_18:30:00 0.0 28.12 84.36 4.85 7.72 0.0 0.0 0.0 0.0
2023-09-30_18:45:00 0.0 28.18 84.19 4.84 359.86 0.0 0.0 0.0 0.0
2023-09-30_19:00:00 0.0 28.1 84.72 4.87 358.77 0.0 0.0 0.0 0.0
2023-09-30_19:15:00 0.0 27.94 85.78 4.47 357.63 0.0 0.0 0.0 0.0
2023-09-30_19:30:00 0.01 27.88 86.31 4.28 354.11 0.0 0.0 0.0 0.0
2023-09-30_19:45:00 0.02 27.81 86.81 4.16 348.49 0.0 0.0 0.0 0.0
2023-09-30_20:00:00 0.06 27.74 87.24 4.19 345.74 0.0 0.0 0.0 0.0
2023-09-30_20:15:00 0.1 27.7 87.43 4.25 344.37 0.0 0.0 0.0 0.0
2023-09-30_20:30:00 0.1 27.59 87.87 4.36 339.06 0.0 0.0 0.0 0.0
2023-09-30_20:45:00 0.17 27.48 88.2 4.05 335.04 0.0 0.0 0.0 0.0
2023-09-30_21:00:00 0.3 27.38 88.43 3.79 332.61 0.0 0.0 0.0 0.0
2023-09-30_21:15:00 0.29 27.22 88.94 3.74 328.85 0.0 0.0 0.0 0.0
2023-09-30_21:30:00 0.23 27.15 89.06 4.53 323.99 0.0 0.0 0.0 0.0
2023-09-30_21:45:00 0.14 27.06 89.18 4.72 324.53 0.0 0.0 0.0 0.0
2023-09-30_22:00:00 0.14 26.98 89.28 4.56 323.02 0.0 0.0 0.0 0.0
2023-09-30_22:15:00 0.1 26.79 89.75 4.46 318.04 0.0 0.0 0.0 0.0
2023-09-30_22:30:00 0.07 26.71 89.57 4.55 318.83 0.0 0.0 0.0 0.0
2023-09-30_22:45:00 0.08 26.65 89.38 4.9 320.46 0.0 0.0 0.0 0.0
2023-09-30_23:00:00 0.04 26.63 88.98 4.95 318.39 0.0 0.0 0.0 0.0
2023-09-30_23:15:00 0.04 26.55 88.75 4.66 315.24 0.0 0.0 0.0 0.0
