time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-07-29_07:00:00 0.63 28.82 72.48 4.95 235.7 0.0 0.0 0.0 0.0
2023-07-29_07:15:00 0.65 29.63 70.06 5.24 241.38 364.75 690.06 646.08 43.98
2023-07-29_07:30:00 0.65 29.92 68.44 5.42 240.98 364.75 662.86 618.88 43.98
2023-07-29_07:45:00 0.65 30.34 67.37 5.46 238.43 480.11 675.39 625.94 49.45
2023-07-29_08:00:00 0.6 30.52 67.42 5.21 238.52 480.11 641.96 592.51 49.45
2023-07-29_08:15:00 0.62 30.73 67.24 5.29 236.7 587.47 630.38 562.94 67.44
2023-07-29_08:30:00 0.63 30.88 67.48 5.12 234.47 587.47 592.58 525.14 67.44
2023-07-29_08:45:00 0.63 31.14 67.22 4.99 234.09 688.6 572.84 504.77 68.07
2023-07-29_09:00:00 0.55 31.36 66.87 4.93 232.31 688.6 530.06 461.99 68.07
2023-07-29_09:15:00 0.53 31.7 65.99 4.76 228.77 769.07 525.55 371.34 154.21
2023-07-29_09:30:00 0.57 32.01 65.11 4.5 230.18 769.07 485.08 330.87 154.21
2023-07-29_09:45:00 0.61 32.36 64.0 4.39 232.01 852.52 415.09 334.8 80.29
2023-07-29_10:00:00 0.62 32.65 62.98 4.71 233.43 852.52 366.29 286.0 80.29
2023-07-29_10:15:00 0.53 32.87 62.18 5.14 233.36 915.57 306.31 246.33 59.99
2023-07-29_10:30:00 0.47 33.0 61.7 5.51 236.45 915.57 254.46 194.48 59.99
2023-07-29_10:45:00 0.44 33.13 61.28 5.61 238.45 960.29 212.43 142.07 70.36
2023-07-29_11:00:00 0.43 33.23 60.87 5.9 240.54 960.29 161.97 91.61 70.36
2023-07-29_11:15:00 0.42 33.3 60.65 6.13 242.08 913.1 217.45 27.76 189.69
2023-07-29_11:30:00 0.39 33.26 60.92 6.16 243.5 913.1 189.69 0.0 189.69
2023-07-29_11:45:00 0.37 33.08 61.49 6.26 250.14 845.11 221.73 0.0 221.73
2023-07-29_12:00:00 0.39 32.85 62.36 5.95 260.98 845.11 221.73 0.0 221.73
2023-07-29_12:15:00 0.38 32.81 62.55 5.4 262.15 863.42 334.03 0.0 334.03
2023-07-29_12:30:00 0.33 32.81 62.77 5.35 256.8 863.42 334.03 0.0 334.03
2023-07-29_12:45:00 0.32 32.88 62.49 5.47 250.73 909.9 110.95 0.0 110.95
2023-07-29_13:00:00 0.28 32.96 62.01 5.73 245.13 909.9 110.95 0.0 110.95
2023-07-29_13:15:00 0.23 33.06 61.17 6.09 241.81 932.58 60.69 0.0 60.69
2023-07-29_13:30:00 0.26 33.14 60.52 6.34 240.75 932.58 60.69 0.0 60.69
2023-07-29_13:45:00 0.26 33.12 60.41 6.42 241.37 876.2 59.13 0.0 59.13
2023-07-29_14:00:00 0.25 33.16 60.06 6.62 240.23 876.2 59.13 0.0 59.13
2023-07-29_14:15:00 0.29 33.11 60.1 6.85 239.32 804.5 57.45 0.0 57.45
2023-07-29_14:30:00 0.37 33.12 60.1 7.17 240.02 804.5 57.45 0.0 57.45
2023-07-29_14:45:00 0.47 33.1 60.08 7.31 241.29 718.94 55.38 0.0 55.38
2023-07-29_15:00:00 0.54 33.15 59.57 7.45 243.3 718.94 55.38 0.0 55.38
2023-07-29_15:15:00 0.42 33.04 59.64 7.37 244.41 621.6 52.82 0.0 52.82
2023-07-29_15:30:00 0.37 32.98 59.89 7.44 245.98 621.6 52.82 0.0 52.82
2023-07-29_15:45:00 0.25 32.61 61.5 6.74 251.57 514.56 49.62 0.0 49.62
2023-07-29_16:00:00 0.29 32.29 62.99 5.9 257.07 514.56 49.62 0.0 49.62
2023-07-29_16:15:00 0.36 31.92 64.5 5.06 260.93 397.1 45.48 0.0 45.48
2023-07-29_16:30:00 0.4 31.76 65.67 4.64 267.0 397.1 45.48 0.0 45.48
2023-07-29_16:45:00 0.4 31.53 67.37 4.23 277.55 283.77 40.26 0.0 40.26
2023-07-29_17:00:00 0.48 31.47 68.19 3.86 280.8 283.77 40.26 0.0 40.26
2023-07-29_17:15:00 0.48 31.23 69.83 3.07 282.75 163.6 31.86 0.0 31.86
2023-07-29_17:30:00 0.51 31.18 70.42 2.75 282.36 163.6 31.86 0.0 31.86
2023-07-29_17:45:00 0.54 30.87 72.06 2.25 273.48 60.0 20.26 0.0 20.26
2023-07-29_18:00:00 0.58 30.83 72.66 1.85 261.79 60.0 20.26 0.0 20.26
2023-07-29_18:15:00 0.5 30.42 73.59 1.98 251.19 0.0 0.0 0.0 0.0
2023-07-29_18:30:00 0.37 30.38 73.46 2.07 231.64 0.0 0.0 0.0 0.0
2023-07-29_18:45:00 0.37 30.45 72.41 2.48 218.68 0.0 0.0 0.0 0.0
2023-07-29_19:00:00 0.33 30.55 70.93 3.29 213.02 0.0 0.0 0.0 0.0
2023-07-29_19:15:00 0.31 30.48 70.06 3.84 215.45 0.0 0.0 0.0 0.0
2023-07-29_19:30:00 0.36 30.44 69.26 4.36 221.79 0.0 0.0 0.0 0.0
2023-07-29_19:45:00 0.33 30.31 69.0 4.77 226.44 0.0 0.0 0.0 0.0
2023-07-29_20:00:00 0.33 30.17 69.06 4.95 231.52 0.0 0.0 0.0 0.0
2023-07-29_20:15:00 0.35 29.97 69.99 4.51 229.53 0.0 0.0 0.0 0.0
2023-07-29_20:30:00 0.38 29.76 71.41 3.89 228.65 0.0 0.0 0.0 0.0
2023-07-29_20:45:00 0.34 29.59 72.45 3.43 228.3 0.0 0.0 0.0 0.0
2023-07-29_21:00:00 0.31 29.62 71.9 3.98 226.0 0.0 0.0 0.0 0.0
