time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-08-15_07:00:00 0.2 26.36 88.0 2.01 216.4 0.0 0.0 0.0 0.0
2023-08-15_07:15:00 0.18 26.94 85.01 2.34 222.95 310.78 667.84 626.11 41.73
2023-08-15_07:30:00 0.18 27.28 83.31 2.56 225.05 310.78 641.46 599.73 41.73
2023-08-15_07:45:00 0.21 27.69 81.46 2.77 226.61 431.53 665.31 618.41 46.89
2023-08-15_08:00:00 0.21 27.99 79.95 2.96 227.54 431.53 631.9 585.01 46.89
2023-08-15_08:15:00 0.17 28.38 78.28 3.26 228.44 547.08 628.56 577.82 50.74
2023-08-15_08:30:00 0.14 28.66 77.09 3.6 225.13 547.08 588.95 538.21 50.74
2023-08-15_08:45:00 0.14 29.03 75.67 3.63 228.15 654.77 568.12 514.36 53.77
2023-08-15_09:00:00 0.16 29.29 74.67 4.01 231.7 654.77 523.18 469.41 53.77
2023-08-15_09:15:00 0.19 29.64 73.43 4.14 232.69 751.2 489.37 433.2 56.17
2023-08-15_09:30:00 0.21 29.85 72.57 4.2 230.27 751.2 440.1 383.93 56.17
2023-08-15_09:45:00 0.18 30.1 71.58 4.07 233.4 828.29 395.99 335.41 60.58
2023-08-15_10:00:00 0.2 30.33 70.6 4.03 234.36 828.29 344.08 283.5 60.58
2023-08-15_10:15:00 0.18 30.53 69.62 4.1 235.65 898.75 295.08 234.99 60.09
2023-08-15_10:30:00 0.17 30.74 68.72 4.1 238.62 898.75 240.91 180.82 60.09
2023-08-15_10:45:00 0.17 31.06 67.59 4.28 239.74 956.37 189.24 128.6 60.63
2023-08-15_11:00:00 0.19 31.27 66.98 4.24 241.57 956.37 135.41 74.78 60.63
2023-08-15_11:15:00 0.23 31.28 67.03 4.15 240.38 766.03 95.08 10.36 84.72
2023-08-15_11:30:00 0.25 31.41 66.78 4.12 238.32 766.03 84.72 0.0 84.72
2023-08-15_11:45:00 0.24 31.27 67.36 3.98 239.52 384.96 86.08 0.0 86.08
