time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-07-21_07:00:00 0.64 24.89 91.78 1.68 238.63 0.0 0.0 0.0 0.0
2023-07-21_07:15:00 0.6 25.7 88.82 2.29 243.45 311.73 673.46 631.86 41.6
2023-07-21_07:30:00 0.62 25.88 88.16 2.47 241.58 311.73 648.51 606.91 41.6
2023-07-21_07:45:00 0.63 26.19 87.06 2.45 241.21 414.04 650.85 604.48 46.38
2023-07-21_08:00:00 0.61 26.41 86.21 2.7 242.16 414.04 620.36 573.98 46.38
2023-07-21_08:15:00 0.62 26.54 85.82 2.85 240.48 242.44 277.34 204.43 72.9
2023-07-21_08:30:00 0.64 26.63 85.54 3.14 240.92 242.44 264.33 191.43 72.9
2023-07-21_08:45:00 0.68 26.33 86.7 2.79 242.19 201.39 186.78 132.42 54.36
2023-07-21_09:00:00 0.7 26.26 87.06 2.64 240.43 201.39 176.15 121.79 54.36
2023-07-21_09:15:00 0.71 26.03 88.09 2.5 247.8 37.14 34.89 4.22 30.67
2023-07-21_09:30:00 0.69 25.98 88.54 2.39 247.08 37.14 34.46 3.79 30.67
2023-07-21_09:45:00 0.69 26.17 88.07 2.31 241.64 54.98 45.14 9.04 36.11
2023-07-21_10:00:00 0.69 26.28 87.87 2.38 246.35 54.98 43.91 7.8 36.11
2023-07-21_10:15:00 0.71 26.75 86.1 2.38 245.24 82.65 68.2 6.87 61.32
2023-07-21_10:30:00 0.71 26.97 85.13 2.4 245.34 82.65 66.87 5.55 61.32
2023-07-21_10:45:00 0.63 26.91 85.6 2.1 238.04 123.84 62.11 14.52 47.59
2023-07-21_11:00:00 0.61 26.86 86.23 2.1 235.58 123.84 57.57 9.98 47.59
2023-07-21_11:15:00 0.54 26.78 87.0 2.42 240.54 157.81 43.55 8.95 34.6
2023-07-21_11:30:00 0.64 26.73 87.4 2.54 247.41 157.81 35.24 0.63 34.6
2023-07-21_11:45:00 0.69 27.22 85.13 3.25 248.85 248.6 55.33 0.0 55.33
2023-07-21_12:00:00 0.7 27.41 84.05 3.13 244.91 248.6 55.33 0.0 55.33
2023-07-21_12:15:00 0.64 27.91 81.76 3.36 238.14 681.14 77.94 0.0 77.94
2023-07-21_12:30:00 0.62 28.15 80.7 3.67 233.07 681.14 77.94 0.0 77.94
2023-07-21_12:45:00 0.66 28.83 78.18 4.26 236.79 825.78 92.28 0.0 92.28
2023-07-21_13:00:00 0.63 29.17 76.71 4.52 240.09 825.78 92.28 0.0 92.28
2023-07-21_13:15:00 0.58 29.28 75.88 4.63 239.47 781.87 66.75 0.0 66.75
2023-07-21_13:30:00 0.57 29.49 74.67 4.27 240.46 781.87 66.75 0.0 66.75
2023-07-21_13:45:00 0.55 29.78 73.14 4.04 244.05 728.19 97.06 0.0 97.06
2023-07-21_14:00:00 0.59 30.03 72.38 3.78 251.69 728.19 97.06 0.0 97.06
2023-07-21_14:15:00 0.56 30.23 72.3 3.74 252.03 761.95 59.48 0.0 59.48
2023-07-21_14:30:00 0.62 30.26 72.98 3.64 260.3 761.95 59.48 0.0 59.48
2023-07-21_14:45:00 0.54 29.71 75.45 3.52 265.25 439.03 112.05 0.0 112.05
2023-07-21_15:00:00 0.49 29.41 77.37 3.52 268.06 439.03 112.05 0.0 112.05
2023-07-21_15:15:00 0.49 28.85 80.44 3.62 265.99 336.44 196.47 0.0 196.47
2023-07-21_15:30:00 0.62 28.41 83.06 3.61 261.13 336.44 196.47 0.0 196.47
2023-07-21_15:45:00 0.86 27.67 86.74 3.15 267.7 78.75 71.32 0.0 71.32
2023-07-21_16:00:00 0.92 27.29 88.72 2.98 274.91 78.75 71.32 0.0 71.32
2023-07-21_16:15:00 0.87 26.86 91.05 2.49 278.25 28.39 27.09 0.0 27.09
2023-07-21_16:30:00 0.94 26.68 92.6 2.13 280.21 28.39 27.09 0.0 27.09
2023-07-21_16:45:00 0.94 26.48 93.79 1.96 294.39 12.5 11.37 0.0 11.37
2023-07-21_17:00:00 0.95 26.37 94.11 2.59 291.67 12.5 11.37 0.0 11.37
2023-07-21_17:15:00 0.94 26.23 93.77 2.91 283.78 4.21 4.18 0.0 4.18
2023-07-21_17:30:00 0.95 26.2 93.25 2.93 268.76 4.21 4.18 0.0 4.18
2023-07-21_17:45:00 0.91 26.24 93.25 2.41 257.22 1.62 1.61 0.0 1.61
2023-07-21_18:00:00 0.9 26.34 92.81 1.8 259.36 1.62 1.61 0.0 1.61
2023-07-21_18:15:00 0.83 26.24 93.25 2.14 261.84 0.0 0.0 0.0 0.0
2023-07-21_18:30:00 0.85 26.26 93.34 1.69 261.48 0.0 0.0 0.0 0.0
2023-07-21_18:45:00 0.77 26.21 92.92 2.38 249.91 0.0 0.0 0.0 0.0
