time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-10-08_07:00:00 0.63 26.15 88.46 1.43 301.2 0.0 0.0 0.0 0.0
2023-10-08_07:15:00 0.63 26.97 83.4 1.5 308.67 328.66 580.6 536.83 43.76
2023-10-08_07:30:00 0.63 27.33 81.45 1.44 304.48 328.66 549.97 506.21 43.76
2023-10-08_07:45:00 0.62 27.65 79.7 1.06 295.13 369.39 385.49 83.83 301.66
2023-10-08_08:00:00 0.61 27.86 78.59 1.03 292.67 369.39 379.28 77.62 301.66
2023-10-08_08:15:00 0.61 28.18 77.09 0.99 309.63 397.31 394.13 7.2 386.93
2023-10-08_08:30:00 0.66 28.4 75.98 1.06 303.71 397.31 393.43 6.5 386.93
2023-10-08_08:45:00 0.68 28.73 74.65 1.42 304.57 486.55 477.67 9.74 467.93
2023-10-08_09:00:00 0.69 29.01 73.48 1.44 312.3 486.55 476.4 8.47 467.93
2023-10-08_09:15:00 0.69 29.41 71.84 1.71 316.63 616.86 562.47 34.29 528.17
2023-10-08_09:30:00 0.73 29.72 70.45 1.72 323.38 616.86 556.03 27.86 528.17
2023-10-08_09:45:00 0.71 30.09 68.76 1.86 319.26 716.0 593.31 35.28 558.02
2023-10-08_10:00:00 0.69 30.41 67.18 1.92 313.32 716.0 582.29 24.27 558.02
2023-10-08_10:15:00 0.64 30.77 65.6 2.11 309.89 789.52 632.11 13.42 618.7
2023-10-08_10:30:00 0.64 31.05 64.31 2.32 307.56 789.52 621.14 2.45 618.7
2023-10-08_10:45:00 0.64 31.42 62.83 2.52 306.5 918.81 362.28 0.0 362.28
2023-10-08_11:00:00 0.66 31.69 61.71 2.81 304.7 918.81 362.28 0.0 362.28
2023-10-08_11:15:00 0.69 31.97 60.64 2.96 306.36 961.96 250.57 0.0 250.57
2023-10-08_11:30:00 0.72 32.21 59.72 3.05 307.56 961.96 250.57 0.0 250.57
2023-10-08_11:45:00 0.72 32.41 58.97 3.06 305.96 918.68 385.38 0.0 385.38
2023-10-08_12:00:00 0.74 32.6 58.29 2.98 306.87 918.68 385.38 0.0 385.38
2023-10-08_12:15:00 0.7 32.65 58.11 2.94 306.25 836.81 559.47 0.0 559.47
2023-10-08_12:30:00 0.65 32.77 57.78 2.98 304.82 836.81 559.47 0.0 559.47
2023-10-08_12:45:00 0.61 32.82 57.66 2.98 303.83 741.6 425.5 0.0 425.5
2023-10-08_13:00:00 0.56 32.91 57.34 2.88 300.81 741.6 425.5 0.0 425.5
2023-10-08_13:15:00 0.52 32.94 57.11 2.78 297.73 709.34 296.65 0.0 296.65
2023-10-08_13:30:00 0.49 33.02 56.74 2.75 294.5 709.34 296.65 0.0 296.65
2023-10-08_13:45:00 0.46 33.09 56.38 2.64 292.1 693.63 191.38 0.0 191.38
2023-10-08_14:00:00 0.47 33.2 55.88 2.49 292.54 693.63 191.38 0.0 191.38
2023-10-08_14:15:00 0.46 33.35 55.19 2.54 294.24 710.77 149.46 0.0 149.46
2023-10-08_14:30:00 0.46 33.4 55.27 3.02 293.1 710.77 149.46 0.0 149.46
2023-10-08_14:45:00 0.47 32.72 58.24 3.97 292.92 563.69 68.14 0.0 68.14
2023-10-08_15:00:00 0.48 32.08 61.04 4.52 289.23 563.69 68.14 0.0 68.14
2023-10-08_15:15:00 0.49 31.6 61.93 3.88 286.8 419.19 46.17 0.0 46.17
2023-10-08_15:30:00 0.51 31.71 60.46 3.37 284.67 419.19 46.17 0.0 46.17
2023-10-08_15:45:00 0.48 31.95 58.7 3.13 283.15 363.85 44.7 0.0 44.7
2023-10-08_16:00:00 0.49 32.2 57.54 2.85 281.26 363.85 44.7 0.0 44.7
2023-10-08_16:15:00 0.55 32.35 57.23 2.73 276.8 289.93 42.23 0.0 42.23
2023-10-08_16:30:00 0.58 32.49 57.25 2.6 283.39 289.93 42.23 0.0 42.23
2023-10-08_16:45:00 0.53 32.29 58.63 2.31 280.36 166.43 33.59 0.0 33.59
2023-10-08_17:00:00 0.46 32.31 58.96 2.25 289.12 166.43 33.59 0.0 33.59
2023-10-08_17:15:00 0.44 31.77 61.66 1.79 288.18 51.93 21.13 0.0 21.13
2023-10-08_17:30:00 0.54 31.75 62.19 1.02 255.8 51.93 21.13 0.0 21.13
2023-10-08_17:45:00 0.58 31.1 64.97 1.32 243.19 0.0 0.0 0.0 0.0
2023-10-08_18:00:00 0.5 30.9 66.15 1.32 241.98 0.0 0.0 0.0 0.0
2023-10-08_18:15:00 0.56 30.64 67.81 1.07 223.92 0.0 0.0 0.0 0.0
2023-10-08_18:30:00 0.54 30.42 69.04 1.17 208.15 0.0 0.0 0.0 0.0
2023-10-08_18:45:00 0.6 30.12 70.88 1.93 191.03 0.0 0.0 0.0 0.0
2023-10-08_19:00:00 0.55 29.55 74.03 2.46 194.34 0.0 0.0 0.0 0.0
2023-10-08_19:15:00 0.65 28.9 77.55 2.52 189.13 0.0 0.0 0.0 0.0
2023-10-08_19:30:00 0.63 28.42 79.85 2.45 199.45 0.0 0.0 0.0 0.0
2023-10-08_19:45:00 0.67 28.07 81.48 2.6 228.12 0.0 0.0 0.0 0.0
2023-10-08_20:00:00 0.65 27.84 82.38 3.23 240.74 0.0 0.0 0.0 0.0
2023-10-08_20:15:00 0.66 27.65 82.69 3.63 243.44 0.0 0.0 0.0 0.0
2023-10-08_20:30:00 0.58 27.45 83.02 3.5 242.62 0.0 0.0 0.0 0.0
2023-10-08_20:45:00 0.65 27.26 83.4 3.14 246.78 0.0 0.0 0.0 0.0
2023-10-08_21:00:00 0.7 27.09 83.95 2.89 250.73 0.0 0.0 0.0 0.0
2023-10-08_21:15:00 0.7 27.01 83.93 3.04 252.67 0.0 0.0 0.0 0.0
2023-10-08_21:30:00 0.74 26.95 84.04 3.19 255.84 0.0 0.0 0.0 0.0
2023-10-08_21:45:00 0.74 26.91 84.18 3.8 261.33 0.0 0.0 0.0 0.0
2023-10-08_22:00:00 0.7 26.84 84.5 4.24 264.87 0.0 0.0 0.0 0.0
2023-10-08_22:15:00 0.69 26.67 85.53 4.43 266.59 0.0 0.0 0.0 0.0
2023-10-08_22:30:00 0.63 26.48 85.92 4.53 268.34 0.0 0.0 0.0 0.0
2023-10-08_22:45:00 0.56 26.26 85.18 4.32 262.08 0.0 0.0 0.0 0.0
2023-10-08_23:00:00 0.5 26.09 83.93 4.91 259.37 0.0 0.0 0.0 0.0
2023-10-08_23:15:00 0.62 25.82 83.09 4.83 265.54 0.0 0.0 0.0 0.0
2023-10-08_23:30:00 0.69 25.61 81.9 4.18 267.01 0.0 0.0 0.0 0.0
2023-10-08_23:45:00 0.64 25.4 81.65 3.83 264.85 0.0 0.0 0.0 0.0
2023-10-09_00:00:00 0.65 25.26 81.71 3.55 272.11 0.0 0.0 0.0 0.0
2023-10-09_00:15:00 0.59 25.13 82.27 3.81 283.97 0.0 0.0 0.0 0.0
2023-10-09_00:30:00 0.69 24.98 83.27 3.8 287.23 0.0 0.0 0.0 0.0
2023-10-09_00:45:00 0.62 24.85 84.43 3.98 285.24 0.0 0.0 0.0 0.0
2023-10-09_01:00:00 0.61 24.81 85.22 3.86 283.1 0.0 0.0 0.0 0.0
2023-10-09_01:15:00 0.64 24.9 85.27 3.65 280.64 0.0 0.0 0.0 0.0
2023-10-09_01:30:00 0.71 24.92 85.76 3.25 280.08 0.0 0.0 0.0 0.0
2023-10-09_01:45:00 0.75 24.84 86.6 2.99 276.94 0.0 0.0 0.0 0.0
2023-10-09_02:00:00 0.68 24.8 87.03 3.15 273.5 0.0 0.0 0.0 0.0
2023-10-09_02:15:00 0.67 24.65 87.86 3.08 275.05 0.0 0.0 0.0 0.0
2023-10-09_02:30:00 0.74 24.6 88.23 2.82 279.77 0.0 0.0 0.0 0.0
2023-10-09_02:45:00 0.81 24.5 88.9 2.36 281.97 0.0 0.0 0.0 0.0
2023-10-09_03:00:00 0.86 24.42 89.35 2.12 281.66 0.0 0.0 0.0 0.0
2023-10-09_03:15:00 0.84 24.4 89.4 2.18 282.46 0.0 0.0 0.0 0.0
2023-10-09_03:30:00 0.85 24.38 89.42 2.34 284.62 0.0 0.0 0.0 0.0
2023-10-09_03:45:00 0.9 24.35 89.57 2.08 289.67 0.0 0.0 0.0 0.0
2023-10-09_04:00:00 0.93 24.3 89.97 1.76 296.39 0.0 0.0 0.0 0.0
2023-10-09_04:15:00 0.91 24.33 90.02 1.72 304.83 0.0 0.0 0.0 0.0
2023-10-09_04:30:00 0.9 24.31 90.28 1.75 311.08 0.0 0.0 0.0 0.0
