time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-10-08_07:00:00 0.69 25.97 83.42 1.15 302.51 0.0 0.0 0.0 0.0
2023-10-08_07:15:00 0.67 27.2 78.2 1.26 305.6 363.92 577.76 533.16 44.6
2023-10-08_07:30:00 0.69 27.58 76.29 0.99 311.18 363.92 544.89 500.29 44.6
2023-10-08_07:45:00 0.68 28.0 74.39 0.8 308.14 478.72 538.57 487.56 51.01
2023-10-08_08:00:00 0.71 28.28 73.15 0.58 338.37 478.72 499.53 448.52 51.01
2023-10-08_08:15:00 0.71 28.57 72.08 0.63 356.63 573.85 484.4 343.07 141.33
2023-10-08_08:30:00 0.7 28.82 71.03 0.48 339.82 573.85 448.23 306.9 141.33
2023-10-08_08:45:00 0.71 29.04 70.13 0.31 26.09 626.75 489.15 161.13 328.02
2023-10-08_09:00:00 0.71 29.25 69.37 0.39 77.54 626.75 465.92 137.9 328.02
2023-10-08_09:15:00 0.71 29.43 68.82 0.47 104.57 670.33 390.34 147.15 243.19
2023-10-08_09:30:00 0.69 29.6 68.21 0.43 111.0 670.33 358.86 115.68 243.19
2023-10-08_09:45:00 0.65 29.7 67.9 0.73 112.46 692.52 267.12 94.17 172.95
2023-10-08_10:00:00 0.63 29.84 67.42 0.84 113.69 692.52 230.85 57.9 172.95
2023-10-08_10:15:00 0.65 30.01 66.91 0.89 104.33 733.09 162.86 23.65 139.21
2023-10-08_10:30:00 0.65 30.1 66.68 1.04 93.85 733.09 139.21 0.0 139.21
2023-10-08_10:45:00 0.66 30.25 66.24 1.22 84.08 849.57 110.83 0.0 110.83
2023-10-08_11:00:00 0.64 30.28 66.31 1.52 81.91 849.57 110.83 0.0 110.83
2023-10-08_11:15:00 0.66 30.44 65.87 1.63 82.33 939.52 83.65 0.0 83.65
2023-10-08_11:30:00 0.66 30.48 65.83 1.73 84.73 939.52 83.65 0.0 83.65
2023-10-08_11:45:00 0.65 30.36 66.4 1.98 91.02 815.68 135.23 0.0 135.23
2023-10-08_12:00:00 0.63 30.31 66.9 2.2 99.06 815.68 135.23 0.0 135.23
2023-10-08_12:15:00 0.59 30.18 67.72 2.44 103.61 773.97 87.36 0.0 87.36
2023-10-08_12:30:00 0.61 30.12 68.31 2.4 112.98 773.97 87.36 0.0 87.36
2023-10-08_12:45:00 0.58 29.99 69.21 2.52 126.3 706.98 94.57 0.0 94.57
2023-10-08_13:00:00 0.57 29.78 70.84 2.75 136.71 706.98 94.57 0.0 94.57
2023-10-08_13:15:00 0.54 29.43 73.09 3.02 141.34 645.85 65.19 0.0 65.19
2023-10-08_13:30:00 0.55 29.07 75.42 3.4 147.47 645.85 65.19 0.0 65.19
2023-10-08_13:45:00 0.65 28.8 77.09 3.4 155.62 570.82 53.02 0.0 53.02
2023-10-08_14:00:00 0.57 28.78 77.39 3.63 155.51 570.82 53.02 0.0 53.02
2023-10-08_14:15:00 0.58 28.88 77.2 3.71 154.65 566.01 59.09 0.0 59.09
2023-10-08_14:30:00 0.54 28.93 77.18 3.71 154.01 566.01 59.09 0.0 59.09
2023-10-08_14:45:00 0.58 28.81 77.97 3.8 160.0 518.94 53.67 0.0 53.67
2023-10-08_15:00:00 0.56 28.72 78.76 3.86 163.64 518.94 53.67 0.0 53.67
2023-10-08_15:15:00 0.72 28.58 79.68 3.77 182.21 339.74 63.34 0.0 63.34
2023-10-08_15:30:00 0.77 28.44 80.66 3.93 194.92 339.74 63.34 0.0 63.34
2023-10-08_15:45:00 0.68 28.02 82.54 4.3 202.51 158.06 45.07 0.0 45.07
2023-10-08_16:00:00 0.62 27.93 83.1 4.35 207.17 158.06 45.07 0.0 45.07
2023-10-08_16:15:00 0.68 27.89 83.38 2.86 208.04 116.56 40.88 0.0 40.88
2023-10-08_16:30:00 0.6 27.91 83.44 2.41 209.9 116.56 40.88 0.0 40.88
2023-10-08_16:45:00 0.6 27.73 84.44 2.13 207.36 63.32 43.24 0.0 43.24
2023-10-08_17:00:00 0.63 27.71 84.87 1.74 209.7 63.32 43.24 0.0 43.24
2023-10-08_17:15:00 0.65 27.4 86.95 1.37 209.57 10.93 9.06 0.0 9.06
2023-10-08_17:30:00 0.79 27.39 87.0 0.41 267.15 10.93 9.06 0.0 9.06
2023-10-08_17:45:00 0.76 27.22 87.59 0.48 317.73 0.0 0.0 0.0 0.0
2023-10-08_18:00:00 0.66 27.09 88.27 0.4 292.81 0.0 0.0 0.0 0.0
2023-10-08_18:15:00 0.57 26.9 89.34 0.26 311.27 0.0 0.0 0.0 0.0
