time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-10-08_07:00:00 0.69 26.06 89.56 1.25 310.21 0.0 0.0 0.0 0.0
2023-10-08_07:15:00 0.7 26.85 85.66 1.31 317.58 326.32 579.59 535.42 44.17
2023-10-08_07:30:00 0.69 27.18 84.23 1.02 311.18 326.32 549.16 504.99 44.17
2023-10-08_07:45:00 0.7 27.59 82.34 0.87 304.19 393.17 426.86 160.8 266.06
2023-10-08_08:00:00 0.7 27.8 81.35 1.0 313.32 393.17 415.0 148.94 266.06
2023-10-08_08:15:00 0.67 28.19 79.83 1.08 324.81 469.09 458.38 68.8 389.58
2023-10-08_08:30:00 0.68 28.42 78.75 1.22 319.96 469.09 451.74 62.16 389.58
2023-10-08_08:45:00 0.68 28.8 77.46 1.42 315.63 594.72 535.05 91.23 443.82
2023-10-08_09:00:00 0.7 29.07 76.05 1.42 318.14 594.72 523.19 79.37 443.82
2023-10-08_09:15:00 0.69 29.42 74.56 1.79 323.21 682.96 581.76 66.42 515.34
2023-10-08_09:30:00 0.71 29.69 73.3 1.86 332.55 682.96 569.37 54.03 515.34
2023-10-08_09:45:00 0.7 30.0 71.87 2.01 332.18 761.87 626.13 39.63 586.5
2023-10-08_10:00:00 0.63 30.24 70.72 2.21 329.17 761.87 613.87 27.37 586.5
2023-10-08_10:15:00 0.61 30.5 69.69 2.21 327.94 817.62 645.97 15.03 630.94
2023-10-08_10:30:00 0.61 30.7 68.82 2.45 324.56 817.62 633.93 2.99 630.94
2023-10-08_10:45:00 0.61 30.96 67.81 2.56 320.5 916.16 276.65 0.0 276.65
2023-10-08_11:00:00 0.64 31.15 67.07 2.83 318.98 916.16 276.65 0.0 276.65
2023-10-08_11:15:00 0.65 31.28 66.55 3.01 320.68 785.67 353.89 0.0 353.89
2023-10-08_11:30:00 0.69 31.43 65.97 3.08 320.74 785.67 353.89 0.0 353.89
2023-10-08_11:45:00 0.69 31.57 65.43 3.14 319.06 828.43 428.77 0.0 428.77
2023-10-08_12:00:00 0.7 31.73 64.78 3.08 319.41 828.43 428.77 0.0 428.77
2023-10-08_12:15:00 0.68 31.88 64.12 2.96 319.0 874.72 362.42 0.0 362.42
2023-10-08_12:30:00 0.65 32.04 63.44 2.96 316.7 874.72 362.42 0.0 362.42
2023-10-08_12:45:00 0.6 32.14 62.84 2.88 313.35 803.83 149.99 0.0 149.99
2023-10-08_13:00:00 0.54 32.27 62.13 2.72 308.13 803.83 149.99 0.0 149.99
2023-10-08_13:15:00 0.51 32.39 61.42 2.62 306.28 835.73 98.16 0.0 98.16
2023-10-08_13:30:00 0.49 32.51 60.79 2.6 306.6 835.73 98.16 0.0 98.16
