time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-08-22_07:00:00 0.55 25.74 92.63 2.36 207.14 0.0 0.0 0.0 0.0
2023-08-22_07:15:00 0.54 26.54 88.52 2.54 211.56 304.06 665.62 623.96 41.66
2023-08-22_07:30:00 0.54 26.77 87.13 2.61 217.17 304.06 639.14 597.48 41.66
2023-08-22_07:45:00 0.46 27.27 84.58 2.89 215.02 428.5 666.56 618.09 48.47
2023-08-22_08:00:00 0.45 27.62 82.24 2.99 216.52 428.5 632.86 584.39 48.47
2023-08-22_08:15:00 0.49 28.07 79.72 3.17 218.95 547.18 631.09 578.15 52.94
2023-08-22_08:30:00 0.41 28.31 77.84 3.26 223.33 547.18 590.99 538.05 52.94
2023-08-22_08:45:00 0.4 28.75 75.5 3.51 225.08 657.28 570.23 513.77 56.47
2023-08-22_09:00:00 0.41 29.01 74.0 3.59 223.03 657.28 524.67 468.2 56.47
2023-08-22_09:15:00 0.41 29.36 72.43 3.59 226.69 755.98 490.66 431.28 59.37
2023-08-22_09:30:00 0.46 29.6 71.27 3.54 229.41 755.98 440.67 381.29 59.37
2023-08-22_09:45:00 0.48 29.94 69.92 3.58 227.92 841.64 397.59 335.88 61.71
2023-08-22_10:00:00 0.46 30.15 68.94 3.69 229.27 841.64 344.26 282.55 61.71
2023-08-22_10:15:00 0.46 30.4 67.98 3.76 229.92 872.6 301.42 213.91 87.51
2023-08-22_10:30:00 0.49 30.62 67.2 3.74 230.12 872.6 250.21 162.69 87.51
2023-08-22_10:45:00 0.5 30.79 66.63 3.8 233.63 892.55 194.07 108.85 85.23
2023-08-22_11:00:00 0.5 30.94 66.17 3.74 237.54 892.55 145.18 59.95 85.23
2023-08-22_11:15:00 0.48 31.19 65.45 3.81 241.18 966.77 74.38 4.96 69.42
2023-08-22_11:30:00 0.45 31.39 64.84 3.97 243.93 966.77 69.42 0.0 69.42
2023-08-22_11:45:00 0.38 31.53 64.31 3.96 245.77 939.74 91.45 0.0 91.45
2023-08-22_12:00:00 0.38 31.71 63.63 3.82 249.21 939.74 91.45 0.0 91.45
