time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-09-23_07:00:00 0.54 25.29 85.2 1.22 283.1 0.0 0.0 0.0 0.0
2023-09-23_07:15:00 0.56 26.53 78.84 1.12 282.56 366.66 620.88 576.54 44.34
2023-09-23_07:30:00 0.57 26.76 77.19 0.7 279.59 366.66 588.57 544.23 44.34
2023-09-23_07:45:00 0.51 27.13 75.27 0.39 304.68 481.15 566.44 451.09 115.35
2023-09-23_08:00:00 0.51 27.38 74.09 0.32 308.58 481.15 533.85 418.5 115.35
2023-09-23_08:15:00 0.49 27.69 72.88 0.08 231.84 595.44 536.31 408.42 127.89
2023-09-23_08:30:00 0.43 27.86 72.15 0.37 107.53 595.44 498.03 370.13 127.89
2023-09-23_08:45:00 0.41 28.1 71.25 0.8 129.06 711.07 458.28 402.95 55.32
2023-09-23_09:00:00 0.45 28.28 70.57 1.23 134.16 711.07 407.94 352.62 55.32
2023-09-23_09:15:00 0.48 28.47 69.86 1.45 132.17 786.34 357.68 300.11 57.57
2023-09-23_09:30:00 0.51 28.64 69.2 1.53 132.48 786.34 304.75 247.18 57.57
2023-09-23_09:45:00 0.48 28.79 68.63 1.83 130.18 821.52 250.17 184.8 65.37
2023-09-23_10:00:00 0.48 28.91 68.23 2.15 133.98 821.52 198.01 132.64 65.37
2023-09-23_10:15:00 0.49 29.08 67.78 2.52 137.03 861.89 142.55 80.02 62.54
2023-09-23_10:30:00 0.41 29.15 67.61 2.76 141.71 861.89 91.55 29.01 62.54
2023-09-23_10:45:00 0.46 29.26 67.27 3.0 139.06 910.87 62.41 0.0 62.41
2023-09-23_11:00:00 0.57 29.33 67.03 3.18 138.56 910.87 62.41 0.0 62.41
2023-09-23_11:15:00 0.59 29.37 66.91 3.37 140.31 949.04 108.27 0.0 108.27
2023-09-23_11:30:00 0.58 29.38 67.01 3.75 140.87 949.04 108.27 0.0 108.27
2023-09-23_11:45:00 0.57 29.35 67.26 3.9 145.12 938.65 127.05 0.0 127.05
2023-09-23_12:00:00 0.56 29.35 67.32 3.87 151.0 938.65 127.05 0.0 127.05
2023-09-23_12:15:00 0.56 29.15 67.92 3.98 159.95 758.86 113.08 0.0 113.08
2023-09-23_12:30:00 0.48 29.09 68.05 3.95 164.59 758.86 113.08 0.0 113.08
2023-09-23_12:45:00 0.41 28.96 68.59 3.78 167.66 690.05 65.6 0.0 65.6
2023-09-23_13:00:00 0.35 28.91 68.71 3.66 173.13 690.05 65.6 0.0 65.6
2023-09-23_13:15:00 0.31 29.03 68.18 3.42 176.04 849.42 88.19 0.0 88.19
2023-09-23_13:30:00 0.33 29.13 67.63 3.19 180.4 849.42 88.19 0.0 88.19
2023-09-23_13:45:00 0.27 29.24 66.97 3.04 182.51 751.69 234.21 0.0 234.21
2023-09-23_14:00:00 0.25 29.37 66.39 2.93 186.53 751.69 234.21 0.0 234.21
2023-09-23_14:15:00 0.33 29.46 65.97 2.87 187.21 690.19 313.62 0.0 313.62
2023-09-23_14:30:00 0.29 29.54 65.64 2.86 179.14 690.19 313.62 0.0 313.62
2023-09-23_14:45:00 0.27 29.52 65.82 2.95 174.12 606.22 297.28 0.0 297.28
2023-09-23_15:00:00 0.26 29.55 65.91 3.05 174.09 606.22 297.28 0.0 297.28
2023-09-23_15:15:00 0.23 29.44 66.45 2.98 173.88 517.32 144.1 0.0 144.1
2023-09-23_15:30:00 0.28 29.44 66.54 2.92 180.48 517.32 144.1 0.0 144.1
2023-09-23_15:45:00 0.35 29.27 67.45 3.26 182.02 397.9 45.93 0.0 45.93
2023-09-23_16:00:00 0.41 29.18 68.0 3.62 182.99 397.9 45.93 0.0 45.93
2023-09-23_16:15:00 0.4 28.87 69.48 3.99 184.66 229.59 34.73 0.0 34.73
2023-09-23_16:30:00 0.37 28.76 70.2 4.08 188.84 229.59 34.73 0.0 34.73
2023-09-23_16:45:00 0.3 28.41 71.91 3.98 187.25 139.95 26.42 0.0 26.42
2023-09-23_17:00:00 0.28 28.27 73.13 4.34 187.43 139.95 26.42 0.0 26.42
2023-09-23_17:15:00 0.28 27.84 75.79 4.18 187.31 48.76 15.86 0.0 15.86
2023-09-23_17:30:00 0.39 27.69 77.5 4.05 188.92 48.76 15.86 0.0 15.86
2023-09-23_17:45:00 0.37 27.35 79.8 4.08 188.73 0.0 0.0 0.0 0.0
2023-09-23_18:00:00 0.34 27.15 81.91 4.24 191.33 0.0 0.0 0.0 0.0
2023-09-23_18:15:00 0.28 27.01 83.67 4.46 196.31 0.0 0.0 0.0 0.0
2023-09-23_18:30:00 0.32 26.9 85.09 4.13 198.16 0.0 0.0 0.0 0.0
2023-09-23_18:45:00 0.35 26.77 86.41 3.89 196.26 0.0 0.0 0.0 0.0
2023-09-23_19:00:00 0.3 26.71 87.25 3.84 197.51 0.0 0.0 0.0 0.0
2023-09-23_19:15:00 0.26 26.7 87.58 3.86 201.23 0.0 0.0 0.0 0.0
2023-09-23_19:30:00 0.19 26.68 87.62 3.82 206.44 0.0 0.0 0.0 0.0
2023-09-23_19:45:00 0.14 26.68 87.33 4.07 213.46 0.0 0.0 0.0 0.0
2023-09-23_20:00:00 0.07 26.64 87.16 3.91 219.15 0.0 0.0 0.0 0.0
2023-09-23_20:15:00 0.06 26.52 87.41 3.59 223.56 0.0 0.0 0.0 0.0
2023-09-23_20:30:00 0.15 26.46 87.5 3.58 223.93 0.0 0.0 0.0 0.0
2023-09-23_20:45:00 0.23 26.31 88.31 3.55 231.47 0.0 0.0 0.0 0.0
2023-09-23_21:00:00 0.32 26.22 88.93 3.47 235.0 0.0 0.0 0.0 0.0
2023-09-23_21:15:00 0.46 26.09 89.81 2.96 232.64 0.0 0.0 0.0 0.0
2023-09-23_21:30:00 0.52 26.06 90.34 2.65 232.05 0.0 0.0 0.0 0.0
2023-09-23_21:45:00 0.58 25.97 90.94 2.95 231.45 0.0 0.0 0.0 0.0
2023-09-23_22:00:00 0.64 25.92 91.16 3.07 229.69 0.0 0.0 0.0 0.0
2023-09-23_22:15:00 0.62 25.94 90.98 3.14 227.86 0.0 0.0 0.0 0.0
2023-09-23_22:30:00 0.66 25.96 90.67 3.75 227.11 0.0 0.0 0.0 0.0
2023-09-23_22:45:00 0.78 26.02 90.09 4.07 228.28 0.0 0.0 0.0 0.0
2023-09-23_23:00:00 0.8 25.99 90.19 4.22 231.1 0.0 0.0 0.0 0.0
2023-09-23_23:15:00 0.8 26.12 89.38 4.42 233.81 0.0 0.0 0.0 0.0
2023-09-23_23:30:00 0.79 26.01 89.24 4.51 238.39 0.0 0.0 0.0 0.0
2023-09-23_23:45:00 0.75 25.78 89.0 4.79 243.48 0.0 0.0 0.0 0.0
2023-09-24_00:00:00 0.79 25.52 88.22 5.02 253.51 0.0 0.0 0.0 0.0
2023-09-24_00:15:00 0.85 25.36 87.07 5.17 255.95 0.0 0.0 0.0 0.0
2023-09-24_00:30:00 0.8 25.28 85.77 5.52 256.56 0.0 0.0 0.0 0.0
2023-09-24_00:45:00 0.71 25.28 84.06 5.83 255.59 0.0 0.0 0.0 0.0
2023-09-24_01:00:00 0.66 25.31 82.48 5.83 253.19 0.0 0.0 0.0 0.0
2023-09-24_01:15:00 0.55 25.18 82.12 5.61 252.85 0.0 0.0 0.0 0.0
2023-09-24_01:30:00 0.6 25.16 81.98 4.94 257.28 0.0 0.0 0.0 0.0
2023-09-24_01:45:00 0.69 25.21 81.9 4.01 264.28 0.0 0.0 0.0 0.0
2023-09-24_02:00:00 0.75 25.23 82.22 3.47 265.08 0.0 0.0 0.0 0.0
2023-09-24_02:15:00 0.79 25.29 82.32 3.24 270.57 0.0 0.0 0.0 0.0
2023-09-24_02:30:00 0.81 25.4 81.92 3.0 273.59 0.0 0.0 0.0 0.0
2023-09-24_02:45:00 0.83 25.61 81.09 2.72 273.07 0.0 0.0 0.0 0.0
2023-09-24_03:00:00 0.83 25.67 81.02 2.57 276.03 0.0 0.0 0.0 0.0
2023-09-24_03:15:00 0.73 25.76 80.8 2.57 270.27 0.0 0.0 0.0 0.0
2023-09-24_03:30:00 0.77 25.76 81.09 2.37 275.23 0.0 0.0 0.0 0.0
2023-09-24_03:45:00 0.76 25.52 81.75 2.31 273.51 0.0 0.0 0.0 0.0
2023-09-24_04:00:00 0.72 25.53 81.48 2.38 263.88 0.0 0.0 0.0 0.0
2023-09-24_04:15:00 0.78 25.47 81.62 2.29 258.29 0.0 0.0 0.0 0.0
2023-09-24_04:30:00 0.78 25.46 81.69 2.13 257.02 0.0 0.0 0.0 0.0
2023-09-24_04:45:00 0.8 25.62 81.26 1.82 257.29 0.0 0.0 0.0 0.0
2023-09-24_05:00:00 0.79 25.61 81.42 1.82 257.23 0.0 0.0 0.0 0.0
2023-09-24_05:15:00 0.79 25.65 81.48 2.02 259.95 0.0 0.0 0.0 0.0
2023-09-24_05:30:00 0.74 25.68 81.1 2.39 262.65 0.0 0.0 0.0 0.0
2023-09-24_05:45:00 0.68 25.68 80.89 2.61 258.48 9.29 46.66 38.67 7.98
2023-09-24_06:00:00 0.74 25.67 80.86 2.64 251.25 9.29 45.79 37.81 7.98
2023-09-24_06:15:00 0.79 26.53 77.05 2.47 250.74 85.97 226.16 172.41 53.75
2023-09-24_06:30:00 0.77 26.63 76.84 2.07 246.62 85.97 220.61 166.86 53.75
2023-09-24_06:45:00 0.77 27.13 74.8 1.68 235.02 163.6 177.46 22.96 154.5
2023-09-24_07:00:00 0.79 27.35 74.07 1.13 233.0 163.6 176.46 21.97 154.5
2023-09-24_07:15:00 0.79 27.73 72.4 0.56 225.44 226.73 229.32 8.79 220.54
2023-09-24_07:30:00 0.8 27.92 71.49 0.1 120.07 226.73 228.83 8.29 220.54
2023-09-24_07:45:00 0.8 28.1 70.98 0.24 8.92 211.38 213.75 18.65 195.11
2023-09-24_08:00:00 0.76 28.2 70.22 0.74 12.68 211.38 212.4 17.29 195.11
2023-09-24_08:15:00 0.77 28.78 67.07 1.36 24.55 473.85 458.57 87.96 370.61
2023-09-24_08:30:00 0.8 29.0 65.96 1.42 39.26 473.85 450.26 79.65 370.61
2023-09-24_08:45:00 0.79 29.08 65.7 1.1 64.65 413.15 403.49 11.61 391.88
2023-09-24_09:00:00 0.8 29.15 65.94 1.24 74.67 413.15 402.03 10.15 391.88
2023-09-24_09:15:00 0.8 28.78 67.93 1.02 90.99 128.65 126.77 0.8 125.98
2023-09-24_09:30:00 0.76 28.66 68.61 1.07 133.76 128.65 126.63 0.65 125.98
2023-09-24_09:45:00 0.8 29.06 67.74 1.81 154.63 481.93 336.57 45.45 291.12
2023-09-24_10:00:00 0.81 29.16 67.95 2.04 168.43 481.93 323.5 32.38 291.12
2023-09-24_10:15:00 0.79 28.96 68.82 2.34 169.72 351.18 267.04 8.78 258.26
2023-09-24_10:30:00 0.75 28.91 69.3 2.31 171.22 351.18 261.21 2.95 258.26
2023-09-24_10:45:00 0.67 29.42 67.72 2.41 177.51 794.64 332.2 0.0 332.2
2023-09-24_11:00:00 0.68 29.62 67.14 2.43 172.55 794.64 332.2 0.0 332.2
2023-09-24_11:15:00 0.7 30.03 65.92 2.56 163.57 958.32 82.37 0.0 82.37
2023-09-24_11:30:00 0.63 30.2 65.67 3.02 161.16 958.32 82.37 0.0 82.37
2023-09-24_11:45:00 0.52 30.25 66.01 3.26 164.23 962.94 75.7 0.0 75.7
2023-09-24_12:00:00 0.6 30.35 66.15 3.28 159.0 962.94 75.7 0.0 75.7
2023-09-24_12:15:00 0.6 30.35 66.59 3.5 158.79 961.2 64.6 0.0 64.6
2023-09-24_12:30:00 0.62 30.35 67.23 4.26 158.76 961.2 64.6 0.0 64.6
2023-09-24_12:45:00 0.62 30.23 68.14 4.39 159.91 853.88 74.57 0.0 74.57
2023-09-24_13:00:00 0.63 30.2 68.68 4.6 160.89 853.88 74.57 0.0 74.57
2023-09-24_13:15:00 0.63 30.05 69.76 5.07 163.77 680.25 94.64 0.0 94.64
2023-09-24_13:30:00 0.63 29.93 70.54 5.37 163.18 680.25 94.64 0.0 94.64
2023-09-24_13:45:00 0.67 29.65 71.97 4.84 167.04 619.56 94.8 0.0 94.8
2023-09-24_14:00:00 0.61 29.56 72.62 4.73 171.83 619.56 94.8 0.0 94.8
2023-09-24_14:15:00 0.53 29.42 73.68 4.29 170.95 588.11 124.88 0.0 124.88
2023-09-24_14:30:00 0.54 29.43 74.39 3.86 173.66 588.11 124.88 0.0 124.88
2023-09-24_14:45:00 0.65 29.4 75.3 3.67 177.04 548.41 90.96 0.0 90.96
