time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-09-23_07:00:00 0.19 26.61 79.21 1.17 301.09 0.0 0.0 0.0 0.0
2023-09-23_07:15:00 0.2 27.49 77.45 1.21 312.0 359.72 599.03 555.28 43.75
2023-09-23_07:30:00 0.26 27.71 76.4 1.41 335.06 359.72 567.71 523.97 43.75
2023-09-23_07:45:00 0.22 28.0 75.38 1.43 345.41 478.3 568.54 513.01 55.52
2023-09-23_08:00:00 0.18 28.14 74.94 1.71 353.02 478.3 531.25 475.72 55.52
2023-09-23_08:15:00 0.15 28.39 74.23 1.9 0.72 585.59 515.51 428.2 87.31
2023-09-23_08:30:00 0.12 28.53 73.96 2.33 3.21 585.59 475.1 387.79 87.31
2023-09-23_08:45:00 0.11 28.69 73.68 2.65 2.13 682.66 462.68 334.31 128.37
2023-09-23_09:00:00 0.1 28.81 73.52 3.1 3.51 682.66 420.61 292.23 128.37
2023-09-23_09:15:00 0.07 28.98 73.17 3.44 6.56 756.24 406.26 236.48 169.78
2023-09-23_09:30:00 0.09 29.14 72.8 3.86 6.61 756.24 364.16 194.37 169.78
2023-09-23_09:45:00 0.14 29.29 72.46 4.24 9.61 827.21 366.85 143.83 223.01
2023-09-23_10:00:00 0.14 29.38 72.23 4.4 8.4 827.21 325.68 102.66 223.01
2023-09-23_10:15:00 0.14 29.45 71.96 4.31 7.39 871.06 354.08 54.73 299.35
2023-09-23_10:30:00 0.13 29.54 71.65 4.51 9.13 871.06 318.2 18.85 299.35
2023-09-23_10:45:00 0.12 29.66 71.26 4.72 11.5 916.01 182.15 0.0 182.15
2023-09-23_11:00:00 0.08 29.72 71.03 4.83 13.88 916.01 182.15 0.0 182.15
2023-09-23_11:15:00 0.09 29.8 70.77 4.98 17.08 971.06 60.21 0.0 60.21
2023-09-23_11:30:00 0.08 29.85 70.62 5.11 20.67 971.06 60.21 0.0 60.21
2023-09-23_11:45:00 0.05 29.87 70.55 5.18 21.54 973.06 59.1 0.0 59.1
2023-09-23_12:00:00 0.02 29.88 70.5 4.99 24.9 973.06 59.1 0.0 59.1
2023-09-23_12:15:00 0.01 29.91 70.59 5.01 27.12 962.36 65.31 0.0 65.31
2023-09-23_12:30:00 0.01 29.92 70.82 5.07 26.92 962.36 65.31 0.0 65.31
2023-09-23_12:45:00 0.0 29.9 71.23 5.11 27.3 938.73 79.91 0.0 79.91
2023-09-23_13:00:00 0.0 29.92 71.5 5.0 25.69 938.73 79.91 0.0 79.91
2023-09-23_13:15:00 0.02 29.89 71.85 4.91 24.52 869.81 206.58 0.0 206.58
2023-09-23_13:30:00 0.03 29.89 72.19 5.08 28.38 869.81 206.58 0.0 206.58
2023-09-23_13:45:00 0.04 29.8 72.88 5.45 30.12 771.7 349.73 0.0 349.73
2023-09-23_14:00:00 0.06 29.78 73.38 5.58 30.48 771.7 349.73 0.0 349.73
2023-09-23_14:15:00 0.09 29.65 74.04 5.45 31.64 652.15 421.21 0.0 421.21
2023-09-23_14:30:00 0.1 29.62 74.29 5.65 33.53 652.15 421.21 0.0 421.21
2023-09-23_14:45:00 0.11 29.46 74.85 5.4 31.28 496.71 428.71 0.0 428.71
2023-09-23_15:00:00 0.11 29.43 74.97 5.11 29.07 496.71 428.71 0.0 428.71
2023-09-23_15:15:00 0.1 29.25 75.68 4.81 29.61 357.65 332.67 0.0 332.67
2023-09-23_15:30:00 0.1 29.19 76.09 4.9 31.84 357.65 332.67 0.0 332.67
2023-09-23_15:45:00 0.13 28.97 77.21 5.02 30.67 255.52 234.03 0.0 234.03
2023-09-23_16:00:00 0.19 28.92 77.88 5.07 29.29 255.52 234.03 0.0 234.03
2023-09-23_16:15:00 0.23 28.7 79.15 4.55 27.47 183.81 156.87 0.0 156.87
2023-09-23_16:30:00 0.25 28.64 79.74 4.28 22.7 183.81 156.87 0.0 156.87
2023-09-23_16:45:00 0.32 28.55 80.61 4.37 18.78 142.55 83.48 0.0 83.48
2023-09-23_17:00:00 0.34 28.53 81.0 4.27 13.54 142.55 83.48 0.0 83.48
2023-09-23_17:15:00 0.26 28.2 82.94 4.02 11.08 47.19 31.17 0.0 31.17
2023-09-23_17:30:00 0.19 28.14 83.44 4.35 13.49 47.19 31.17 0.0 31.17
2023-09-23_17:45:00 0.2 27.53 85.82 3.99 18.05 0.0 0.0 0.0 0.0
2023-09-23_18:00:00 0.23 27.45 86.09 3.75 18.17 0.0 0.0 0.0 0.0
2023-09-23_18:15:00 0.19 27.43 86.21 3.75 15.62 0.0 0.0 0.0 0.0
2023-09-23_18:30:00 0.22 27.29 86.79 3.33 6.24 0.0 0.0 0.0 0.0
2023-09-23_18:45:00 0.21 27.07 87.56 3.15 1.18 0.0 0.0 0.0 0.0
