time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-08-21_07:00:00 0.66 24.15 98.8 1.91 147.9 0.0 0.0 0.0 0.0
2023-08-21_07:15:00 0.65 25.31 92.06 2.88 159.75 311.67 665.57 622.97 42.59
2023-08-21_07:30:00 0.66 25.66 89.85 3.18 157.61 311.67 639.13 596.53 42.59
2023-08-21_07:45:00 0.63 26.2 87.35 3.53 162.68 432.41 651.22 586.47 64.76
2023-08-21_08:00:00 0.58 26.54 85.48 3.62 168.99 432.41 619.29 554.54 64.76
2023-08-21_08:15:00 0.58 26.97 83.74 3.47 175.31 549.88 623.69 557.41 66.28
2023-08-21_08:30:00 0.58 27.28 82.28 3.58 177.85 549.88 585.14 518.86 66.28
2023-08-21_08:45:00 0.55 27.67 80.64 3.85 180.63 657.27 568.61 485.12 83.49
2023-08-21_09:00:00 0.54 27.96 79.33 3.91 182.78 657.27 525.77 442.28 83.49
2023-08-21_09:15:00 0.53 28.34 77.83 3.95 183.98 755.28 487.82 425.72 62.1
2023-08-21_09:30:00 0.47 28.6 76.66 4.0 186.55 755.28 438.77 376.67 62.1
2023-08-21_09:45:00 0.4 28.82 75.64 4.03 187.2 708.01 366.89 255.74 111.15
2023-08-21_10:00:00 0.4 29.03 74.78 3.96 184.62 708.01 326.63 215.48 111.15
2023-08-21_10:15:00 0.4 29.26 73.89 4.0 186.81 812.44 277.8 200.44 77.37
2023-08-21_10:30:00 0.36 29.42 73.26 4.14 188.01 812.44 230.44 153.07 77.37
2023-08-21_10:45:00 0.39 29.43 73.02 4.1 188.09 601.0 180.37 66.54 113.83
2023-08-21_11:00:00 0.44 29.6 72.47 4.25 189.79 601.0 151.21 37.38 113.83
2023-08-21_11:15:00 0.45 29.78 71.91 4.54 192.26 746.2 145.25 5.36 139.89
2023-08-21_11:30:00 0.45 29.93 71.35 4.64 195.66 746.2 139.89 0.0 139.89
2023-08-21_11:45:00 0.42 29.97 71.16 4.57 199.07 604.6 91.98 0.0 91.98
2023-08-21_12:00:00 0.37 30.1 70.7 4.46 201.92 604.6 91.98 0.0 91.98
2023-08-21_12:15:00 0.34 30.43 69.56 4.3 204.27 810.63 91.26 0.0 91.26
2023-08-21_12:30:00 0.33 30.64 68.7 4.05 206.68 810.63 91.26 0.0 91.26
2023-08-21_12:45:00 0.3 30.73 68.11 3.96 206.2 654.56 91.42 0.0 91.42
2023-08-21_13:00:00 0.25 30.84 67.58 3.85 202.83 654.56 91.42 0.0 91.42
2023-08-21_13:15:00 0.23 30.94 67.33 3.67 202.0 825.25 80.44 0.0 80.44
2023-08-21_13:30:00 0.23 30.8 68.82 3.82 206.35 825.25 80.44 0.0 80.44
2023-08-21_13:45:00 0.23 30.01 73.06 4.05 211.87 500.29 51.74 0.0 51.74
2023-08-21_14:00:00 0.34 29.37 77.24 3.58 216.56 500.29 51.74 0.0 51.74
2023-08-21_14:15:00 0.31 29.41 76.21 2.41 216.14 460.48 44.74 0.0 44.74
2023-08-21_14:30:00 0.23 29.98 72.56 2.02 212.01 460.48 44.74 0.0 44.74
2023-08-21_14:45:00 0.18 31.07 68.25 2.86 210.53 657.45 83.64 0.0 83.64
2023-08-21_15:00:00 0.17 31.53 66.25 3.34 206.08 657.45 83.64 0.0 83.64
2023-08-21_15:15:00 0.15 31.57 65.79 3.5 199.88 540.08 62.64 0.0 62.64
2023-08-21_15:30:00 0.09 31.71 65.01 3.64 197.99 540.08 62.64 0.0 62.64
2023-08-21_15:45:00 0.09 31.81 64.31 4.3 203.6 497.37 54.12 0.0 54.12
2023-08-21_16:00:00 0.03 31.75 64.57 4.95 208.06 497.37 54.12 0.0 54.12
2023-08-21_16:15:00 0.05 30.98 67.63 4.85 212.2 267.6 37.24 0.0 37.24
2023-08-21_16:30:00 0.08 30.66 68.51 4.6 209.59 267.6 37.24 0.0 37.24
2023-08-21_16:45:00 0.08 30.41 69.02 5.0 211.52 249.25 38.58 0.0 38.58
2023-08-21_17:00:00 0.05 29.99 70.64 5.65 210.69 249.25 38.58 0.0 38.58
2023-08-21_17:15:00 0.1 29.05 74.32 5.18 206.94 155.55 35.56 0.0 35.56
2023-08-21_17:30:00 0.34 28.58 76.46 4.44 190.05 155.55 35.56 0.0 35.56
2023-08-21_17:45:00 0.49 27.58 80.95 3.88 189.1 32.43 29.91 0.0 29.91
2023-08-21_18:00:00 0.43 27.17 83.35 3.78 206.58 32.43 29.91 0.0 29.91
2023-08-21_18:15:00 0.62 26.61 85.92 2.86 217.46 0.0 0.0 0.0 0.0
2023-08-21_18:30:00 0.71 26.21 88.31 2.56 236.48 0.0 0.0 0.0 0.0
2023-08-21_18:45:00 0.75 25.72 91.66 2.62 260.16 0.0 0.0 0.0 0.0
2023-08-21_19:00:00 0.88 25.42 94.13 1.89 298.8 0.0 0.0 0.0 0.0
2023-08-21_19:15:00 0.83 25.39 94.42 1.7 301.92 0.0 0.0 0.0 0.0
2023-08-21_19:30:00 0.82 25.34 94.92 2.03 285.43 0.0 0.0 0.0 0.0
2023-08-21_19:45:00 0.83 25.38 95.26 1.83 286.28 0.0 0.0 0.0 0.0
2023-08-21_20:00:00 0.77 25.51 95.07 1.66 293.19 0.0 0.0 0.0 0.0
2023-08-21_20:15:00 0.76 25.61 94.45 1.01 290.34 0.0 0.0 0.0 0.0
2023-08-21_20:30:00 0.72 25.56 94.7 0.6 240.43 0.0 0.0 0.0 0.0
2023-08-21_20:45:00 0.79 25.47 95.55 1.26 256.05 0.0 0.0 0.0 0.0
2023-08-21_21:00:00 0.77 25.54 95.36 0.67 232.56 0.0 0.0 0.0 0.0
2023-08-21_21:15:00 0.73 25.52 95.31 0.98 192.45 0.0 0.0 0.0 0.0
2023-08-21_21:30:00 0.72 25.49 95.75 1.13 167.14 0.0 0.0 0.0 0.0
2023-08-21_21:45:00 0.7 25.45 96.21 1.04 131.47 0.0 0.0 0.0 0.0
2023-08-21_22:00:00 0.66 25.43 96.33 1.01 114.17 0.0 0.0 0.0 0.0
2023-08-21_22:15:00 0.68 25.31 96.78 1.19 112.37 0.0 0.0 0.0 0.0
2023-08-21_22:30:00 0.7 25.29 96.66 1.57 117.76 0.0 0.0 0.0 0.0
2023-08-21_22:45:00 0.69 25.2 96.97 1.56 121.92 0.0 0.0 0.0 0.0
2023-08-21_23:00:00 0.69 25.15 97.33 1.45 126.0 0.0 0.0 0.0 0.0
2023-08-21_23:15:00 0.71 25.08 97.71 1.35 127.82 0.0 0.0 0.0 0.0
2023-08-21_23:30:00 0.71 25.03 97.84 1.42 129.82 0.0 0.0 0.0 0.0
2023-08-21_23:45:00 0.69 24.96 97.89 1.76 138.65 0.0 0.0 0.0 0.0
2023-08-22_00:00:00 0.68 25.0 97.5 2.19 146.41 0.0 0.0 0.0 0.0
2023-08-22_00:15:00 0.66 24.96 97.38 2.2 150.71 0.0 0.0 0.0 0.0
2023-08-22_00:30:00 0.63 24.95 97.21 2.32 153.48 0.0 0.0 0.0 0.0
2023-08-22_00:45:00 0.63 24.89 97.13 2.51 152.83 0.0 0.0 0.0 0.0
2023-08-22_01:00:00 0.62 24.83 97.24 2.43 157.18 0.0 0.0 0.0 0.0
2023-08-22_01:15:00 0.59 24.72 97.57 2.33 157.08 0.0 0.0 0.0 0.0
2023-08-22_01:30:00 0.58 24.63 97.81 2.26 154.27 0.0 0.0 0.0 0.0
2023-08-22_01:45:00 0.6 24.52 98.0 2.38 154.46 0.0 0.0 0.0 0.0
2023-08-22_02:00:00 0.63 24.43 98.2 2.24 158.64 0.0 0.0 0.0 0.0
2023-08-22_02:15:00 0.65 24.31 98.55 1.99 162.65 0.0 0.0 0.0 0.0
2023-08-22_02:30:00 0.64 24.23 98.73 1.92 162.42 0.0 0.0 0.0 0.0
2023-08-22_02:45:00 0.62 24.23 98.76 2.04 162.25 0.0 0.0 0.0 0.0
2023-08-22_03:00:00 0.59 24.23 98.74 2.13 163.41 0.0 0.0 0.0 0.0
2023-08-22_03:15:00 0.53 24.09 99.05 1.97 159.85 0.0 0.0 0.0 0.0
2023-08-22_03:30:00 0.51 24.05 99.1 2.02 155.51 0.0 0.0 0.0 0.0
2023-08-22_03:45:00 0.51 23.96 99.19 2.08 151.43 0.0 0.0 0.0 0.0
2023-08-22_04:00:00 0.52 23.94 99.21 2.13 153.35 0.0 0.0 0.0 0.0
2023-08-22_04:15:00 0.5 23.92 99.24 2.14 148.55 0.0 0.0 0.0 0.0
2023-08-22_04:30:00 0.52 23.9 99.29 2.14 147.55 0.0 0.0 0.0 0.0
2023-08-22_04:45:00 0.52 23.96 99.26 2.14 155.43 0.0 0.0 0.0 0.0
2023-08-22_05:00:00 0.5 23.94 99.3 2.16 164.05 0.0 0.0 0.0 0.0
2023-08-22_05:15:00 0.48 23.97 99.28 2.18 173.96 0.0 0.0 0.0 0.0
2023-08-22_05:30:00 0.46 24.01 99.19 2.32 182.43 0.0 0.0 0.0 0.0
2023-08-22_05:45:00 0.43 24.07 99.01 2.62 187.27 0.0 0.0 0.0 0.0
2023-08-22_06:00:00 0.44 24.07 99.01 2.6 186.38 0.0 0.0 0.0 0.0
2023-08-22_06:15:00 0.45 24.53 97.93 2.85 190.04 51.71 240.16 214.48 25.68
2023-08-22_06:30:00 0.42 24.62 97.7 2.69 197.25 51.71 235.19 209.51 25.68
2023-08-22_06:45:00 0.38 24.96 97.2 2.8 202.37 138.4 404.65 363.36 41.3
2023-08-22_07:00:00 0.36 25.08 96.93 2.72 199.82 138.4 392.9 351.61 41.3
2023-08-22_07:15:00 0.36 25.51 95.57 2.89 197.8 225.52 459.19 412.17 47.02
2023-08-22_07:30:00 0.42 25.68 94.77 2.98 193.66 225.52 441.61 394.59 47.02
2023-08-22_07:45:00 0.46 26.07 93.27 3.18 193.25 369.0 550.29 488.65 61.64
2023-08-22_08:00:00 0.44 26.29 92.05 3.17 201.57 369.0 523.56 461.92 61.64
2023-08-22_08:15:00 0.39 26.56 90.68 3.26 207.42 447.96 503.01 427.93 75.09
2023-08-22_08:30:00 0.32 26.74 89.45 3.28 210.05 447.96 473.26 398.17 75.09
2023-08-22_08:45:00 0.28 26.97 87.95 3.16 212.0 492.58 425.4 356.0 69.4
2023-08-22_09:00:00 0.25 27.16 86.59 3.05 215.47 492.58 393.78 324.38 69.4
2023-08-22_09:15:00 0.22 27.44 85.26 3.18 217.32 541.02 356.36 289.4 66.96
2023-08-22_09:30:00 0.21 27.62 84.14 3.14 218.08 541.02 322.78 255.82 66.96
2023-08-22_09:45:00 0.23 27.97 82.38 2.94 215.59 655.57 321.51 247.12 74.39
2023-08-22_10:00:00 0.25 28.2 81.09 2.67 211.59 655.57 282.25 207.86 74.39
2023-08-22_10:15:00 0.21 28.48 79.72 2.51 212.77 666.1 252.21 152.53 99.68
2023-08-22_10:30:00 0.19 28.71 78.46 2.64 213.09 666.1 215.69 116.01 99.68
2023-08-22_10:45:00 0.21 28.86 77.13 2.61 212.69 519.24 146.75 57.35 89.41
2023-08-22_11:00:00 0.2 29.06 75.93 2.56 216.42 519.24 121.04 31.63 89.41
2023-08-22_11:15:00 0.25 29.39 74.76 2.37 213.74 776.3 89.41 3.85 85.56
2023-08-22_11:30:00 0.25 29.52 74.35 2.35 215.6 776.3 85.56 0.0 85.56
2023-08-22_11:45:00 0.27 29.59 74.36 2.64 219.28 785.46 58.33 0.0 58.33
2023-08-22_12:00:00 0.33 29.59 74.73 2.8 225.04 785.46 58.33 0.0 58.33
2023-08-22_12:15:00 0.32 29.86 72.77 2.68 232.89 699.24 68.75 0.0 68.75
2023-08-22_12:30:00 0.38 30.24 70.06 2.44 234.13 699.24 68.75 0.0 68.75
2023-08-22_12:45:00 0.34 30.89 66.15 2.62 229.05 986.59 64.41 0.0 64.41
2023-08-22_13:00:00 0.33 31.29 63.69 2.71 228.84 986.59 64.41 0.0 64.41
2023-08-22_13:15:00 0.29 31.66 61.72 2.93 228.53 959.63 64.87 0.0 64.87
2023-08-22_13:30:00 0.25 31.95 60.36 3.24 230.5 959.63 64.87 0.0 64.87
2023-08-22_13:45:00 0.2 32.05 59.67 3.43 231.44 773.15 76.74 0.0 76.74
2023-08-22_14:00:00 0.19 32.23 58.9 3.68 232.44 773.15 76.74 0.0 76.74
2023-08-22_14:15:00 0.2 32.22 58.81 3.69 231.27 731.11 62.91 0.0 62.91
2023-08-22_14:30:00 0.19 32.3 58.52 3.69 232.78 731.11 62.91 0.0 62.91
2023-08-22_14:45:00 0.14 32.19 58.85 3.53 231.67 621.57 59.71 0.0 59.71
2023-08-22_15:00:00 0.15 32.2 59.14 3.5 233.23 621.57 59.71 0.0 59.71
2023-08-22_15:15:00 0.21 32.22 59.14 3.25 237.18 618.02 52.85 0.0 52.85
2023-08-22_15:30:00 0.2 32.27 59.15 3.21 236.21 618.02 52.85 0.0 52.85
2023-08-22_15:45:00 0.16 32.24 59.34 3.14 236.13 484.67 51.16 0.0 51.16
2023-08-22_16:00:00 0.17 32.22 59.57 3.25 232.93 484.67 51.16 0.0 51.16
2023-08-22_16:15:00 0.2 31.39 63.56 4.0 226.58 282.23 42.67 0.0 42.67
2023-08-22_16:30:00 0.29 30.3 69.64 4.9 219.91 282.23 42.67 0.0 42.67
2023-08-22_16:45:00 0.32 29.18 74.1 4.79 202.34 187.15 32.43 0.0 32.43
2023-08-22_17:00:00 0.3 28.93 74.64 4.02 185.11 187.15 32.43 0.0 32.43
2023-08-22_17:15:00 0.29 28.83 74.33 3.04 176.92 124.87 30.71 0.0 30.71
2023-08-22_17:30:00 0.26 29.02 73.01 2.41 177.28 124.87 30.71 0.0 30.71
2023-08-22_17:45:00 0.29 28.49 75.72 1.74 164.78 44.49 19.64 0.0 19.64
2023-08-22_18:00:00 0.28 28.39 76.08 2.0 163.45 44.49 19.64 0.0 19.64
2023-08-22_18:15:00 0.34 27.39 80.26 2.06 170.33 0.0 0.0 0.0 0.0
2023-08-22_18:30:00 0.35 27.32 80.79 2.05 171.75 0.0 0.0 0.0 0.0
2023-08-22_18:45:00 0.33 27.02 83.18 1.59 165.35 0.0 0.0 0.0 0.0
2023-08-22_19:00:00 0.38 26.81 85.15 1.36 150.73 0.0 0.0 0.0 0.0
2023-08-22_19:15:00 0.44 26.67 86.29 1.41 146.29 0.0 0.0 0.0 0.0
2023-08-22_19:30:00 0.53 26.58 86.93 1.5 142.97 0.0 0.0 0.0 0.0
2023-08-22_19:45:00 0.52 26.66 86.15 1.7 146.49 0.0 0.0 0.0 0.0
2023-08-22_20:00:00 0.5 26.63 86.32 1.7 153.37 0.0 0.0 0.0 0.0
2023-08-22_20:15:00 0.55 26.57 86.12 1.85 149.98 0.0 0.0 0.0 0.0
2023-08-22_20:30:00 0.56 26.58 85.85 1.98 151.86 0.0 0.0 0.0 0.0
2023-08-22_20:45:00 0.49 26.68 84.86 2.38 157.45 0.0 0.0 0.0 0.0
2023-08-22_21:00:00 0.52 26.76 84.3 2.63 161.8 0.0 0.0 0.0 0.0
2023-08-22_21:15:00 0.39 26.63 84.86 2.6 166.39 0.0 0.0 0.0 0.0
2023-08-22_21:30:00 0.39 26.53 85.43 2.58 166.98 0.0 0.0 0.0 0.0
2023-08-22_21:45:00 0.41 26.56 85.21 2.8 168.99 0.0 0.0 0.0 0.0
2023-08-22_22:00:00 0.42 26.46 85.91 2.95 175.66 0.0 0.0 0.0 0.0
2023-08-22_22:15:00 0.46 26.17 87.65 2.88 179.38 0.0 0.0 0.0 0.0
2023-08-22_22:30:00 0.46 26.02 88.73 2.71 180.93 0.0 0.0 0.0 0.0
2023-08-22_22:45:00 0.45 25.84 89.65 2.9 181.41 0.0 0.0 0.0 0.0
2023-08-22_23:00:00 0.34 25.77 90.15 3.16 183.36 0.0 0.0 0.0 0.0
2023-08-22_23:15:00 0.3 25.54 91.4 2.99 184.07 0.0 0.0 0.0 0.0
2023-08-22_23:30:00 0.29 25.38 92.35 2.84 184.05 0.0 0.0 0.0 0.0
2023-08-22_23:45:00 0.27 25.17 93.42 2.74 183.2 0.0 0.0 0.0 0.0
2023-08-23_00:00:00 0.22 25.07 93.97 2.86 183.44 0.0 0.0 0.0 0.0
2023-08-23_00:15:00 0.22 24.86 94.9 2.8 183.52 0.0 0.0 0.0 0.0
2023-08-23_00:30:00 0.24 24.76 95.42 2.82 185.53 0.0 0.0 0.0 0.0
2023-08-23_00:45:00 0.26 24.62 96.01 2.84 182.74 0.0 0.0 0.0 0.0
2023-08-23_01:00:00 0.33 24.49 96.56 2.74 182.02 0.0 0.0 0.0 0.0
2023-08-23_01:15:00 0.27 24.42 96.83 3.06 184.96 0.0 0.0 0.0 0.0
2023-08-23_01:30:00 0.31 24.22 97.42 2.62 184.42 0.0 0.0 0.0 0.0
2023-08-23_01:45:00 0.33 23.98 98.03 2.4 183.67 0.0 0.0 0.0 0.0
2023-08-23_02:00:00 0.27 23.97 98.26 2.68 184.92 0.0 0.0 0.0 0.0
2023-08-23_02:15:00 0.27 23.9 98.46 2.81 183.2 0.0 0.0 0.0 0.0
2023-08-23_02:30:00 0.28 23.91 98.52 3.05 183.97 0.0 0.0 0.0 0.0
2023-08-23_02:45:00 0.31 23.82 98.64 3.03 182.65 0.0 0.0 0.0 0.0
2023-08-23_03:00:00 0.28 23.7 98.88 2.87 182.18 0.0 0.0 0.0 0.0
2023-08-23_03:15:00 0.23 23.64 99.04 2.78 181.47 0.0 0.0 0.0 0.0
2023-08-23_03:30:00 0.23 23.54 99.21 2.61 182.54 0.0 0.0 0.0 0.0
2023-08-23_03:45:00 0.22 23.79 98.97 2.88 183.83 0.0 0.0 0.0 0.0
2023-08-23_04:00:00 0.22 23.76 98.99 2.82 187.75 0.0 0.0 0.0 0.0
2023-08-23_04:15:00 0.22 23.9 98.75 2.86 187.42 0.0 0.0 0.0 0.0
2023-08-23_04:30:00 0.2 23.9 98.8 2.77 190.93 0.0 0.0 0.0 0.0
2023-08-23_04:45:00 0.19 24.1 98.01 3.03 195.36 0.0 0.0 0.0 0.0
2023-08-23_05:00:00 0.19 24.13 97.88 3.14 197.6 0.0 0.0 0.0 0.0
2023-08-23_05:15:00 0.21 24.23 97.5 3.01 196.92 0.0 0.0 0.0 0.0
2023-08-23_05:30:00 0.19 24.23 97.54 2.85 195.15 0.0 0.0 0.0 0.0
2023-08-23_05:45:00 0.15 24.28 97.33 2.97 198.9 0.0 0.0 0.0 0.0
2023-08-23_06:00:00 0.11 24.29 97.35 2.85 196.92 0.0 0.0 0.0 0.0
2023-08-23_06:15:00 0.16 24.62 96.19 2.91 200.85 25.1 121.5 109.68 11.82
2023-08-23_06:30:00 0.11 24.66 95.99 2.98 207.47 25.1 118.94 107.12 11.82
2023-08-23_06:45:00 0.1 24.92 95.22 3.3 210.37 73.78 189.67 158.42 31.26
2023-08-23_07:00:00 0.1 25.03 94.85 3.17 212.99 73.78 184.53 153.27 31.26
2023-08-23_07:15:00 0.12 25.29 94.04 3.1 213.89 152.98 290.51 243.4 47.1
2023-08-23_07:30:00 0.05 25.38 93.79 3.28 217.31 152.98 280.08 232.97 47.1
2023-08-23_07:45:00 0.03 25.64 92.64 3.3 219.68 172.6 238.95 180.37 58.58
2023-08-23_08:00:00 0.03 25.81 91.68 3.3 219.2 172.6 229.03 170.45 58.58
2023-08-23_08:15:00 0.03 26.18 90.05 3.54 220.4 231.31 253.15 174.21 78.94
2023-08-23_08:30:00 0.05 26.39 88.98 3.49 218.71 231.31 240.97 162.03 78.94
2023-08-23_08:45:00 0.02 26.79 87.26 3.65 221.68 373.52 328.72 230.37 98.35
2023-08-23_09:00:00 0.0 27.04 85.98 3.64 224.79 373.52 308.13 209.78 98.35
2023-08-23_09:15:00 0.02 27.59 83.85 3.45 229.02 567.92 382.37 286.15 96.22
