time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-10-05_07:00:00 0.55 26.25 90.04 1.64 269.23 0.0 0.0 0.0 0.0
2023-10-05_07:15:00 0.59 27.08 87.2 1.76 274.7 356.79 562.48 517.65 44.84
2023-10-05_07:30:00 0.62 27.27 85.95 1.86 283.35 356.79 530.63 485.79 44.84
2023-10-05_07:45:00 0.63 27.57 84.62 1.73 271.64 476.2 533.08 483.22 49.86
2023-10-05_08:00:00 0.59 27.74 83.61 1.68 268.6 476.2 494.48 444.62 49.86
2023-10-05_08:15:00 0.55 28.0 82.5 1.7 275.13 588.11 475.9 422.34 53.56
2023-10-05_08:30:00 0.59 28.17 81.65 1.43 276.86 588.11 431.52 377.96 53.56
2023-10-05_08:45:00 0.66 28.46 80.45 0.8 284.42 689.42 398.61 342.18 56.43
2023-10-05_09:00:00 0.71 28.64 79.56 0.48 314.02 689.42 349.51 293.07 56.43
2023-10-05_09:15:00 0.78 28.82 78.96 0.85 3.96 777.22 306.51 247.76 58.74
2023-10-05_09:30:00 0.83 28.92 78.79 1.4 26.79 777.22 253.87 195.13 58.74
2023-10-05_09:45:00 0.85 29.02 78.67 1.68 43.0 850.12 204.3 143.8 60.5
2023-10-05_10:00:00 0.83 29.07 78.59 1.72 44.46 850.12 149.59 89.09 60.5
2023-10-05_10:15:00 0.81 29.13 78.51 2.03 53.63 906.66 97.03 35.21 61.81
2023-10-05_10:30:00 0.8 29.15 78.66 2.53 57.44 906.66 61.81 0.0 61.81
2023-10-05_10:45:00 0.79 29.14 78.89 3.01 53.67 941.28 62.65 0.0 62.65
2023-10-05_11:00:00 0.84 29.13 79.12 3.41 53.84 941.28 62.65 0.0 62.65
2023-10-05_11:15:00 0.9 29.09 79.31 3.6 52.5 942.55 70.86 0.0 70.86
2023-10-05_11:30:00 0.93 29.08 79.41 3.81 52.84 942.55 70.86 0.0 70.86
2023-10-05_11:45:00 0.92 28.86 80.13 3.93 53.99 720.05 158.85 0.0 158.85
2023-10-05_12:00:00 0.86 28.85 80.27 4.13 53.54 720.05 158.85 0.0 158.85
2023-10-05_12:15:00 0.82 29.09 79.78 4.13 52.1 949.86 62.66 0.0 62.66
2023-10-05_12:30:00 0.69 29.12 80.03 4.41 53.83 949.86 62.66 0.0 62.66
2023-10-05_12:45:00 0.69 29.12 80.31 4.51 53.88 913.67 61.85 0.0 61.85
2023-10-05_13:00:00 0.65 29.13 80.48 4.3 51.04 913.67 61.85 0.0 61.85
2023-10-05_13:15:00 0.67 29.18 80.34 4.12 36.21 858.69 60.6 0.0 60.6
2023-10-05_13:30:00 0.67 29.21 80.4 4.58 39.1 858.69 60.6 0.0 60.6
2023-10-05_13:45:00 0.64 29.14 80.89 5.09 44.12 786.97 58.89 0.0 58.89
2023-10-05_14:00:00 0.6 29.16 80.91 5.14 40.26 786.97 58.89 0.0 58.89
2023-10-05_14:15:00 0.57 29.13 81.03 4.83 44.16 700.53 56.67 0.0 56.67
2023-10-05_14:30:00 0.45 29.12 81.23 5.0 50.12 700.53 56.67 0.0 56.67
2023-10-05_14:45:00 0.48 29.06 81.9 4.82 51.65 601.07 53.84 0.0 53.84
2023-10-05_15:00:00 0.39 29.04 82.5 4.71 45.15 601.07 53.84 0.0 53.84
2023-10-05_15:15:00 0.35 28.95 83.45 4.41 43.68 489.72 50.26 0.0 50.26
2023-10-05_15:30:00 0.5 28.94 83.97 3.9 44.79 489.72 50.26 0.0 50.26
2023-10-05_15:45:00 0.62 28.83 84.8 3.92 60.04 370.77 45.61 0.0 45.61
2023-10-05_16:00:00 0.55 28.81 85.37 3.26 57.01 370.77 45.61 0.0 45.61
2023-10-05_16:15:00 0.43 28.71 85.8 3.14 50.02 247.53 39.37 0.0 39.37
2023-10-05_16:30:00 0.48 28.7 86.26 3.61 52.91 247.53 39.37 0.0 39.37
2023-10-05_16:45:00 0.55 28.61 86.72 2.63 63.06 126.94 29.76 0.0 29.76
2023-10-05_17:00:00 0.6 28.64 86.35 1.54 48.36 126.94 29.76 0.0 29.76
2023-10-05_17:15:00 0.52 28.47 87.1 1.73 67.22 21.71 11.18 0.0 11.18
