time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-10-05_07:00:00 0.49 25.56 92.26 1.26 268.95 0.0 0.0 0.0 0.0
2023-10-05_07:15:00 0.52 26.78 85.61 1.46 258.45 356.84 566.86 521.74 45.12
2023-10-05_07:30:00 0.57 27.12 83.52 1.51 262.7 356.84 534.95 489.83 45.12
2023-10-05_07:45:00 0.61 27.67 81.12 1.48 249.73 477.12 537.99 487.59 50.39
2023-10-05_08:00:00 0.51 27.95 79.7 1.41 252.37 477.12 499.28 448.88 50.39
2023-10-05_08:15:00 0.47 28.39 77.92 1.52 260.2 589.88 481.0 426.72 54.28
2023-10-05_08:30:00 0.47 28.69 76.47 1.15 258.07 589.88 436.46 382.18 54.28
2023-10-05_08:45:00 0.53 29.16 74.56 0.84 244.83 691.98 403.67 346.35 57.33
2023-10-05_09:00:00 0.56 29.49 72.99 0.59 236.94 691.98 354.37 297.04 57.33
2023-10-05_09:15:00 0.57 29.84 71.49 0.37 275.4 774.4 310.09 248.98 61.11
2023-10-05_09:30:00 0.65 30.16 70.09 0.32 350.74 774.4 257.76 196.65 61.11
2023-10-05_09:45:00 0.71 30.55 68.67 0.38 5.3 853.86 208.79 147.12 61.68
2023-10-05_10:00:00 0.72 30.86 67.44 0.41 339.96 853.86 153.82 92.14 61.68
2023-10-05_10:15:00 0.78 31.19 66.17 0.34 311.53 888.29 106.83 36.62 70.21
2023-10-05_10:30:00 0.79 31.49 65.0 0.22 280.08 888.29 70.21 0.0 70.21
2023-10-05_10:45:00 0.72 31.51 64.8 0.37 301.46 487.44 102.5 0.0 102.5
2023-10-05_11:00:00 0.73 31.7 64.07 0.51 325.35 487.44 102.5 0.0 102.5
2023-10-05_11:15:00 0.75 31.58 64.35 0.82 339.03 386.4 127.98 0.0 127.98
2023-10-05_11:30:00 0.7 31.62 64.4 1.25 0.25 386.4 127.98 0.0 127.98
2023-10-05_11:45:00 0.6 31.74 64.11 1.55 19.91 635.89 270.61 0.0 270.61
2023-10-05_12:00:00 0.52 31.71 64.63 1.99 36.16 635.89 270.61 0.0 270.61
2023-10-05_12:15:00 0.49 31.92 64.63 2.54 46.72 817.15 106.12 0.0 106.12
2023-10-05_12:30:00 0.41 31.87 65.51 2.91 56.25 817.15 106.12 0.0 106.12
2023-10-05_12:45:00 0.42 31.76 66.58 3.22 60.42 710.45 73.07 0.0 73.07
2023-10-05_13:00:00 0.35 31.64 67.65 3.41 57.91 710.45 73.07 0.0 73.07
2023-10-05_13:15:00 0.36 31.39 69.29 3.62 55.49 637.22 61.0 0.0 61.0
2023-10-05_13:30:00 0.31 31.21 70.5 4.1 62.6 637.22 61.0 0.0 61.0
2023-10-05_13:45:00 0.29 31.2 70.83 4.38 67.13 701.67 60.43 0.0 60.43
2023-10-05_14:00:00 0.36 31.15 71.17 4.3 68.59 701.67 60.43 0.0 60.43
2023-10-05_14:15:00 0.4 30.83 72.18 4.67 70.49 585.01 76.27 0.0 76.27
2023-10-05_14:30:00 0.35 30.57 73.14 4.62 75.33 585.01 76.27 0.0 76.27
2023-10-05_14:45:00 0.37 30.23 74.21 4.37 71.65 467.22 114.21 0.0 114.21
2023-10-05_15:00:00 0.35 30.09 74.66 4.45 69.07 467.22 114.21 0.0 114.21
2023-10-05_15:15:00 0.45 29.78 75.77 3.76 63.44 371.32 46.54 0.0 46.54
2023-10-05_15:30:00 0.57 29.6 76.58 3.18 69.26 371.32 46.54 0.0 46.54
2023-10-05_15:45:00 0.58 29.14 78.6 2.35 54.89 181.83 29.62 0.0 29.62
2023-10-05_16:00:00 0.76 29.01 79.39 2.34 45.63 181.83 29.62 0.0 29.62
2023-10-05_16:15:00 0.78 28.81 80.34 2.22 84.89 90.28 58.34 0.0 58.34
2023-10-05_16:30:00 0.66 28.68 81.35 2.09 83.77 90.28 58.34 0.0 58.34
2023-10-05_16:45:00 0.73 28.5 82.48 1.68 69.61 84.38 53.49 0.0 53.49
2023-10-05_17:00:00 0.73 28.44 83.11 1.71 53.82 84.38 53.49 0.0 53.49
2023-10-05_17:15:00 0.61 28.0 85.54 1.99 60.92 11.47 9.91 0.0 9.91
2023-10-05_17:30:00 0.65 27.89 86.34 2.13 88.67 11.47 9.91 0.0 9.91
2023-10-05_17:45:00 0.5 27.35 88.69 1.49 72.21 0.0 0.0 0.0 0.0
2023-10-05_18:00:00 0.45 27.24 89.52 1.55 59.95 0.0 0.0 0.0 0.0
2023-10-05_18:15:00 0.49 27.27 89.82 1.91 74.47 0.0 0.0 0.0 0.0
2023-10-05_18:30:00 0.5 27.19 90.5 1.87 72.37 0.0 0.0 0.0 0.0
2023-10-05_18:45:00 0.44 27.06 91.31 1.55 66.5 0.0 0.0 0.0 0.0
2023-10-05_19:00:00 0.49 26.96 91.92 1.63 75.82 0.0 0.0 0.0 0.0
2023-10-05_19:15:00 0.43 27.0 92.1 1.79 67.07 0.0 0.0 0.0 0.0
2023-10-05_19:30:00 0.46 26.94 92.37 1.69 70.51 0.0 0.0 0.0 0.0
2023-10-05_19:45:00 0.52 26.67 93.3 1.18 70.58 0.0 0.0 0.0 0.0
2023-10-05_20:00:00 0.53 26.62 93.79 1.01 81.14 0.0 0.0 0.0 0.0
2023-10-05_20:15:00 0.51 26.48 94.17 1.5 117.82 0.0 0.0 0.0 0.0
2023-10-05_20:30:00 0.36 26.42 94.3 1.57 152.17 0.0 0.0 0.0 0.0
2023-10-05_20:45:00 0.45 26.56 94.15 1.42 195.16 0.0 0.0 0.0 0.0
2023-10-05_21:00:00 0.51 26.42 94.5 0.96 204.75 0.0 0.0 0.0 0.0
2023-10-05_21:15:00 0.53 26.25 94.94 1.36 207.9 0.0 0.0 0.0 0.0
2023-10-05_21:30:00 0.58 26.2 94.44 1.75 237.21 0.0 0.0 0.0 0.0
2023-10-05_21:45:00 0.63 26.13 94.29 1.4 239.64 0.0 0.0 0.0 0.0
2023-10-05_22:00:00 0.7 26.06 93.92 1.59 253.55 0.0 0.0 0.0 0.0
2023-10-05_22:15:00 0.75 25.99 93.22 1.98 251.42 0.0 0.0 0.0 0.0
2023-10-05_22:30:00 0.73 25.96 93.08 1.76 243.12 0.0 0.0 0.0 0.0
2023-10-05_22:45:00 0.66 25.88 93.26 1.5 248.46 0.0 0.0 0.0 0.0
2023-10-05_23:00:00 0.66 25.85 93.09 1.49 240.48 0.0 0.0 0.0 0.0
2023-10-05_23:15:00 0.71 25.75 93.14 1.63 238.25 0.0 0.0 0.0 0.0
2023-10-05_23:30:00 0.72 25.74 92.5 1.81 237.82 0.0 0.0 0.0 0.0
2023-10-05_23:45:00 0.63 25.73 92.18 1.78 243.82 0.0 0.0 0.0 0.0
2023-10-06_00:00:00 0.43 25.64 92.36 1.48 258.71 0.0 0.0 0.0 0.0
2023-10-06_00:15:00 0.47 25.2 93.03 1.45 263.6 0.0 0.0 0.0 0.0
2023-10-06_00:30:00 0.53 25.17 92.64 1.42 262.23 0.0 0.0 0.0 0.0
2023-10-06_00:45:00 0.47 25.31 92.37 1.5 257.14 0.0 0.0 0.0 0.0
2023-10-06_01:00:00 0.45 25.31 91.89 1.69 259.39 0.0 0.0 0.0 0.0
2023-10-06_01:15:00 0.37 25.18 92.16 1.65 259.64 0.0 0.0 0.0 0.0
2023-10-06_01:30:00 0.36 25.13 92.01 1.59 260.85 0.0 0.0 0.0 0.0
2023-10-06_01:45:00 0.37 24.92 92.21 1.65 258.49 0.0 0.0 0.0 0.0
2023-10-06_02:00:00 0.4 24.89 92.0 1.64 259.39 0.0 0.0 0.0 0.0
2023-10-06_02:15:00 0.43 24.91 91.8 1.62 264.91 0.0 0.0 0.0 0.0
2023-10-06_02:30:00 0.45 24.89 91.54 1.44 272.21 0.0 0.0 0.0 0.0
2023-10-06_02:45:00 0.41 24.93 91.29 1.52 273.18 0.0 0.0 0.0 0.0
2023-10-06_03:00:00 0.34 24.99 90.89 1.83 270.81 0.0 0.0 0.0 0.0
2023-10-06_03:15:00 0.33 25.01 90.64 1.83 277.35 0.0 0.0 0.0 0.0
2023-10-06_03:30:00 0.31 25.01 90.33 1.68 281.93 0.0 0.0 0.0 0.0
2023-10-06_03:45:00 0.27 25.1 89.91 1.76 274.22 0.0 0.0 0.0 0.0
2023-10-06_04:00:00 0.25 25.13 89.56 2.05 268.15 0.0 0.0 0.0 0.0
2023-10-06_04:15:00 0.24 25.09 89.57 2.01 266.12 0.0 0.0 0.0 0.0
